date,title,reporter,content,press
2021.04.08,김영환 “문재인 대통령은 패배 뒤에 숨지 말고 ‘석고대죄’해야”,김명성 기자,"김영환 더불어민주당 전 의원은 7일 서울·부산 재보궐 선거에서 야권의 압승이 예상되는 것과 관련해 “문재인 대통령과 청와대는 박영선, 김영춘의 패배 뒤에 숨어 있서는 안된다”며 “국민들 앞에 석고대죄를 해야 한다”고 밝혔다.
김 전 의원은 이날 자신의 페이스북에 “이번 선거결과는 상식의 반란”이라며 “문재인 대통령과 민주당을 정치적으로 탄핵한 것”이라고 했다. 또 “상식의 반란군들이 위선의 방벽을 뚫고 후안무치의 성을 허물어 버렸다”고 평가했다.
그는 “(문 대통령이)지난 4년 동안 국민을 분열시키고 민주주의를 후퇴시켰으며 법치를 허물었고 상식과 합리를 버리고 독선과 독주의 정치를 한 것에 대해 용서를 빌어야 한다”고 했다.
이어 부동산, 임대차3법, 세금폭탄, 백신, 청년일자리, 재정적자, 최저임금 52시간제, 비정규직문제 등을 언급하며 “진보의 위선, 운동권들의 가면무도회도 끝낼 때가 되었다”고 질타했다.
그러면서 “2021년 4월 7일 상식의 반란군이 한강을 건너 2022년 3월9일 승리의 고지를 향해가고 있다”고 전망했다.",조선일보
2021.04.18,"진중권, 與 남녀평등 군복무에 “이대남을 ‘조삼모사’ 원숭이 취급”",주희연 기자,"진중권 전 동양대 교수는 18일 ‘남녀평등복무제’를 도입하자는 더불어민주당 박용진 의원을 향해 “‘이대남'(20대 남성)을 위하는 척하며 그들을 조삼모사(朝三暮四) 고사의 원숭이 취급한다”고 비판했다.
진 전 교수는 이날 페이스북에 박 의원의 ‘여성 의무 군사훈련’ 도입 주장과 관련해 “실현 가능성 없는 입술 서비스로 2030 표나 좀 얻어보겠다는 포퓰리즘”이라며 이같이 밝혔다. 4·7 재·보궐선거에서 20대 남성의 민주당 지지율이 대폭 하락하자, 이들을 위한 선심성 제안을 했다는 것이다.
앞서 박 의원은 여성도 40~100일 정도의 기초군사훈련을 의무적으로 받는 ‘남녀평등복무제’를 도입하자고 주장했다. 군 가산점 제도를 둘러싼 남녀 갈등 등을 해소하기 위해 여성도 의무 군사 훈련을 받도록 하자는 것이다. 현행 병역제를 ‘모병제’로 전환하자고도 했다.
진 전 교수는 이에 대해 “나름 진보적이라고 안티 페미니즘의 복용량을 적절히 조절해 내놓은 제안”이라면서도 “속 들여다 보인다”고 했다. 그는 “모병제는 장기적으로 가야 할 목표이나, 현재로서는 실현 가능성이 없고, 가장 큰 문제는 재정”이라며 “그리로 가려면 헌법을 개정해야 한다”고 했다.
그러면서 “이대남(20대 남성)을 위해 주는 척하면서 그들을 조삼모사 고사의 원숭이 취급한다”며 “성추행 사건으로 치러진 선거에서 너희들이 끄집어낸 교훈이냐?”고 했다.",조선일보
2021.03.25,[강인선·배성규의 모닝라이브] 박영선의 수성이냐 오세훈의 탈환이냐…막오른 서울시장 선거전 판세,강인선 부국장,"조선일보 데일리팟캐스트 ‘강인선·배성규의 모닝라이브’가 25일 더불어민주당 박영선 대 국민의힘 오세훈 후보 양자 대결 구도로 짜인 4·7 서울시장 보궐선거를 두고 이야기를 나눕니다.
오세훈 후보가 국민의당 안철수 대표와의 여론조사 경선에서 승리해 야권 단일후보로 결정되면서 사실상 박영선 후보와 양자 대결을 벌이게 됐습니다.
오 후보는 야권 후보 단일화 레이스가 유권자의 관심을 끌면서 여론 지지율 조사에서 상승세를 타고 있습니다. 민주당도 선거전 초반 박 후보의 열세를 인정하고 있습니다.
오 후보는 안 대표가 공동선대위원장을 맡는 등 단일화 여세를 몰아 서울시장직을 탈환하겠다고 벼르고 있지만, 박 후보는 이제 전선이 명확해진 만큼 남은 2주간 오 후보를 향한 거센 공세를 통해 전세를 뒤집겠다고 했습니다.
10년만에 서울시장직 탈환에 나선 오 후보와 최초의 여성 서울시장을 꿈꾸며 시장직 수성에 나선 박 후보의 열전(熱戰)이 어떻게 전개될지 두 후보의 장단점과 판세 분석을 통해 전망해봅니다.",조선일보
2021.04.14,"[강인선·배성규의 모닝라이브] “安 건방지다”던 김종인, 윤석열과는 ‘케미’ 통할까",강인선 부국장,"조선일보의 데일리 팟캐스트 ‘강인선·배성규의 모닝라이브’가 4·7 서울·부산시장 보궐선거에서 승리했지만 자중지란에 빠져있는 국민의힘과 뒷전으로 밀려버린 야권 통합 문제에 대해 이야기합니다.
선거가 끝나면 바로 합당 절차에 들어갈 것 같았던 국민의힘과 안철수 대표의 국민의당은 요즘 신경전을 벌이며 좀처럼 다가서지 못하고 있습니다. 일각에서는 ‘합당을 하긴 하는 것이냐’는 말까지 나옵니다. 김종인 전 국민의힘 비상대책위원장과 안 대표 측의 설전도 거듭되고 있습니다. 이들의 불화에 어떤 배경이 있는지 알아봅니다.
또 야권의 유력 대선주자로 거론되고 있는 윤석열 전 검찰총장의 미래에 대해서도 예측해봅니다. 김종인 전 위원장과 함께 등장할 가능성, 금태섭 전 더불어민주당 의원이 만들겠다는 새로운 정당에 합류할 가능성 등이 거론되고 있습니다. 국민의힘 당 대표를 선출하는 전당대회에는 어떤 후보들이 출마 의사를 밝히고 있는지에 대해서도 알아봅니다.",조선일보
2021.04.02,재보선 첫날 사전투표율 9.14%…2018년 지방선거 때보다 높다,김은경 기자,"4·7 재·보궐선거 사전투표 첫날인 2일 전국 투표율은 9.14%였다.
중앙선거관리위원회에 따르면 이날 오전 6시부터 오후 6시까지 진행된 사전투표에 전국 재보궐선거 유권자 1216만1624명 중 111만2167명이 투표를 마쳤다. 서울은 81만3218명이 참여해 9.65%, 부산은 25만3323이 참여해 8.63%의 투표율을 각각 기록했다.
직전 선거인 21대 총선 첫날 사전투표율(12.14%)과 19대 대선(11.7%)보다는 낮지만, 2018년 7회 지방선거(8.77%)보다는 높은 수치다. 2018년 지선 당시 이틀간의 사전투표율이 20.14%였던 만큼, 오는 3일까지 마치면 최종 사전투표율은 20%대를 넘어설 것이란 전망이 나온다.",조선일보
2021.03.23,[이동훈의 촉] ‘오세훈 돕겠다'는 안철수 진심이다,,"역시 국민의힘 지지층의 결집이 컸다고 볼 수밖에 없습니다.
제1야당, 전국 선거 4연패로 아무리 상황이 좋지 않아도, 역시 썩어도 준치, 제1야당이었습니다.
4월 서울시장 보궐선거에 출마하는 야권 단일 후보로 오세훈 국민의힘 후보가 결정됐습니다.
정치를 잘 아는 분에게 오세훈-안철수 중 누가 단일후보가 될지 물어본 적이 있습니다.
2002년 노무현 정몽준 단일화를 얘기하더 군요. 정몽준이 기세를 타고, 여론조사에서도 우위를 보였지만 막상 거대정당을 배경으로 한 노무현과 경선을 붙여보니 결과가 다르더라. 거대정당의 힘을 무시할 수 없더라.
이번 서울, 부산 보궐선거는 전국 선거에 못지 않습니다. 국민의힘은 중요선거 4연패를 끊어낼 수 있는 절호의 기회를 잡았습니다.
이번 단일화는 정치사적으로 상당한 의미가 있습니다. 그간 진보진영과 중도진영 단일화는 많았습니다. 보수진영과 중도진영 단일화는 거의 없었습니다. 단일화 하면 떠오르는 2002년 노무현 정몽준 단일화, 2011년 서울시장 보궐선거당시 박원순 안철수 단일화, 이 모두 진보와 중도의 단일화였습니다.
사실 보수진영은 그동안 대한민국에서 진보에 비해 여러면에서 우위였기 때문에 굳이 단일화 시도를 하지 않았던 겁니다. 그런데 박근혜 대통령 탄핵사태 이후 그 구도가 변했습니다. 중도가 대거 이탈해 진보쪽으로 가버렸습니다. 2017년 대선을 앞두고 보수와 중도간 단일화 얘기는 오갔지만 제대로 된 시도도 못했습니다. 이번에 중도 안철수와 보수 오세훈이 여론조사 경선을 통해 실제로 단일화를 해냈습니다.
가지 않았던 길입니다. 단일화까지 밀고 온 힘은 사실 서울시장을 탈환하고 대선승리를 향해 나가야 한다는 보수와 중도층의 열망이었습니다.
‘반 문재인' 정서가 강하게 작동하고있다고 보입니다. 그 열망이 가보지 않은 길을 가도록 한겁니다. 이 보수 중도 연합을 내년 3월 대선까지 끌고 갈 수 있을지도 지켜볼 일입니다. 단일화 경선에서 패배한 안철수가 이번에 힘을 제대로 합쳐줄까요?
2012년 대선 당시 문재인 안철수 단일화 이후 안후보는 제대로 힘을 합치지 않았습니다. 바로 미국으로 가버리죠. 반쪽의 단일화라고 했습니다. 이번에도 그런 일이벌어질까요. 저는 이번에는 그런 일은 없을거라고 봅니다. 안 후보가 오늘 입장문에서 “야권의 승리를 위해 열심히 돕겠다”고 했는데 말로만 그치지는 않을 거라고 봅니다. 이번 서울시장 선거는 차기 대선까지 영향을 미치는 선거입니다. 대선과 바로 연계된 선거입니다.
주호영 국민의힘 원내대표가 이런 말을 했죠. “야권 서울시장 후보가 단일화되는 순간이 정계 개편이다”
안철수 후보는 비록 단일화 경선에서 졌지만 이후 정계개편의 한축이 되려고할 겁니다.
대선에서 중요한 역할을 할려고 할겁니다.
윤석열 전 검찰총장은 오세훈 후보를 도울까요? 윤 전 총장이 4월 재보선 이후 본격적으로 움직일거라는 전망이 우세하죠.
그러나 윤 전 총장이 이번 선거에 적극 개입은 하지 않더라도 어떤 식으로든 오후보를 지지하는 메시지는 낼 거라고 봅니다. 언론을 통해 메시지를 내는 것을 넘어서 오후보와 만나는 그림도 가능하다고 봅니다. 이번 서울시장 보궐선거 과정에 윤 총장이 오세훈 후보를 돕는다면 그건 윤총장에게는 본격적인 정치 행보가 될겁니다.
보수 중도 연합을 내년 대선까지 끌고 갈 수 있느냐가 이번 보궐선거에 달렸습니다. 윤 총장이 보궐선거 승리로 보수중도 연합이 대선까지 가는데 한 역할을 한다면, 그의 입지는 더 탄탄해지겠지요.
과거 단일화 실패 사례를 보면 단일화 과정에서 감정싸움이 실패의 중요한 원인이 된 경우가 많습니다. 이번에도 마지막까지 감정싸움이 있었습니다. 지루한 단일화 룰 협상도 있었습니다. 밀고 당기다보니 단일화 시너지가 떨어지는 것 아니냐는 얘기도 나옵니다. 그렇지만 이제 결과가 나오고나면 컨벤션 효과에 따른 시너지가 나올 겁니다. 지지율이 꽤 올라갈 겁니다. 과거에 주목받은 단일화 사례를 보면 그랬습니다. 아마 몇몇 여론조사기관이 오세훈 대 박영선, 여론조사를 해서 내일 결과를 내놓을건데 격차가 이전보다 커질 거라고 예상됩니다.
그렇다고 해서 그것이 바로 오세훈 후보, 야권의 승리보장은 아닙니다.
서울은 사실 여당의 독무대입니다. 박원순 시장이 3선을 했습니다. 2018년 지방선거에서 여당은 서울시 25개 구청장 중 24개를 석권합니다. 서울시의원 100석 중 97석을 차지하고, 구의원은 369석 중 219석을 가져갑니다. 2020년 총선에서는 국회의원 49석 중 41석을 여당이 가져갑니다.
이 막강 조직의 화력은 단일후보를 충분히 위협합니다. 이해찬 대표가 “선거 거의 이겼다”고 했습니다. 이걸 두고 여러 해석이 나오지만 어쨌든 쉽게 봐선 안됩니다. 서울은 야권에겐, 보수진영에게는 구조적으로 어려운 곳입니다.
일방독주는 민주주의에는 독입니다. 기울어진 정치 지형이 너무 오래가면 나라가 기울어집니다.
이번 야권후보 단일화 성사가 한국 정치에 다시 견제와 균형을 불어넣는 봄바람이 될까요.",조선일보
2021.04.04,"북한 국경 봉쇄하나, 北中국경에 장벽·고압선 설치중",김명성 기자,"북한이 주민 탈북과 밀수, 외부정보 유입을 막기 위해 북중 국경 전 지역에 콘크리트 장벽과 고압선을 설치할 계획을 세우고 추진중인 것으로 4일 알려졌다. 코로나 방역을 명분으로 북중 국경을 봉쇄한 북한이 콘크리트 장벽 설치로 국경 영구봉쇄에 나선 가운데 탈북과 밀수도 막힐 것이란 관측이 나온다.
북중 국경사정에 정통한 복수의 소식통에 따르면 북한은 지난 3월부터 압록강·두만강 북중 국경 전 지역에 콘크리트장벽과 고압전기선 설치 계획을 세우고 탈북, 밀수가 잦은 지역부터 공사에 착수한 것으로 전해졌다.
소식통은 “밀수와 탈북의 주요 루트인 양강도 지역 국경부터 공사에 착수했다”며 “고압선은 전기사정으로 가동될지 모르지만 콘크리트장벽이 세워지면 탈북 방지에 효과가 클 것”이라고 했다.
북한 전문 매체인 데일리NK에 따르면 지난달부터 북중 국경지역인 자강도와 평안북도 국경에도 건설부대 인원들이 투입돼 콘크리트 장벽 설치 공사에 착수한 것으로 전해졌다.
또 다른 대북소식통은 “북한이 국경에 장벽을 설치하는 것은 미국 바이든 행정부 출범 이후 북한 인권 및 대북정보 유입을 강화한데 따른 대응 차원”이라며 “김정은 위원장의 지시에 따른 것”이라고 밝혔다.
앞서 북한은 지난해 ‘반동사상문화배격법’을 제정하고 대한민국 영상물을 유포할 경우 최대 사형까지 처하고,시청자는 최대 징역 15년에 처하는 등 외부정보 유입 차단에 절치부심하고 있다. 김정은 국무위원장은 지난 2월 개최한 당중앙위 제8기 2차전원회의에서 남한 등 외부문물을 ‘악성종양’으로 표현하며 “단호하게 수술해버릴 혁명적 의지와 결심”을 언급했다.
특히 코로나 사태 이후 강력한 국경 봉쇄가 지속되는 가운데 생계난에 직면한 주민들이 위험을 무릅쓰고 여전히 국경에서 밀수 등을 벌리자 이를 원천 차단하기 위해 국경장벽 설치를 계획했다는 것이다. 북한은 지난해 국경봉쇄를 위해 특수부대까지 국경에 파견하는 등 비상조치를 취했지만 단기처방이라는 지적을 받았다고 한다.
북한당국은 국경지역에 콘크리트 장벽을 설치하기 위한 건설인력과 자재보장 대책도 이미 마련한 것으로 알려졌다. 대북소식통은 “장벽이 세워지면 국경이 완전 봉쇄돼 탈북이나 밀수를 하기 어려워질 것”이라고 전망했다.",조선일보
2021.04.22,與 “野·언론이 백신 가짜뉴스 유포”… 진짜 진원지 추적해보니,안준용 기자,"윤호중 더불어민주당 비상대책위원장은 21일 코로나 백신 부족 사태와 관련, “가짜 뉴스가 국민 불안을 부추기고 있다”고 했다. 여권에선 “야당과 언론이 백신 가짜 뉴스를 퍼뜨린다”고 주장하지만, 실제 백신과 관련해 근거 없는 주장이나 낙관론을 거듭해온 정부·청와대가 진원 아니냐는 지적이 나온다.
박능후 전 보건복지부 장관은 작년 11월 화이자·모더나 백신 도입 지연과 관련, “두 회사에서 오히려 우리에게 빨리 계약하자고 재촉하는 상황”이라며 “백신 확보에서 불리하지 않은 여건”이라고 했었다. 이에 김어준씨의 ‘딴지일보’에선 화이자·모더나가 우리 정부 바짓가랑이를 붙잡고 사정하는 만평까지 등장해 인기를 끌었다. 그러나 5개월 만인 지난 20일 홍익표 민주당 정책위의장은 “화이자 등 다국적 제약사들의 요구가 매우 무리했고, 지금도 그렇다”면서 정반대 얘기를 했다. 정부는 작년 9월 “백신 안전성·유효성이 완전히 확보되지 않았기 때문에 서둘러 선구매 계약을 하면 우를 범할 수 있다”고 했지만, 11월엔 “선입금을 포기하는 한이 있더라도 충분하고 되도록 많은 양을 확보·구매하겠다”고 했다.
문재인 대통령도 그동안 방역·백신 낙관론을 펴왔다. 작년 12월 9일 “정부가 확보한 백신 4400만명분은 우리 국민 집단면역에 충분한 양”이라며 “드디어 긴 터널의 끝이 보인다”고 했다. 올해 신년 기자회견에선 “백신은 충분히 빨리 도입되고 있고, 충분한 물량이 확보됐다”면서 “접종 시기, 집단면역 형성 시기 면에서 다른 나라들보다 결코 늦지 않고 오히려 더 빠를 것”이라고 했다. 그러나 문 대통령은 작년 12월 청와대 내부회의 등에선 “그간 백신 확보에 적극적으로 나서라는 지시를 몇 번이나 했는데, 여태 진척이 없다가 이런 상황까지 만들었느냐”는 취지로 참모들을 질책한 것으로 알려졌다. 기모란 청와대 방역기획관은 청와대 입성 전인 작년 말 ‘김어준의 뉴스공장’에서 백신과 관련, “한국은 지금 그렇게 급하지 않다”거나 “아스트라제네카가 있다면 화이자·모더나 쓸 나라는 없을 것” 등의 발언을 했다. 김어준씨도 “화이자의 마케팅에 우리가 넘어갈 이유는 없다”고 했다.",조선일보
2021.04.05,"이낙연 “백신, 우리가 세계의 모델 될 것...불안 퍼뜨리는 언론 개탄”",김은경 기자,"이낙연 더불어민주당 공동상임선대위원장이 5일 “백신 불안을 퍼뜨리고 증폭시키는 일부 언론이 몹시 개탄스럽다”고 했다.
이 위원장은 이날 서울 성동구청에 있는 코로나 백신 예방접종센터를 방문한 뒤 페이스북을 통해 이같이 밝혔다.
그는 “(센터에서) 접종 받으신 1500여분 가운데 불편을 호소한 분은 한 분도 계시지 않았다”며 “접종 후 대기하시던 할머니는 ‘행복해요’라고 말씀하셨다”고 했다. 이어 “어르신 여러분은 안심하고 접종받으시기 바란다”고 했다.
이 위원장은 “접종 코스는 완벽하다”며 “접종센터를 방문, 순서에 따라 몇 가지 절차를 거쳐 접종받고 접종 후 이상이 있는지 확인하기 위해 30분간 대기한 뒤 귀가(하는) 모든 과정이 빈틈없고 편리하게 준비됐다”고 했다.
이 위원장은 현장 방문에서는 “시간 낭비나 혼선 없이 잘 이뤄지는 것 같다”며 “접종 방식, 절차에 이르기까지 한국의 대응이 세계의 모델이 될 것 같은 생각이 든다”고 말했다. 그러면서 “저는 언제쯤이나 순서가 돌아옵니까”라고 했다.
지난 1일부터 전국 49개 지역 예방접종센터에서는 75세 이상 고령자와 노인 시설 입소자 및 종사자를 대상으로 화이자 백신 접종을 실시하고 있다. 질병관리청 예방접종대응추진단은 “우선순위는 코로나 고위험군과 방역체계·사회필수체계 유지를 위한 대상군 등으로, 정해진 원칙에 따라 접종을 하고 있다”며 “예방접종률 향상, 국민 불안감 해소와 신뢰도 제고 등을 위해 필요한 경우 대상을 정해 시행하고 그 결과를 예방접종전문위원회에 보고한다”고 밝혔다.",조선일보
2021.04.04,사전투표율 1위 ‘정치1번지' 종로 24.44%… 최저는 금천 18.89%,노석조 기자,"서울시장 보궐선거 사전투표에서 ‘정치 1번지'로 불리는 종로구가 가장 높은 투표율을 기록한 것으로 나타났다.
4일 중앙선거관리위원회에 따르면 지난 2~3일 진행된 사전투표에서 종로구는 24.44%의 투표율을 기록했다. 서울시 25개 구(區) 가운데 가장 높은 사전투표율이다.
전체 사전투표율 21.95%보다 2.5%포인트가량 높은 수치다.
동작구가 23.62%, 송파구가 23.37%, 서대문구가 23.02%로 투표율 상위권을 차지했다. 이어 성북구(22.97%), 양천구(22.92%), 서초구(22.56%), 마포구(22.54%), 강동구(22.50%), 은평구(22.49%) 순이었다.
가장 낮은 사전투표율을 보인 곳은 금천구(18.89%)였다. 중랑구(20.26%), 동대문구(20.46%), 강북구(20.80%), 강남구(20.83%)의 투표율도 비교적 낮았다.
이 같은 투표율이 더불어민주당과 국민의힘 여야 쪽에 유리할지는 의견이 엇갈린다. 투표율 상위권 지역 대부분 중도층이 두텁고 그간 ‘스위보터' 역할을 해왔기 때문이다.

사전투표자 수를 기준으로 보면 송파구가 13만2662명으로 가장 많았다.
강서구 10만8368명(21.45%), 노원구 9만8037명(21.97%), 관악구 9만5118명(21.10%), 강남구 9만4203명(20.83%) 순이었다.
사전투표자가 가장 적은 구는 중구로, 2만4205명(21.26%)이 투표했다. 사전투표율이 가장 높은 종로의 사전투표자는 3만2324명으로 24번째에 해당했다.",조선일보
