press,reporter,title,content
머니투데이,한고은,"""아파트 갑질 못 참겠다""…택배노조, 6일 총파업 투표 진행 - 머니투데이","(서울=뉴스1) 이광호 기자 = 전국택배노동조합 관게자들이 20일 오후 서울 중구 CJ대한통운 본사 앞에서 기자회견을 열고 택배차량의 지상도로 출입을 전면 금지한 강동구의 한 아파트와 관련해 택배사에 배송불가 구역 지정과 추가요금 부과 등 대책을 촉구했다. 진경호 전국택배노조위원장이 아파트 입주자 대표회의로부터 받은 회신문을 들어보이고 있다. 2021.4.20/뉴스1  

택배노조가 총파업 실시에 대한 조합원 총투표를 진행한다. 

1일 민주노총 서비스연맹 전국택배노동조합(택배노조)은 노조 대의원들이 아파트 갑질 문제에 관한 택배사 해결 촉구를 위한 조합원 총파업 찬반투표 부의 여부를 놓고 투표한 결과 투표인원 371명중 282명(76%)가 부의에 찬성했다고 밝혔다. 

이에 따라 택배노조는 오는 6일 전조합원을 대상으로 한 총파업 투표를 진행할 예정이다. 노조는 총파업이 가결될 경우 오는 11일부터 총파업 투쟁에 돌입한다는 계획이다."
머니투데이,심재현,[부고]김형기 뉴시스 대표 부친상 - 머니투데이,"■김해권씨 별세, 김경희·형순씨(도래샘리조트 대표)·형기씨(뉴시스 대표) 부친상, 김구성씨 장인상, 박영숙·여위순씨 시부상 = 4월30일 삼성서울병원 장례식장 19호실, 발인 5월3일, 장지 대전현충원. (02)3410-3156"
머니투데이,김영상,"화이자 공급 일시부족…국민의힘 ""바닥난 백신에 민심도 바닥"" - 머니투데이","(서울=뉴스1) 성동훈 기자 = 30일 오전 서울 마포구 예방접종센터에서 어르신들이 화이자 백신을 맞고 있다.  

국민의힘이 화이자의 코로나19 백신 공급 일시 부족을 두고 ""바닥난 백신에 민심도 바닥난다""고 비판했다. 

김예령 국민의힘 대변인은 1일 논평에서 ""충분한 물량도 확보하지 않은 채 11월 집단면역이라는 목표가 누구에 의해서 어떻게 나온 것인지 묻지 않을 수 없다""며 이같이 밝혔다. 

앞서 75세 이상 고령층을 대상으로 하는 코로나19 화이자 백신 1차 접종이 일부 지자체에서 중단됐다. 전국적으로 화이자 백신 부족 현상이 나타나자 우선 2차 접종에만 집중하기로 하면서다. 

김 대변인은 ""백신이 지연 공급된 사례는 단 한 건도 없었다는 홍남기 부총리의 말이 무색하게 결국 우려는 현실이 됐다""며 ""의료계와 야당이 지난해부터 신속하고도 충분한 물량 확보를 요구했지만 그때마다 정부는 천하태평 충분히 확보했다는 말만 되풀이했다""고 지적했다.

이어 ""언론과 야당이 백신 수급과 안전 문제 등을 거론할 때만 '가짜뉴스'라며 늑대같이 물어뜯으며 반응을 보이니 도리를 다하지 않고 생떼만 쓰는 천상천하 유아독존""이라며 ""코로나19가 국민 안전과 국민 건강을 넘어 민생경제까지 심각하게 훼손하는 절대적 위기에 봉착했기에 백신 정책을 비판했던 것""이라고 했다. 

김 대변인은 ""목표만 거창하고 과정은 없는 정부의 단세포적인 안일함과 무능이 바닥 난 백신마냥 민심까지 한계점에 도달시킨다는 것을 깨달아야 한다""며 ""국민 불식을 종식하려면 백신별, 월별 도입 물량과 재고 물량, 접종 계획이 담긴 구체적이고 세밀한 백신 로드맵을 내놓아야 한다""고 요구했다. 

그러면서 ""미국과 이스라엘 등은 마스크를 벗고 일상으로 회귀하는 중인데 우리 국민들은 과학적 근거도 없는 5인 이상 모임 금지 등으로 인간적 교류도 끊기고 경제적 손해도 막심하다""고 꼬집었다."
머니투데이,김영상,"김두관 ""당원들이 문자 보냈다고 화낼 일 아니다"" - 머니투데이","(제주=뉴스1) 홍수영 기자 = 김두관 더불어민주당 의원이 30일 오후 제주도의회 도민카페에서 '김두관의 국민 기본자산제 제안설명회'를  진행하고 있다.2021.4.30/뉴스1  

김두관 더불어민주당 의원이 이른바 '문자 폭탄' 논란에 대해 ""당원들과 정체성이 맞지 않으면 본인이 정당을 잘못 선택한 것""이라고 밝혔다. 

김 의원은 1일 자신의 페이스북에 올린 글에서 ""문자폭탄을 받는 분이 있다면 당원을 애정을 갖고 있다고 생각하면 어떨까 생각한다""며 이같이 밝혔다. 

김 의원은 ""권리를 가진 당원이 당의 운영과 정책에 목소리를 내고 정견을 표현하는 것은 민주정당의 기본 원리""라며 ""당원들이 문자를 보냈다고 화를 낼 일은 아니다""고 밝혔다. 

이어 ""당원은 정파를 가진 국민이고 소속 국회의원과 공직자는 그들을 대리하고 있다""며 ""당원을 경원하고 멀리하는 것은 국민을 멀리하고 무시하는 것과 같고 공직자와 국회의원이 국민을 비난하는 것은 상상할 수도 없는 것처럼 당원에게도 그래야 한다""고 했다. 

김 의원은 ""당원과 정견이 다르면 당 소속 공직자와 대표들은 논쟁을 통해서 이견을 해소하고 합의점을 도출하려고 노력해야 한다""며 ""그런 노력에도 당원과 불화한다면 정체성이 다른 것이며, 정체성이 맞지 않으면 본인이 정당을 잘못 선택한 것이지 당원의 잘못은 아니다""고 밝혔다. 

그러면서 ""당원들이 힘내서 우리 당의 성과와 노력을 국민에게 알리고 민심을 전달할 수 있도록 해야 한다""며 ""문자폭탄 받는 분이 있다면 당원이 애정을 갖고 있다고 생각하면 어떨까 생각한다""고 했다.

앞서 조응천 의원이 강성당원들의 '문자폭탄' 문제를 제기하면서 당내에서 논란이 계속되고 있다. 조 의원은 ""70만 권리당원의 목소리가 강성 지지층 2000명에 묻히고 있다""고 비판했다."
머니투데이,심재현,'니 엄X XX'…일베 공무원 이어 초등 임용후보자 패륜 막말 - 머니투데이,"경기지역의 한 초등학교 교사 임용후보자가 평소 익명으로 패륜 언행을 일삼았다는 청와대 국민청원글이 게시됐다. 경기도교육청이 사실관계 파악에 나선 것으로 알려졌다. 

1일 청와대 국민청원 게시글에 따르면 초등학교 임용시험에 합격한 20대 남성 A씨는 '디시인사이드 교대갤러리'에서 상당기간 활동하며 ""니 엄X XX 냄새 심하더라"", ""니 XX 맛있더라"" 등 패륜적인 막말이 담긴 글을 작성했다.

청원자는 A씨의 IP주소와 커뮤니티 닉네임 등을 공개한 뒤 ""A씨가 각종 극우성향 용어, 사자명예훼손, 욕설, 성희롱, 학교 서열화, 상처 주는 언행, 혐오 단어를 사용했다""며 ""교사로서의 자질이 전혀 보이지 않는다""고 주장했다.

또 ""이런 사람이 초등학교 교사가 되도록 가만히 놔둬도 된다고 생각하느냐""며 ""부모님 입장에서 나의 아이를 이 교사에게 맡겨야 한다고 상상해보니 정말 끔찍하다""고 적었다.

그러면서 ""일베 7급 공무원 사건과 마찬가지로 본인이 본인을 특정할 수 있는 근거를 흘려 현재 해당 인물이 누군지 특정이 된 상태""라며 ""다만 공론화가 되지 않아 외부의 사람들은 모르고 있다""고 밝혔다.

A씨는 '수도권 지역 교대 재학' 등 자신의 신상이 알려지자 온라인 커뮤니티에 ""자숙하겠다""는 내용의 사과문을 게시한 것으로 전해졌다.또 임용시험에 합격한 직후 한 차례 더 ""진심으로 반성하고 있다""는 내용의 글을 올린 것으로 알려졌다.

청원인은 ""10줄도 채 되지 않는 사과문으로 우리 아이들을 전적으로 믿고 맡겨야 할 교사가 되는 정당성을 갖출 수는 없다""며 ""일베 7급 공무원의 임용 취소와 같은 맥락으로 해당 학생의 임용을 막고 2021년 임용시험의 자격 박탈과 함께 정교사 2급 자격증도 박탈해야 한다""고 덧붙였다.

지난 1월 경기도는 극우성향 인터넷 커뮤니티 '일간베스트 저장소(일베)' 회원으로 활동하면서 각종 비하 글을 게시한 7급 공무원 합격자 B씨의 임용후보자 자격을 박탈했다."
머니투데이,이사민,다시 움직이는 황교안 '시작부터 구설수'…거리두는 野 - 머니투데이,"(서울=뉴스1) 황교안 전 자유한국당(현 국민의힘) 대표 2020.9.21/뉴스1  

지난해 총선 패배에 책임을 지고 정계와 거리를 뒀던 황교안 전 자유한국당(현 국민의힘) 대표가 다시 움직이고 있다. 하지만 황 전 대표의 복귀를 바라보는 당의 시선은 싸늘하다. 황 전 대표 자신도 초반부터 '실수'로 구설수에 올랐다.
━野 인사들 황교안과 거리두기━4·7 재보선 이후로 운신의 폭을 넓히는 황 전 대표에 대해 '친정' 국민의힘의 주요 인사들은 연신 거리를 두고 있다. 나경원 전 자유한국당 원내대표는 지난달 29일 YTN라디오에 출연해 ""자꾸 황 전 대표하고 저를 엮어서 이야기들 한다""며 ""황 전 대표의 생각과 저는 결이 달랐다""고 말했다. 이들은 2019년 당시 당대표와 원내대표로 자유한국당을 함께 이끌었다.

나 전 원내대표는 ""당시 제 원내대표 임기가 당연히 6개월 연장되는 줄 알았는데 2019년 12월에 갑자기 그만두게 되지 않았나""라며 ""황 전 대표 쪽에서 '황교안식 정치'나 투쟁에 제가 맞지 않는다고 보거나, 저를 걸림돌이라 생각하고 원내대표를 그만두게 한 것 같더라""고 설명했다.

아울러 ""지금은 황 전 대표가 정계 복귀를 천천히 하시는 게 좋지 않겠냐고 생각을 많이들 하는 것 같다""며 ""작년 총선은 코로나 국란으로 인해 비정상적으로 치러지기도 했지만, 실질적으로 공천 과정의 잘못 등 당시 황 전 대표 리더십에 대해 많은 분이 걱정했다""고 힘을 줬다.

성일종 국민의힘 의원도 지난달 27일 MBC라디오에 나와 황 전 대표가 최근 정치 행보를 재개하는 것에 대해 ""바람직하지 않다""며 ""총선 패배에 대한 의견일치가 있고 난 다음에는 정치 재개에 대한 가능성을 열 수 있지만, 원 구성이 굉장히 쏠린 이후의 대한민국 상황을 보면 더 책임 있는 자세를 보여야 하지 않겠나""라고 꼬집었다.

아울러 ""총선 참패라는 결과로서 정치인 황교안에 대한 평가는 끝난 것인가""라는 진행자 질문에 성 의원은 ""제가 볼 때는 그렇다""며 ""그런 부분(황 전 대표를 만류하는 조언)이 의원들 사이에 있다""고 말했다.
━의욕적으로 움직이는 황교안..시작부터 구설수━(서울=뉴스1) 황교안 전 자유한국당(현 국민의힘) 대표가 26일 국회 본청 앞 소상공인 농성장을 방문해 서명을 하고 있다. 2021.4.26/뉴스1  진중권 전 동양대 교수는 지난달 20일 페이스북에 황 전 대표의 TV 출연 소식을 다룬 기사를 공유하며 ""그저 넋 놓고 있는 것만으로도 애국할 수 있는 사람이 그 말고 또 있는가. 왜 그 특권을 굳이 마다하려고 하시는지""라고 썼다. 또 ""민주당을 사흘 만에 부활시키려고 오신 분""이라고 비꼬았다. 황 전 대표의 복귀가 여론에 좋지 않은 영향을 끼칠 것이라는 지적이었다.

그럼에도 황 전 대표는 다음날 ""진 전 교수님 고언을 잘 봤다. 감사드리고 경청하겠다""면서도 ""말씀 주신 대로, 넋 놓고만 있을 수는 없다""며 정치에 대한 의지를 보였다.

그런데 뜻밖의 상황에서 잡음이 나왔다. 황 전 대표는 지난달 26일 코로나19(COVID-19)에 따른 손실보상법 제정 및 소급적용을 요구하는 최승재 국민의힘 의원 국회 농성장을 찾았다. 그리고 농성장 방명록에 적힌 류호정 정의당 의원 이름을 보고 ""류호정은 어디 의원인가""라고 물은 것으로 전해졌다.

이후 류 의원은 관련 보도를 인스타그램에 공유하며 ""분발하겠읍니다"" ""정의당 국회의원 류호정""이라 썼다.  과거 표기법인 '-읍니다'체는 젊은 세대가 나이 든 세대인 척할 때 쓰는 유행어의 일종이다. 황 전 대표를 우회적으로 비판한 것이다.

이같은 해프닝에 황 전 대표는 직접 댓글로 ""의원님을 왜 몰랐겠나. (농성장을 방문한 게) 고마워서 반어법으로 얘기한 것인데 표현이 매끄럽지 못했다""며 ""미안하다. 불쾌해하지 않으셨으면 좋겠다""고 밝혔다.

/사진=류호정 정의당 의원 인스타그램"
머니투데이,심재현,"靑 ""검토 계획 없다""는데…이번엔 대구시장 ""이재용 사면"" 건의 - 머니투데이","권영진 대구시장이 지난 18일 서울시청에서 열린 '공시지가 관련 간담회'에서 발언하고 있다. /사진=뉴스1  

권영진 대구시장이 이재용 삼성전자 부회장의 사면을 건의하고 나섰다. 미국과 중국을 중심으로 전세계가 반도체 전쟁을 벌이는 상황에서 사령탑 역할을 할 이 부회장을 복귀시키는 것이 국익에 더 큰 도움이 된다는 취지다.

권 시장은 30일 대구상공회의소에서 열린 대구상의 창립 115주년 기념식 축사에서 ""지금 우리 경제의 주력 산업인 반도체산업이 기로에 서 있다""며 ""이재용 부회장을 계속 감옥에 둬 단죄하는 것보다 석방해서 반도체 전쟁의 사령관 역할을 충실히 하도록 하는 것이 우리 공동체 이익에 더 큰 도움이 될 것""이라고 주장했다.

이어 ""기업인의 잘못을 무작정 용서해 주라는 것이 아니다""라며 ""최근 국민 여론도 70% 이상이 이 부회장의 사면에 대해 우호적인 만큼 문재인 대통령의 결단을 간곡히 요청한다""고 밝혔다.

권 시장은 또 대구상의와 경북상의가 지난 27일 ""이 부회장의 구속은 대한민국 전체는 물론, 삼성전자의 모바일 사업장이 있는 대구·경북지역의 경제인에게도 너무나 안타까운 일""이라며 이 부회장의 사면 탄원서를 청와대 등에 전달한 사실도 언급했다.

대한상의, 한국경제자총협회, 중소기업중앙회, 한국무역협회, 한국중견기업연합회 등 경제 5단체는 ""반도체 산업이 위기와 도전적 상황에 직면하면서 그 어느 때보다 정부와 기업이 손을 잡고 글로벌 경쟁력을 갖춰 산업의 주도권을 위해 나아가야 할 중요한 시기""라며 지난 27일 청와대에 부회장의 사면 건의서를 제출했다. 이들 단체는 ""이를 위한 과감한 사업적 판단을 위해서는 기업 총수의 역할이 필요하다""고 밝혔다.

이 부회장은 지난 1월18일 국정농단 파기환송심에서 2년 6개월의 실형을 선고받고 구속 수감됐다. 수사 과정에서 구속 수감됐던 기간을 고려할 때 예정대로라면 내년 7월 출소하게 된다.

앞서 청와대는 경제5단체의 사면 건의에 대해 ""현재까지는 사면을 검토하지 않았고 검토할 계획도 없다""고 밝혔다."
머니투데이,백지수,10년째 안철수 행보에 주가 널뛰기…안랩 홀로서기 가능할까 - 머니투데이,"안철수 국민의당 대표 /사진=뉴스1

""안철수라는 그림자에서 벗어나고 싶습니다. 언제끼지 테마주로 엮어 기업가치가 널뛰기를 해야하나요 ""

최근 한 안랩 직원은 이같이 토로했다. 안랩 (65,900원 1000 -1.5%) 주가가 최대주주인 안철수 국민의당 대표의 정치 행보에 따라 널뛰기를 해서다. 최근 안 대표의 정치적 위상이 크게 약해졌지만 여전히 정치행보의 끝을 맺지 못하면서 회사 내부에서 조차  곱지않은 시선이 이어진다. 한국을 대표하는 보안기업인 안랩이 10년째 정치 테마주로 묶여 기업가치나 대외 평판에서 적잖은 피해를 보고 있다는 의미다.

30일 관련업계에 따르면, 안랩 주가는 이날 전날 종가 대비 1.49%(1000원) 내린 6만5900원에 거래를 마쳤다. 지난 3월 초만 해도 10만원선에도 거래됐던 안랩은 안 대표가 3월 23일 오세훈 서울시장에게 보궐선거 후보를 양보한 뒤로 30%이상 하락했다.  최근 안 대표의 행보가 잠잠하자 다시 횡보세를 보이는데, 대선정국이 본격화하면 다시 주가가 요동칠 것으로 보인다. 안 대표는 안랩의 창업자이자, 최대주주로 현재 18.6%의 지분을 보유하고 있다. 
━2011년 정치활동 시작이후 테마주로...10년째 안철수 따라 주가 널뛰기━안 대표의 정치적 행보와 주목도에 따른 안랩주가 변동은 이제 10년째를 맞았다. 

2011년 9월 처음 서울시장 후보 출마가 거론된 게 시발점이다. 이후 안랩은 대표적인 '안철수 테마주'로 안 대표의 입지에 따라 급등락을 거듭했다. 2012년 1월 안 대표가 처음 유력 대선 후보로 부각됐을 때에는 5만원대였던 주가가 16만7200원까지 치솟아 당시 코스닥 시총 2위(1조3400억원)를 기록하기도 했다. 
안랩 주가 /사진=네이버 금융같은해 대선후보 단일화 논의가 이어지면서 조금씩 하락세를 타던 안랩 주가는 결국 11월 안 대표가 대선 후보에서 물러나자 3만5000원대로 곤두박질했다. 

안 대표가 19대 대선 후보로 나선 2017년에도 안랩 주가 흐름은 비슷했다. 국민의당 경선 레이스가 시작됐던 2017년 3월초부터 5~6만원대였던 주가가 급등하더니 같은 달 31일에는 2배 이상 오른 14만7300원을 기록했다. 당시 2~3주 사이 40% 안팎으로 주가가 널뛰었다. 

그러다 같은해 4월 대선 TV 토론회 등을 거치며 안 대표 지지율이 떨어지기 시작하자 주가역시 동반 하락세를 탔다. 대선 후 안 대표가 잠시 정치 활동을 중단하겠다고 선언한 뒤로는 안랩 주가는 5만원대로 되돌아갔다. 사실상 적정주가를 되찾은 셈이다.

하지만 안 대표가 지난해 코로나19 봉사활동 등으로 정치 활동을 재개하고 지난 4·7 서울시장 보궐선거 단일화에 나서자 또다시 주가가 요동쳤다.  오세훈 서울시장과의 후보 단일화 당일인 지난달 23일 주가는 전일 대비 15.4%가 하락했다. 

안랩 주주들 사이에서는 안 대표의 국민의당과 국민의힘 사이 합당 논의가 마무리되면 다시 주가가 상승세를 탈 것이라는 전망이 나온다. 

안랩 직원들은 곱지않은 시선을 보낸다. 보안업체로서 안랩의 사업활동이나 본원적 가치에대한 주목도는 상대적으로 떨어져서다.  안랩이 사업 실적으로 평가받지 못하고 정치 테마주에 편승해 단기차익만 노리는 투기세력의 놀이터로 전락했다는 것이다. 때문에 정치활동을 계속할 것이라면 안대표가 차라리 지분을 정리해야한다는 목소리도 나온다.

━신사업 발표해도 꿈쩍 않는 주가…실적조차 '주춤'━
일각에서는 안랩 스스로도 안철수 대표의 그늘을 넘어설 획기적 성장세나 변신을 보여주지 못하고 있다는 평가도 있다. 

 안랩은 최근 신사업 확장에 나서며 회사의 '뿌리'라고 할 수 있는 안티바이러스(백신) 프로그램 'V3'의 비중을 줄이고 대신 클라우드 보안  등 신사업 비중을 키우고 있다. 지난 18일에는 LG CNS와 클라우드 보안 사업 협력 업무협약도 발표했다.  하지만 이같은 사업적 변화에도 안랩 주가는 오히려 뒷걸음질 했다. 시장에 큰 임팩트를 주지 못했다는 의미다.

지난해 코로나19 여파로 보안 업계가 호황을 누린 속에도 안랩은 업계 평균보다도 낮은 성장세를 보였다.  '2020년 국내 정보보호산업 실태조사'에 따르면 정보보안(물리보안 제외) 업계의 지난해 총 매출은 3조9074억원 규모로 전년 대비 8% 성장했다. 반면 안랩은  전년 대비 6.7% 성장한 1782억원에 그쳤고, 2019년에도 전년 대비 4.5% 성장에 머물렀다.

한 보안업계 관계자는 ""안랩이  '안철수'라는 창업자의 존재와 엮여 신경쓰는 일들이 많다보니 투자나 사업 영역 확장 등에서 어려움이 많은 것으로 안다""고 말했다."
머니투데이,김영상,"文 대통령이 내놓은 노동절 메시지…""직장 내 갑질 없앨 것"" - 머니투데이","(서울=뉴스1) 유승관 기자 = 문재인 대통령이 27일 청와대 여민관에서 열린 제18회 국무회의에서 발언하고 있다. 2021.4.27/뉴스1  

문재인 대통령이 1일 노동절을 맞아 ""임금체불과 직장 내 갑질이 없어지도록 정책적 노력을 기울이겠다""고 밝혔다.

문 대통령은 이날 자신의 SNS(소셜네트워크서비스)에 올린 '함께 회복하고 새롭게 도약하는 세계 노동절'이라는 글에서 이같이 밝혔다.

문 대통령은 ""필수노동자의 헌신적인 손길이 코로나 위기에서 우리의 일상을 든든하게 지켜줬다""며 ""우리 모두 노동의 가치를 더욱 소중하게 생각하게 됐다""고 전했다.

문 대통령은 고용 회복과 고용 안전망 강화를 위한 정부의 노력을 강조했다. 문 대통령은 ""일자리를 지키는 것이 회복의 첫걸음이라는 마음으로 최선을 다하고 있지만 여전히 어려움을 겪고 계신 분들이 많다""며 ""일자리를 더 많이, 더 부지런히 만들고 임금체불과 직장 내 갑질이 없어지도록 계속 정책적 노력을 기울이겠다""고 밝혔다.

노동존중사회 실현이라는 목표도 다시 한번 언급했다. 문 대통령은 ""코로나 위기가 노동 개혁을 미룰 이유가 될 수 없다""며 ""노동시간 단축은 일자리를 나누며 삶의 질을 높이는 과정""이라고 밝혔다. 

이어 ""ILO(국제노동기구) 핵심협약 비준도 노동권에 대한 보편적 규범 속에서 상생하자는 약속""이라며 ""잘 안착될수록 노동의 만족도와 생산성이 높아져 기업에도 도움이 될 것이라 확신한다""고 했다.

그러면서 ""지난해 노동자 전태일 열사께 국민훈장 무궁화장을 드렸다""며 ""정직한 땀으로 숭고한 삶을 살아오신 노동자와 노동존중사회를 만들기 위해 애써오신 모든 분들께 존경의 인사를 드린다. 집으로 돌아가는 노동자들의 발걸음이 더욱 가벼워지도록 계속 노력하겠다""고 했다."
머니투데이,윤세미,"美 대북정책 검토 완료...""한반도 비핵화 목표·실질적 접근 모색"" - 머니투데이","사진=AFP

조 바이든 미국 행정부가 출범 100일 만에 대북정책 재검토를 마무리했다. 한반도의 완전한 비핵화를 목표로 실질적 접근을 통한 외교적 해법을 모색한다는 방침이다. 

지난달 30일(현지시간) 로이터와 CNN 등 주요 외신에 따르면 젠 사키 백악관 대변인은 이날 대통령 전용기에서 기자들에게 ""철저하고 엄격하고 포괄적인 대북정책 검토를 완료했음을 확인할 수 있다""면서 ""우리는 이전 행정부 관료 및 외부 전문가들과 긴밀히 상의했으며 향후 우리가 나아갈 길은 그들이 배우고 공유한 교훈을 바탕으로 한다""고 말했다. 

사키 대변인은 ""미국의 목표는 한반도의 완전한 비핵화""라고 강조하며 ""지난 4개 행정부의 노력이 이러한 목적을 달성하지 못했다는 것을 분명히 이해하고 있다""고 했다. 이어 ""미국의 정책은 조절된 실질적인 접근을 추구할 것""이라고 덧붙였다.

아울러 그는 ""우리의 정책은 '일괄 타결'을 이루는 데 초점을 맞추거나 '전략적 인내'에 의존하지 않을 것""이라며 ""우리의 정책은 북한과의 외교를 모색하는 조절된 실질적인 접근 및 미국과 동맹국의 안보를 강화하는 실질적인 진전을 요구한다""고 부연했다.

향후 대북정책에서 트럼프식 일괄 타결이나 오바마식 전략적 인내가 아닌 실질적 접근 방식을 취하겠다는 뜻으로 풀이된다. 트럼프 전 대통령은 김정은 북한 국무위원장과의 정상 담판을 통한 빅딜을 추구했고 오바마 전 대통령은 대북 압박을 통해 북한의 태세 전환을 이끌어내려 했지만 바이든 행정부는 두 정책 모두 북한에 핵 포기를 설득하지 못했다고 판단, 출범 직후부터 대북정책을 재검토해왔다. 

다만 이날 발표된 내용에는 큰 틀의 기조만 소개돼 구체적인 방법론이 주목된다. 이와 관련 워싱턴포스트(WP)는 미국의 한 고위 관계자를 인용해 ""미국의 접근법은 싱가포르 합의와 과거 다른 합의들을 기반으로 할 것""이라 전했다. 다른 당국자는 ""비핵화라는 궁극적 목표와 함께 특정 조치에 대한 완화 제시를 준비한 조절되고 신중한 외교적 접근""이라고 소개했다. 바이든 대통령은 지난주 대북정책 검토 결과를 보고 받은 것으로 전해진다.

CNN은 바이든 대통령이 오는 21일 문재인 대통령과 정상회담 개최를 발표한 지 하루 만에 대북정책 재검토가 종료됐다고 짚었다. 한·미 정상은 내달 21일 백악관에서 바이든 취임 후 첫 정상회담을 연다. 바이든 대통령이 외국 정상을 미국으로 초청해 대면 회담을 하는 것은 지난 16일 스가 요시히데 일본 총리에 이어 두 번째다."
