date,title,press,reporter,content
2021-04-06 03:00:00,"中 “한국, 주한 중국인 中백신 접종 지지”… 韓 “그런 언급 안해”",동아일보,최지선 기자 ,"

중국 외교부가 3일 열린 한중 외교장관 회담 결과를 전하면서 우리 정부가 중국 정부의 ‘춘먀오(春苗)행동’ 계획을 지지했다고 일방적으로 밝혀 논란이 일고 있다. 춘먀오행동은 해외 체류 중국인들에게 중국산 등 신종 코로나바이러스 감염증(코로나19) 백신을 접종하겠다는 계획이다. 정의용 외교부 장관은 회담에서 왕이(王毅) 중국 외교부장에게 춘먀오행동에 대해 명시적인 지지를 표명하지 않은 것으로 알려졌다. 외교부는 5일 “중국이 오해의 소지가 있는 표현을 보도자료에 썼다”고 선을 그었다. 외교부 당국자는 이날 “(정 장관이 회담에서) 장기 거주 외국인에 대해 (한국인과) 똑같은 조건으로 백신을 접종하겠다는 방침을 밝혔고 중국 측도 자국 내 장기 거주 외국인이 동의하면 백신을 보급하겠다고 한 바 있어 이에 대해 (양국 장관이) 서로 긍정적으로 평가한 대목은 있었다”고 했다. 이어 “회담에서 ‘춘먀오행동’이 부각된 기억이 없는데 (중국 측이) 오해의 소지가 있는 표현을 회담 결과를 전하는 보도자료에 담은 것으로 생각된다”고 밝혔다. 결국 중국이 정 장관이 하지도 않은 표현을 발표한 셈이다. 다른 당국자도 “(회담에서) 춘먀오행동의 구체적인 내용에 관련된 언급은 없었다”며 “아직 우리 방역당국이 춘먀오행동의 한국 적용을 구체적으로 검토하는 것은 없다”고 했다. 앞서 중국 외교부는 회담 결과를 전하면서 “한중 양측이 (코로나19 감염자가 아님을 증명하는) 건강코드 상호 인증체제를 구축하고 백신 협력을 전개하는 데서 협력을 강화하기로 동의했다”면서 “한국은 중국의 춘먀오행동 계획을 지지했다”고 했다. 왕 부장은 지난달 기자회견에서 춘먀오행동에 대해 “(주변국에) 중국산 백신 접종 센터를 설립해 중국인들에게 서비스를 제공할 것”이라고 밝혔다. 우리 정부는 아직 중국산 백신의 국내 접종을 허용하지 않고 있다. 한중 장관이 동의했다고 중국 측이 밝힌 ‘건강코드 상호 인증체제 구축’에 대해서도 외교부 당국자는 “건강코드를 사용하면 향후 인적 왕래에 편리하다는 중국 측의 제안이었다. 우리 방역당국이 검토할 사항이지만 방역당국과 구체적으로 협의한 것은 아니다”라고 했다.  특히 중국은 한중 외교장관 회담에서 우리 정부에 또다시 사드(THAAD·고고도미사일방어체계) 반대 입장을 들고나왔다. 올해 출범한 조 바이든 미국 행정부가 강조하는 한미일 3국 안보 협력에 한국이 참여하지 말라는 압박으로도 읽힌다. 외교부 당국자는 5일 “사드와 관련해 원론적 수준의 의견 교환이 있었다”며 “2017년 이후 (중국이 제기한) 틀에서 벗어나지 않았다”고 했다. 중국은 그동안 “사드에 단호히 반대한다”며 “한국은 3불(不) 약속을 지켜 사드 문제를 적절히 처리하라”고 요구해 왔다. 중국이 “한국 정부가 약속했다”고 주장하는 3불에는 △사드 추가 배치 불가 △미국의 미사일방어(MD) 체계 불편입 △한미일 3국 협력의 군사동맹 발전 불가가 포함된다. 최지선 기자 aurinko@donga.com 
"
2021-03-25 03:00:00,"‘文대통령 백신 바꿔치기 의혹’ 글에… 방역당국 “가짜뉴스, 경찰 수사 요청”",동아일보,이지윤 기자 ,"

문재인 대통령이 23일 접종받은 신종 코로나바이러스 감염증(코로나19) 백신이 바꿔치기 된 것이란 인터넷 의혹이 제기되자 경찰이 수사에 나섰다. 문 대통령은 “제가 (백신을) 맞아보니 안심해도 된다”는 접종 후기를 올렸다. 중앙방역대책본부(방대본)는 24일 브리핑을 열고 “(문 대통령) 주사기를 바꿔치기했다는 허위 정보글이 유포되는 것은 백신 불안을 야기할 수 있다”며 “해당 인터넷 게시글을 허위 사실을 적시해 공무집행을 방해한 혐의로 경찰청에 수사 의뢰했다”고 밝혔다. 의뢰 주체는 범정부 차원의 예방접종대응추진단이다. 경찰은 즉시 내사에 착수했다. 23일 일부 온라인 커뮤니티에서는 문 대통령이 접종한 아스트라제네카 백신이 화이자 백신으로 바꿔치기됐다는 내용의 게시글이 등장했다. 한 커뮤니티에서는 “(간호사가) 캡(뚜껑)이 열린 주사기로 주사약을 뽑더니, (안 보이는) 뒤로 가서 캡이 닫혀 있는 주사기를 들고 왔다”는 글이 올라왔다. 문 대통령이 서울 종로구보건소에서 백신 접종을 받을 때 간호사가 칸막이 뒤로 가 백신을 바꿨다는 의혹이다. 방역당국은 문 대통령 백신 접종 당시 주사기 뚜껑을 뺐다가 다시 씌운 것은 맞지만, 오염 방지를 위한 정상적인 의료 활동이라고 밝혔다. 홍정익 방대본 예방접종기획팀장은 “바이알(약병)에서 약을 뽑고 나서 다른 작업을 할 경우 오염 방지를 위해 뚜껑을 다시 씌우는 경우가 있다”며 “이는 간호사 등 의료인의 판단”이라고 설명했다. 고재영 방대본 위기소통팀장은 “통상 (의료진이) 앉아 있는 상태에서 바로 접종하는데 당시 촬영 준비에 시간이 걸려 오염 방지를 위해 뚜껑을 씌운 것”이라고 말했다. 문 대통령은 이날 페이스북에 전날 접종받은 백신 관련 글을 올렸다. 문 대통령은 “만 하루와 7시간이 지난 지금까지도 별 탈이 없다”며 “밤늦게 미열이 있었는데 해열진통제를 먹고 잤더니 개운해졌다”고 밝혔다. 문 대통령은 또 “평소 고혈압인데 혈압에도 아무 영향이 없는 듯하다”며 “이제 (아스트라제네카) 백신의 안전성 논란을 끝내기 바란다”고 당부했다.이지윤 기자 asap@donga.com 
"
2021-03-10 03:00:00,[단독]“백신 7900만명분 구입비 3조8067억… 도스당 22달러에 계약”,동아일보,"전주영 기자 , 김성규 기자 ","

《정부가 11월까지 전 국민의 70%에게 접종하겠다고 밝힌 신종 코로나바이러스 감염증(코로나19) 백신, 우리 정부는 얼마를 주고 샀을까. 9일 국민의힘 김미애 의원실에 따르면 정부가 1인 1회 접종분당 해외 제약사에 지불한 비용은 평균 2만5044원(22달러)이었다. 총 7900만 명분의 백신 구매비로 3조8067억 원이 들어가는 것. 코로나19 백신 구매는 각국 정부와 제약사 간 일대일 계약으로 진행돼 국가마다 구매 가격이 다르다.》정부가 신종 코로나바이러스 감염증(코로나19) 백신 구매를 위해 해외 제약사들과 1도스(1인 1회 접종분)당 평균 22달러에 계약했고, 4조 원가량을 지출할 예정인 것으로 9일 확인됐다. 국회 보건복지위원회 소속 국민의힘 김미애 의원실이 질병관리청으로부터 제출받은 ‘2021년도 추가경정예산안 사업설명자료’에 따르면 정부는 국민 7900만 명이 접종할 수 있는 코로나 백신 1억5200만 회 접종분을 구매할 예정이라고 국회에 보고했다.  자료에 따르면 정부가 아스트라제네카, 화이자, 얀센 등 제약사들과 계약한 백신 구매 비용은 모두 3조8067억 원, 백신 1회 접종분당 평균 단가는 2만5044원(약 22달러)이다. 지금까지 정부는 ‘제약사들과의 계약상 비밀 유지 의무’를 이유로 백신 제조사별 계약단가를 공개하지 않았지만, 이번 추경 관련 국회 설명 과정에서 대략적인 금액이 공개된 것이다. 정부는 현재 5종의 백신 1억3200만 회에 대한 구매 계약을 완료(2000만 회는 구매 약정 상태)했는데, △아스트라제네카 2000만 회분 △얀센 600만 회분 △화이자 2600만 회분 △모더나 4000만 회분 △노바백스 4000만 회분이다. 미국 뉴욕타임스(NYT) 등 해외 언론을 통해 알려진 가격은 △아스트라제네카 3∼5달러 △얀센 10달러 △화이자 19∼20달러 △모더나 15∼25달러 △노바백스 16달러다. 백신 가격은 국가와 제약사 간 일대일 계약이기 때문에 협상 조건에 따라 정부 구매 가격이 달라진다. 지난해 12월 18일, 벨기에 예산장관의 실수로 유럽연합(EU)이 계약을 한 각 제약사의 백신 가격이 노출되기도 했다. 아스트라제네카는 1.78유로(약 2.1달러), 화이자는 12유로(약 14.2달러) 등으로 벨기에의 계약 액수는 기존 언론에 알려진 가격보다 더 낮았다. 뉴욕타임스 등을 통해 노출된 통상 단가를 한국 정부의 구매 분량에 적용해 계산하면 평균 단가는 약 17달러로 집계된다. 국회 보고한 정부 구매 가격(평균 단가 22달러)은 이보다 5달러가량 비싼 것.  이에 대해 질병청 관계자는 “개별 백신 가격은 계약서상 비밀유지 조항에 따라 공개할 수 없다. 다른 나라도 백신 계약 가격을 공개한 적이 없는 상황”이라고만 했다. 다만 국가별 백신 도입 가격은 구매량과 소득 수준, 연구개발(R&D) 투자 등이 영향을 미치는 것으로 알려졌다. 백신 도입 협상을 한 보건당국 간부는 “협상 과정을 보면 가격은 정해져 협상의 여지가 없다는 느낌을 받았다”고 설명했다. 정부는 지난해 12월에 야당의 “백신 구매가 지체되고 있다”는 비판 속에 얀센, 화이자, 모더나와 빠르게 협상 및 계약을 했다. 하지만 제조사별 계약단가는 공개되지 않았다. 김 의원은 “지난해 11월 박능후 당시 보건복지부 장관은 ‘화이자, 아스트라제네카와 가격을 합리적으로 하기 위해 바기닝(협상) 중이고, 계약도 그쪽에서 재촉한다’고 국회에서 발언했다”며 “통상 해외 다른 나라의 계약단가보다 비싸게 구매했다면 정부가 거짓말을 했거나 무능했거나 둘 중 하나다”라고 말했다.전주영 aimhigh@donga.com·김성규 기자  
"
2021-02-25 03:00:00,이스라엘 ‘백신 외교’…“여분 나눠줄게 예루살렘에 대사관 열어줘”,동아일보,카이로=임현석 특파원 ,"

이스라엘이 남는 신종 코로나바이러스 감염증(코로나19) 백신을 다른 국가들에 나눠 주겠다고 밝혔다. 특히 팔레스타인과의 영토분쟁 지역임에도 이스라엘이 수도로 선포한 예루살렘에 대사관을 설치하겠다고 밝힌 국가들이 주요 지원 대상으로 거론된다. 베냐민 네타냐후 총리는 23일 성명을 통해 “현재 백신 보유량 중 일부 물량을 팔레스타인 및 다른 백신 요청 국가에 보내겠다”고 밝혔다. 총리실은 구체적인 국가명을 언급하지 않았으나 로이터통신은 과테말라, 온두라스, 체코가 포함됐다고 보도했다.  세 나라는 주이스라엘 대사관을 경제 중심지 텔아비브에서 예루살렘으로 이전했거나 이전에 관심을 보였다는 공통점이 있다. 이스라엘은 1967년 3차 중동전쟁 당시 팔레스타인이 관할하던 동예루살렘을 점령한 후 예루살렘 전체를 수도로 선포했다. 유엔과 국제사회가 이를 인정하지 않았음에도 우호 국가로 하여금 대사관을 예루살렘으로 이전하라고 설득해왔다. 이 중 체코 정부는 이미 소량의 백신을 전달받았다고 밝혔다. 과테말라와 온두라스 정부도 조만간 각각 5000회 분량의 백신을 받을 것으로 전해졌다. 이스라엘은 최근 코로나19 백신을 주요 외교 수단으로 활용하고 있다. AP통신은 21일 이스라엘이 시리아에 러시아산 코로나19 백신을 비밀리에 대신 사주기로 하고 시리아에서 체포된 이스라엘인 2명과 이스라엘에 구금된 시리아인 2명을 맞교환했다고 보도했다. 현재까지 이스라엘은 전 국민 930만 명 중 446만 명의 백신 접종을 마쳤다. 미국 제약사 화이자에 백신 접종 데이터를 넘겨주는 조건으로 지난해 11월 800만 회분 계약을 맺고 한 달 후부터 백신 물량을 빠르게 공급받은 덕분이다.  필리핀 역시 24일 코로나19 백신을 공급해주는 국가에 간호사 등 의료 인력을 대거 파견하겠다고 밝혔다. 현재 해외 파견 의료 종사자를 연간 5000명으로 제한하고 있지만 백신 공급 국가에는 배정 인원을 대폭 늘리겠다는 의미다. 현지 언론은 필리핀 간호사 파견이 많은 영국 및 독일에 사실상 백신 공급을 요청한 것으로 풀이하고 있다.카이로=임현석 특파원 lhs@donga.com  
"
2021-02-24 03:00:00,"김태년 “백신 정쟁화, 국민혼란 조장”",동아일보,동아일보,"
23일 더불어민주당 원내대책회의에서 김태년 원내대표(왼쪽)와 홍익표 정책위의장이 대화를 나누고 있다. 김 원내대표는 “저급한 백신 정쟁화가 국민 불안과 혼란을 조장한다”며 “백신 안전성에 의문이 있다면 정치권은 나부터 먼저 솔선수범하는 자세가 필요하다”고 했다. 사진공동취재단  
"
2021-02-23 03:00:00,野 “文부터 백신 맞아야” 與 “특혜라고 할것”… 정치권 ‘대통령 1호접종’ 놓고 온종일 시끌,동아일보,"전주영 기자 , 박효목 기자 , 유근형 기자 ","

            안정성 논란이 제기되고 있는 영국 아스트라제네카의 신종 코로나바이러스 감염증(코로나19) 백신 접종과 관련해 정치권에서 ‘대통령 1호 접종’ 공방이 확산되고 있다. 국민의힘 주호영 원내대표는 22일 당 비대위 회의에서 “정부가 사용을 허락하고 국민에게 접종을 권할 것이면, 문재인 대통령을 비롯한 책임 당국자부터 먼저 접종해서 국민의 백신 불안감을 해소해 줄 것을 요청한다”고 목소리를 높였다. 더불어민주당은 반발했다. 양향자 최고위원은 당 회의에서 “만일 대통령이 먼저 백신을 맞는다면 특혜라고 할 것 아니겠나”라고 했고, 신동근 최고위원은 “공포를 증폭시키고 반과학을 유포하는 것은 반사회적 책동”이라고 비판했다.  ‘대통령 1호 접종’ 논란이 이어지자 청와대는 22일 “국민적 불신이 있다면 마다할 이유가 없다”고 반박했다. 다만 청와대 관계자는 “(접종 순위) 방침이 수정되지 않는다면 (문 대통령이 가장 먼저 접종하는 등의) 상황 변동은 없다”고 설명해 대통령 1호 접종의 가능성은 언급하지 않았다. 앞서 문 대통령은 지난달 신년기자회견에서 “만약 백신에 대한 불안감이 아주 높아져 기피하는 상황이 되고, 솔선수범이 필요한 상황이 되면 피하지 않겠다”고 말한 바 있다.  이날 정은경 질병관리청장은 정청래 의원의 ‘백신 실험 대상’ 발언에 대한 의견을 묻는 질문에 “적절치 않다”고 말했다. 정 청장은 이날 중앙방역대책본부 브리핑에서 “백신을 맞는 국민은 누가 되든 실험 대상이 아니다”라고 강조했다. 전주영 aimhigh@donga.com·박효목·유근형 기자 
"
2021-02-19 03:00:00,백신주사기 업체 찾은 文대통령 “정부-삼성-中企 협력으로 혁신”,동아일보,"박효목 기자 , 박성진 기자 ","

문재인 대통령은 18일 신종 코로나바이러스 감염증(코로나19)과 관련해 “26일부터 시작되는 백신 예방 접종을 반드시 성공으로 이끌겠다”고 말했다.  문 대통령은 이날 전북 군산에 있는 최소잔여형(LDS·LowDeadSpace) 백신주사기 생산업체 풍림파마텍을 방문해 “정부는 충분한 물량의 백신과 주사기를 확보했고 예방접종 계획도 빈틈없이 마련했다”며 이같이 말했다. 최소잔여형 주사기는 주사기에 남는 백신 잔량을 최소화하는 주사기다. 일반 주사기로는 백신 1병으로 5명을 접종할 수 있지만 최소잔여형 주사기로는 6명을 접종할 수 있다.  풍림파마텍은 지난해 중소벤처기업부와 삼성전자의 스마트공장화 지원을 받아 최소 1년 걸리는 개발 기간을 한 달로 단축해 월 1000만 개 이상의 최소잔여형 주사기를 만들 수 있는 생산체계를 갖췄다. 정부는 화이자와의 협상 과정에서 최소잔여형 주사기를 화이자에 납품하는 조건으로 백신 조기 도입을 관철시켰다. 중기부에 따르면 미국과 일본의 제약회사가 최근 풍림파마텍에 각각 1억8000만 개와 8000만 개의 주사기 공급이 가능한지 문의하는 등 각국 제약회사로부터 공급 요청이 이어지고 있다.  문 대통령은 “풍림파마텍의 혁신 성과 뒤에 대기업과 중소기업, 정부의 상생협력이 있었다”고 했다. 이어 “삼성은 최소잔여형 주사기 수요가 늘어날 것을 먼저 예측했고, 풍림파마텍의 기술력을 인정해 생산라인의 자동화와 금형기술을 지원하는 등 전방위적인 협력으로 우수한 제품의 양산을 이끌었다”고 했다. 이날 행사에는 조희민 풍림파마텍 대표와 김종호 삼성전자 스마트공장지원센터장, 고한승 삼성바이오에피스 사장 등이 참석했다. 박효목 tree624@donga.com·박성진 기자 
"
2021-02-17 03:00:00,"“北, 코로나 백신기술 노려 화이자 해킹 시도”",동아일보,"권오혁 기자 , 이은택 기자 ","

            국가정보원이 미국의 신종 코로나바이러스 감염증(코로나19) 백신 제약회사인 화이자에 대한 북한의 해킹 시도가 있었다고 보고했다고 국회 정보위원회 야당 간사인 하태경 국민의힘 의원이 16일 밝혔다. 하 의원은 이날 국회 정보위 전체회의 결과를 전하는 브리핑에서 “매일 평균 (북한의) 사이버 공격 시도가 158만 건”이라며 “전년 대비 32% 증가했고 코로나19 백신 및 치료제 원천기술 탈취 시도가 사이버 공격 중에 있었다”면서 이같이 말했다. 하 의원은 본보와의 통화에서 “국정원은 북한이 유럽연합(EU)의 화이자를 해킹했다고 자료에 써놨다”며 “국정원은 시도였다고 하는데 내가 본 건 분명히 해킹했다는 것”이라고 주장했다. 다만 국정원 측은 “(화이자에 대한) 해킹 탈취 시도가 있었다고 밝혔을 뿐 (해킹 주체가) 북한이라고 밝히지 않았다”고 했다. 월스트리트저널(WSJ)은 지난해 12월 “북한이 한국의 제넥신, 신풍제약, 셀트리온과 미국의 존슨앤드존슨, 노바백스, 영국의 아스트라제네카 등 백신과 치료제 개발사 최소 6곳을 상대로 해킹을 시도했다”고 보도한 바 있다. 이날 국정원은 북한이 지난해 한국 영화, 드라마 등 영상물을 유입, 유포하면 최대 사형에 처하는 ‘반동사상문화 배격법’을 제정했다고 보고했다. 권오혁 hyuk@donga.com·이은택 기자  
"
2021-02-04 03:00:00,코로나 백신 수송 훈련 지켜보는 文대통령,동아일보,동아일보,"
3일 인천국제공항 화물터미널에서 문재인 대통령(가운데)과 서욱 국방부 장관(왼쪽), 변창흠 국토교통부 장관(오른쪽)이 신종 코로나바이러스 감염증(코로나19) 백신 수송 모의훈련을 지켜보고 있다. 이날 방역당국은 코로나19 백신 중 처음으로 미국 화이자 백신의 ‘특례수입’을 승인했다. 청와대사진기자단  
"
2021-02-02 03:00:00,"식약처 자문단 “아스트라 백신, 고령층 맞아도 된다”",동아일보,"유근형 기자 , 김소영 기자 ","

            고령층 효과 논란이 제기된 영국 아스트라제네카의 신종 코로나바이러스 감염증(코로나19) 백신에 대한 국내 첫 검증 결과가 나왔다. 식품의약품안전처는 지난달 31일 열린 ‘코로나19 백신 안전성·효과성 검증 자문단’ 회의 결과를 2일 발표했다. 식약처는 “65세 이상 고령층도 맞을 수 있다는 의견이 다수였다”고 밝혔다. 자문단에 참여한 다수의 전문가는 “아스트라제네카 임상 참여 대상자 중 고령자 수가 적다는 이유만으로 고령자 투여를 배제할 수 없다”는 의견을 낸 것이다. 이는 국내 65세 이상 고령층에도 아스트라제네카 백신을 접종할 수 있다는 뜻이다. 자문단은 “미국에서 진행 중인 (추가) 임상시험 결과를 허가 후에 제출하는 조건으로 아스트라제네카 백신을 허가할 수 있다”고 밝혔다. ‘조건부 허가’를 권고한 것이다. 하지만 자문단 중에선 고령자 백신접종 자료가 부족하고 예방 효과가 입증되지 않았다는 소수 의견도 있었다. 식약처는 별도의 전문가 검증을 2차례 더 실시한 뒤 허가 여부를 결정한다. 아스트라제네카 백신의 임상시험 대상(8895명) 중 65세 이상 고령자는 7.4%(660명)에 불과하다. 하지만 예방효과가 62%에 달해 세계보건기구(WHO) 등 국내외 기준(예방 효과 50%)을 충족한다. 정은경 질병관리청장은 이날 정례브리핑에서 “아스트라제네카 백신 효과를 고려할 때 고령층 접종이 충분히 가능하다”고 밝혔다. 하지만 우려의 시선도 나오고 있다. 최대집 대한의사협회 회장은 “65세 이상 고령자에게는 아스트라제네카 백신 대신 화이자와 모더나 백신을 접종해야 한다”고 주장했다. 김우주 고려대구로병원 감염내과 교수도 “(고령자 접종 제외를 권고한) 독일 프랑스 이탈리아 등은 향후 과학적 근거를 갖고 허가 여부를 판단하겠다고 본 상황”이라고 말했다.유근형 noel@donga.com·김소영 기자  
"
