date,title,reporter,content,press
2021-03-31,"김여정, 文대통령에 “미국산 앵무새”",김명성 기자,"북한 김여정 노동당 선전선동부부장이 30일 북한의 탄도미사일 발사에 우려를 표명한 문재인 대통령에 대해 “미국산 앵무새” ”뻔뻔스러움의 극치”라고 비난했다. 지난 15일 담화에서 ‘3년 전 봄날은 다시 돌아오기 어려울 것’이라며 대남 강경 메시지를 낸 김여정이 보름 만에 다시 문 대통령을 정면 비난한 것이다. 이는 추가 도발을 위한 계획적 명분 쌓기라는 관측이 나온다.
김여정은 이날 조선중앙통신을 통해 발표한 담화에서 “나는 남녘땅에서 울려나오는 잡다한 소리들에 접할 때마다 아연해짐을 금할 수 없다”면서 “‘남조선 집권자’가 직접 마이크를 잡고 우리에 대해 뭐라고 할 때가 더욱 그렇다”고 했다. 특히 문 대통령이 작년 국방과학연구소(ADD)를 찾아 ‘현무-4’미사일 시험발사를 참관하며 했던 발언을 거론하며 “저들이 한 것은 평화와 대화를 위한 것이고, 우리가 한 것은 남녘 동포들의 우려를 자아내고 대화 분위기에 어려움을 주는 바람직하지 않은 일이라니 그 철면피함에 경악을 금할 수 없다”고 했다.
국제법과 동일한 효력을 갖는 유엔 안보리 결의에 의해 금지된 자신들의 탄도미사일 발사를 한국의 탄도미사일 발사와 동일선상에서 비교한 것이다. 북한은 지난 27일 군부 2인자인 리병철 당중앙군사위 부위원장 담화, 28일 조철수 외무성 국제기구국장의 담화를 통해서도 ‘우리 자위권 행사가 왜 문제냐'는 주장을 폈다.
남성욱 고려대 교수는 김여정 담화에 대해 “추가 도발의 명분을 쌓으면서 한·미·일 안보실장회의와 미국의 대북 정책 발표를 앞두고 우리 정부에 바이든 정부를 설득해 미북 협상의 무대를 만들라는 압박”이라고 했다. 특히 김여정이 15일 담화에서 조평통 폐지, 남북 군사합의서 파기 등을 경고한 상태이기 때문에 조만간 수위를 높인 도발을 할 가능성이 높은 것으로 보인다.
청와대와 통일부는 이날 김여정의 담화에 “유감”을 표했다. 청와대는 “북한도 대화 의지를 보여야 한다”고 했고, 통일부는 “어떤 순간에도 최소한의 예법은 지켜져야 한다”고 했다.",조선일보
2021-03-29,"김상조 경질한 文대통령, 마스크엔 ‘부동산 부패청산'",김승현 기자,"문재인 대통령이 29일 오후 청와대 본관에서 열린 제7차 공정사회 반부패정책협의회에 ‘부동산 부패청산’이라는 문구가 인쇄된 마스크를 쓰고 참석했다. 문 대통령은 서울 강남구 청담동 아파트 현 세입자에게 지난해 7월 임대차 3법 시행 이틀 전 전세금을 14.1% 올려받은 사실이 드러난 김상조 청와대 정책실장을 이날 오전 경질했다.
문 대통령은 회의에서 “야단맞을 것은 맞으면서 국민의 분노를 부동산 부패의 근본적인 청산을 위한 동력으로 삼아주기 바란다”고 말했다.
문 대통령은 한국토지주택공사(LH) 직원들의 3기 신도시 투기 의혹에 대해서는 “이번 사건을 철저하고 단호하게 처리하고, 부동산 부패의 구조적·근본적 해결까지 나아가야 한다”며 “국가의 행정력과 수사력을 총동원해주기 바란다”고 했다.
이어 “조사와 수사 대상이 넓어지는 가운데 멈추지 말고, 정치적 유불리도 따지지 말고 끝까지 파헤쳐주기 바란다”고 했다.",조선일보
2021-03-30,"김여정, 文대통령에 “미국산 앵무새” 비난",최규민 기자,"북한 김여정이 문재인 대통령에 대해 “미국산 앵무새”라고 맹비난했다.
김여정은 30일 조선중앙통신을 통해 발표한 담화에서 지난 26일 문 대통령의 ‘서해 수호의 날 기념식’ 연설을 거론하며 “북과 남의 같은 국방과학연구소에서 진행한 탄도미사일 시험을 놓고 저들이 한 것은 조선반도(한반도) 평화와 대화를 위한 것이고 우리가 한 것은 남녘 동포들의 우려를 자아내고 대화 분위기에 어려움을 주는 결코 바람직하지 않은 일이라니 그 철면피함에 경악을 금할 수 없다”고 했다.
그는 “나는 분계선 너머 남녘땅에서 울려나오는 잡다한 소리들에 접할 때마다 저도 모르게 아연해짐을 금할 수 없다”면서 “특히 ‘남조선 집권자’가 사람들 앞에 나서서 직접 마이크를 잡고 우리에 대해 뭐라고 할 때가 더욱 그렇다”고 했다. 이어 “비논리적이고 후안무치한 행태는 우리의 자위권을 유엔 ‘결의’ 위반이니, 국제사회에 대한 ‘위협’이니 하고 걸고드는 미국의 강도적인 주장을 덜함도 더함도 없이 신통하게 빼닮은 꼴”이라며 “미국산 앵무새라고 ‘칭찬’ 해줘도 노엽지 않을 것”이라고 비난했다.
김여정은 이번 담화를 ‘노동당 중앙위원회 선전선동부 부부장’ 명의로 발표해 현재 선전선동부에서 일하고 있는 것으로 확인됐다.",조선일보
2021-03-22,오늘 아스트라 접종 文대통령 “백신 안전성 의심 품지마시라”,김아진 기자,"문재인 대통령은 22일 아스트라제네카(AZ) 코로나 백신 안전성 문제와 관련해 “백신 불안감을 부추기는 가짜 뉴스는 아예 발붙이지 못하도록 국민들께서 특별한 경계심을 가져 주시기 바란다”고 했다. 문 대통령과 김정숙 여사는 오는 6월 영국에서 열리는 G7(주요 7국) 정상회의 참석을 앞두고 23일 AZ 백신을 공개 접종한다.
문 대통령은 이날 청와대 수석·보좌관 회의에서 “저와 제 아내도 아스트라제네카 백신을 맞는다. 정상회의 수행원들도 내일 함께 접종을 한다”며 “국민들께서도 백신의 안전성에 조금도 의심을 품지 마시고 접종 순서가 되는 대로 접종에 응해달라”고 했다. 문 대통령은 “백신 접종은 자신의 안전을 지키면서 집단면역으로 우리 사회 전체의 안전을 지키는 길”이라면서 “다른 나라들에 비해 초기 접종 속도도 빠른 편으로 상반기 중에 1200만 명 이상 접종할 계획”이라고 했다.
한편 문 대통령은 경제와 부동산에 낙관적 전망을 했다. 문 대통령은 “올해 예상보다 빠르고 강하게 경제 반등에 성공할 것”이라며 “국제기구들도 올해 한국의 경제성장률을 3% 중반대로 상향 전망하는 등 우리나라는 코로나 이전 수준의 경제를 가장 빨리 회복하는 선두 국가 그룹에 서게 될 것”이라고 했다. 그러면서 고용 상황에 대해서도 “이 추세대로라면 3월부터는 작년 수준 또는 그 이상으로 고용이 회복될 수 있을 것으로 기대된다”고 했다. 집값 문제에 대해서도 “최근 주택 가격 상승세가 꺾이며 부동산 시장이 서서히 안정세로 접어들고 있는 만큼 그 추세를 이어가고 있다”고 했다.
LH 직원들의 땅 투기 의혹과 관련해, 문 대통령은 이날도 “정부로서는 매우 면목 없는 일”이라면서도 재차 과거 정부의 적폐 청산을 강조했다. 문 대통령은 “개발과 성장의 그늘에서 자라온 부동산 부패의 고리를 끊어낼 수 있는, 쉽지 않은 기회”라며 “정면으로 부딪쳐 문제를 근원적으로 해결하지 않으면 안 된다”고 했다.",조선일보
2021-04-04,文대통령 “공정과 정의 자리 잡도록 더욱 노력”,노석조 기자,"문재인 대통령은 4일 “근원적인 곳에서부터 공정과 정의가 자리 잡도록 더욱 노력하겠다”고 말했다.
문 대통령은 이날 부활절을 맞아 SNS에 게시한 메시지에서 “회복과 도약의 부활절이다. 함께 잘사는 나라를 위해 도전할 것”이라며 이같이 밝혔다.
문 대통령은 “예수님의 부활처럼 우리도 ‘고난의 역사’를 ‘희망의 역사’로 바꿔 나갈 것”이라며 “정직한 땀과 소박한 꿈이 존중받는 나라를 만들겠다”고 했다.
이어 “전 세계는 지금 ‘코로나 이후 어떻게 살 것인가’를 질문하고 있고 우리는 답을 실천하고 있다”며 “혼자가 아니라 함께 자유롭고자 하는 우리 국민의 마음은 포용적이며 지속가능한 세상을 만드는 동력”이라고 했다.
문 대통령은 “예수님의 부활을 기쁘게 맞이하며 유례없는 위기에도 인내와 나눔으로 희망을 만들고 계신 국민들께 존경을 표한다”며 “사랑과 은총을 전해 주시는 한국 교회 모든 분께 깊이 감사드린다. 예수님의 사랑과 축복이 온 가정에 가득하시길 기원한다”고 했다.",조선일보
2021-03-29,"‘文대통령, 잘못하고 있다’ 서울·부산 모두 63%",이슬비 기자,"조선일보·TV조선 공동 여론조사에서 서울·부산 시민들은 더불어민주당보다 국민의힘을 더 지지하는 것으로 나타났다. 서울 유권자 대상 조사에서 국민의힘 지지율은 35.4%로 더불어민주당 27.4%보다 8%포인트 앞섰다. 이어 국민의당 6.2%, 정의당 5.7%, 열린민주당 2.1% 순이었다. 부산 유권자 대상 조사에서도 국민의힘 지지율은 41.1%로 민주당(25.3%)을 크게 앞섰다. 부산 시민들은 정의당 4.4%, 국민의당 3.1%, 열린민주당 2.7% 순으로 지지했다.
서울·부산 모두 ‘정부 지원’보다 ‘정부 견제’ 의견이 우세했다. 서울 유권자 중 ‘현 정부를 견제하기 위해 야당 후보를 지원하겠다’는 응답은 64%였다. ‘현 정부에 힘을 보태기 위해 여당 후보를 지원하겠다’는 응답은 29.9%였고, ‘모르겠다’는 응답은 6.1%였다. 서울은 연령대와 상관없이 정부 비판 여론이 높았다 . ‘정부 견제' 응답은 60세 이상이 68.8%로 가장 높았고, 30대(67.9%)와 18~29세(64.1%)에서도 높은 수치를 보였다. 부산 유권자들도 여당 후보(29.8%)보다 야당 후보(59.5%)를 지원하겠다는 답이 많았다.
대통령 국정 운영 평가에서는 서울·부산 모두 ‘잘못하고 있다’가 ‘잘하고 있다’보다 높았다. 서울에서는 ‘잘못하고 있다’는 응답이 63.9%, ‘잘하고 있다’는 응답이 33.6%로 30%포인트가량 차이 났다. ‘매우 잘못하고 있다’는 응답이 33.8%로 가장 높았고, ‘잘못하는 편’이라는 응답은 30.1%, ‘잘하는 편’이라는 응답은 26.5%였다. ‘매우 잘하고 있다’는 응답은 7.1%였다. 부산에서도 ‘잘못하고 있다’는 응답이 63%, ‘잘하고 있다’는 잘하고 있다는 응답이 33.1%로, 30%포인트가량 차이가 났다.
[이렇게 조사했습니다]
조선일보·TV조선은 칸타코리아에 의뢰해 지난 27일 서울과 부산의 18세 이상 803명씩 조사했다(표본오차는 95% 신뢰 수준에서 ±3.5%포인트). 두 지역 모두 휴대전화(85%)와 집 전화(15%)를 활용해 실시했다. 표본은 2021년 2월 말 행정안전부 주민등록인구 기준으로 성별·연령별·지역별로 비례 할당 추출했고 인구 비례에 따른 가중치를 부여했다. 서울 조사의 응답률은 25.3%, 부산 조사는 25.2%다(중앙선거여론조사심의위원회 참조).",조선일보
2021-04-02,"文대통령, 삼청동 주민센터 찾아 서울시장 사전투표",김승재 기자,"문재인 대통령과 김정숙 여사가 2일 서울 종로구 삼청동 주민센터를 찾아 4·7 서울시장 보궐선거 사전투표를 했다.
문 대통령은 투표를 마친 후 안영미 삼청동장에게 “사전투표 많이들 와서 하는 편이냐”고 물었다. 안 삼청동장은 “이 시간대 치고 많은 편”이라고 답했다. 이에 문 대통령은 “수고하셨습니다”라고 말하고 사전투표소를 떠났다.
문 대통령은 2018년 6월 지방선거, 지난해 4월 총선에서도 이곳을 찾아 사전투표를 했었다.",조선일보
2021-03-26,"유승민 “文대통령, ‘북한 소행’이라는 한마디만 해달라”",오경묵 기자,"유승민 전 국민의힘 의원은 ‘서해수호의 날’인 26일 문재인 대통령을 향해 “‘북한의 소행'이라는 한마디만 분명히 하시라”라고 했다.
유 전 의원은 이날 오전 페이스북에 이 같은 제목의 글을 올렸다. 그는 “몸과 마음을 깨끗이 하고 대전현충원으로 출발한다”며 “흰 셔츠에 검은색 타이를 매면서 슬프기도 했지만, 영웅들의 숨소리를 들으러 간다는 마음에 그들이 누워있는 묘소 앞에 빨리 가고 싶은 마음”이라고 했다.
유 전 의원은 “서해의 영웅들이 전사하면서 사랑하는 엄마 아빠, 아내와 자식, 형제와 누이, 그리고 살아남은 우리들에게 하고 싶던 말들과 그들의 생각들을 우리는 소중히 기억해야 한다”고 했다. 이어 “고(故) 민평기 상사의 어머니 윤청자 여사께서는 지난해 서해수호의 날 기념식에서 분향하는 문재인 대통령에게 다가가 ‘이게 북한 소행인가, 누구 소행인가 말씀 좀 해주세요. 그런디요. 여적지 북한 지시라고 진실로 해본 적이 없다. 이 늙은이 한 좀 풀어주세요’라고 물었다”고 했다. 민평기 상사는 천안함 46용사 중 한 명이다.
유 전 의원은 “문재인 대통령의 답은 ‘정부의 입장은 같습니다’ 이것뿐이었다”며 “그날 대통령의 기념사에는 ‘북한의 소행’이라는 말도, 심지어 ‘북한’이라는 단어조차 없었다”고 했다.
이어 “몇 년 전 공주 시골 마을에 사시는 윤청자 어머니를 찾아뵈었다. 고 민 상사의 아버님은 병환으로 누워계셨는데 결국 아들의 곁으로 떠나셨다”고 했다.
유 전 의원은 “문재인 대통령에게 부탁한다”며 “‘늙은이의 한'을 풀어드리기 위해서라도 오늘 기념사에서 ‘분명한 북한의 소행’이라고 한마디만 해주시라고”라고 했다.
유 전 의원은 지난 22일 ‘전사한 영웅들 추모도 못하게 막는 문재인 정권’이라는 글을 올렸다. 올해 서해수호의 날 행사에 참석할 수 없다는 통보를 받았다고 했다. 그는 “이유는 재보궐선거를 앞둔 군이 정치적 중립을 지키기 위해 저 같은 정치인은 참석하지 못하도록 국방부가 지침을 하달했기 때문”이라고 했다. 이어 “국방부 장관이 권력의 눈치나 보고 비위나 맞추려니 이런 한심한 발상을 하는 것”이라며 “전사한 영웅들을 추모하는 일은 여와 야, 보수와 진보를 막론하고 정치인이든 일반시민이든 참석할 수 있도록 문을 활짝 열어야 하지 않겠느냐”고 했다.
이후 국방부가 서해수호의 날 기념식 행사 초청 대상을 각 정당 대표와 국회 정무·국방위원장에서 정부·국방위원회 위원까지로 확대했다. 하지만 유 전 의원은 현역 의원이 아니어서 초청 대상에 포함되지 않았다. 그는 이날 행사 참석 대신 대전현충원의 천안함 46+1용사, 제2연평해전 6용사, 연평도 포격 2용사 묘역을 참배했다.",조선일보
2021-03-24,"文대통령의 백신 후기 “제가 맞아보니, 안심해도 됩니다”",오경묵 기자,"문재인 대통령이 아스트라제네카(AZ) 코로나 백신을 맞은 지 하루 지나 후기를 올렸다. 문 대통령은 큰 문제가 없었다며 “백신의 안전성에 대한 논란은 끝내주시기 바란다”고 했다.
문 대통령은 24일 오후 페이스북에 “백신 접종, 제가 맞아보니 안심해도 된다”는 글을 올렸다. 문 대통령은 “주의를 기울여야 하는 시간이 더 남아있긴 하다. 하지만 만 하루와 7시간이 지난 지금까지 별 탈이 없었다”고 했다. 문 대통령은 전날인 23일 서울 종로구 보건소에서 코로나 백신을 접종받았다.
문 대통령은 “어제(23일) 밤 늦게 미열이 있었는데, 머리가 아프거나 불편한 정도는 아니었지만 대비 차원에서 해열진통제를 먹고 잤더니 아침에는 개운해졌다”며 “평소 고혈압인데, 혈압에도 아무 영향이 없는 듯 하다”고 했다.
그러면서 “아내(영부인 김정숙 여사)는 독감 접종에도 부작용을 좀 겪는 편인데, 이번에는 저처럼 밤에 미열이 있는 정도였고 오히려 독감 접종보다 더 가벼웠다고 한다”며 “함께 접종받은 11명 모두 아무 이상이 없거나 가벼운 미열이나 뻐근함 정도가 있었다는 것이 전부”라고 했다.
문 대통령은 “사람에 따라서 증상이 심한 분들도 있습니다만, 면역이 형성되는 과정이라고 하니 너무 걱정하지 않으셔도 될 것”이라고 썼다. 그러면서 “이제 백신의 안전성에 대한 논란은 끝내주시기 바란다”며 “전 세계가 공인하는 백신의 안전성을 (가지고) 논란하는 것은 아무에게도 도움이 되지 않는다. 오히려 더 많은 사람이 백신을 접종받을 수 있도록 국민들께서 적극 협조해 주시기 바란다”고 했다.
문 대통령의 백신 접종을 놓고 일각에서 ‘백신 바꿔치기’ 의혹이 일고 있는 가운데 이런 의혹을 불식시키기 위해 문 대통령이 직접 나섰다는 관측이 나온다.
녹화 방송으로 공개된 문 대통령의 백신 접종 장면을 보면 간호사가 주사기를 들고 AZ 백신에서 접종할 백신을 추출(분주)한 뒤 백신과 뚜껑을 뺀 주사기를 들고 파티션(가림막) 뒤로 갔다가 다시 나와 대통령에게 접종했다. 대통령에게 접종하기 직전 주사기를 보면 뚜껑이 씌워져 있어 ‘리캡’ 논란이 일었다. 주사기 캡을 열고 백신을 추출했는데, 굳이 뚜껑을 씌울 필요가 있었느냐는 지적과 함께 “주사기를 바꿔친 것 아니냐”는 주장도 나온다.
아스트라제네카 백신을 아예 추출하지 않았다는 의혹도 제기됐다. 한 유튜버는 “백신 접종 장면을 보면 병에서 백신을 추출한 뒤 파티션 뒤로 가져가는 순간 캡이 씌워져 있는 것을 확인할 수 있다”며 관련 캡처 영상을 올렸다.
이와 관련해 질병관리청은 “접종 준비 시간동안 주사기 바늘이 오염되는 것을 방지하기 위한 것”이라고 해명했다. 접종 장면을 공개하기 위한 촬영이 이뤄지면서 접종에 시간이 걸리자 주삿바늘이 오염되는 것을 막기 위해 캡을 씌웠다는 것이다.
질병관리청은 이 같은 주장을 담은 인터넷 게시글에 대해 불안과 혼란을 야기할 수 있다고 보고 경찰청에 수사를 의뢰했다. 대구지방경찰청은 이와 관련한 내사(內査)에 착수했다. 내사는 수사의 이전 단계로, 내사 과정에서 범죄 혐의가 드러나면 수사로 전환된다.",조선일보
2021-03-26,文대통령 지지율 34% 또 최저… “야당 당선돼야” 57%,김승재 기자,"문재인 대통령 지지율이 취임 후 최저치인 34%를 기록했다.
한국갤럽이 26일 발표한 여론조사에서 대통령 직무 수행 평가에 대한 긍정률은 34%로 나타났다. 문 대통령 취임 이후 갤럽 조사에서 나타난 최저치다. 부정률은 59%로 역대 최고치였다.
지난주 조사보다 직무 긍정률이 3%포인트 하락했고, 부정률은 4%포인트 올라 지난해 12월부터 4개월 가까이 머물던 범위(긍정률 37~40%, 부정률 50~55%)를 벗어났다.
연령대 별로 보면 긍정률은 40대(49%)에서, 부정률은 60대 이상(69%)에서 가장 높게 나타났다.
직무 수행 부정 평가의 이유로는 ‘부동산 정책’(34%), ‘경제/민생 문제 해결 부족’(8%), ‘공정하지 못함/내로남불’, ‘전반적으로 부족하다’(각 6%), ‘독단적/일방적/편파적’, ‘코로나19 대처 미흡’(각 4%) 등으로 나타났다.
정당 지지도는 더불어민주당 32%, 국민의힘 29%이었다. 현 정부 출범 후 양당의 격차가 최소로 줄어든 수치다. 무당층은 26%였다.
국민의힘 지지도는 최근 5주 연속 상승해 2016년 국정농단 사태 본격화 이후 국민의힘(전신 새누리당, 자유한국당, 미래통합당 포함) 지지도 최고치를 경신했다.
4·7 재보궐선거 결과에 대해선 ‘야당 다수 당선’이 57%, ‘여당 다수 당선’이 33%였다.
지난 23일과 25일 전국 18세 이상 1001명을 대상으로 실시한 이 조사의 표본오차는 ±3.1%포인트(95% 신뢰수준), 응답률은 16%다(중앙선거여론조사심의위원회 참고).",조선일보
