press,date,title,reporter,content
중앙일보,2021-04-06,"납세액 30만원 과소 신고…與 이병우 ""오세훈 등록 무효해야""",고석현,"지난달 27일 서울 종로구 교남동주민센터에서 서울시선관위 관계자들이 서울특별시장보궐선거 공보와 투표안내문 발송작업을 하고 있다. 뉴스1 중앙선거관리위원회는 6일 오세훈 국민의힘 서울시장 후보가 선관위에 신고한 배우자의 납세액이 사실과 부합하지 않는 것으로 결정했다고 밝혔다. 실제로 30만2000원을 더 납부했지만, 신고액수에서 빠뜨린 것이다. 선관위 관계자는 ""최근 5년간 오 후보 배우자의 실제 납세액은 1억1997만9000원이나 선관위에 신고한 액수는 1억1967만7000원""이라며 ""납부 실적이 일부 누락된 것으로 확인됐다""고 연합뉴스에 밝혔다. 앞서더불어민주당 소속 이병우 중랑구의원은 자신의 페이스북에 ""지난달 31일 서울시선거관리위원회에 오 후보 선거공보 2면 후보자정보공개 자료에 대한 이의제기서를 제출했다""며 ""3가지 이의제기 중 1가지가 받아들여져 투표구와 투표소입구에 공고문이 첨부될 예정""이라고 밝혔다. 그는 ""이 사안이 이렇게 마무리되어서는 안된다고 생각한다""며 오 후보의 등록 무효를 주장했다. 이어 ""민주당 차원의 적극적 대응을 촉구한다""고 덧붙였다. 더불어민주당 소속 이병우 중랑구의원이 6일 공개한 선관위 공고. [이 구의원 페이스북 캡처] 정청래 더불어민주당 의원이 같은당 소속 이병우 중랑구의원의 글을 공유하며 ""오 후보 심각하다""며 공세했다. [정 의원 페이스북 캡처] 정청래 더불어민주당 의원은 이 글을 자신의 페이스북에 공유하며 ""이 분 페북이 사실이라면오세훈 후보의 매우 심각한 사실이 발견된 것""이라며 공세를 펼쳤다. 한편 선관위는 공직선거법에 따라 이러한 내용을 담은 공고문을 선거날인 7일 서울의 모든 투표소에 붙인다는 방침이다. 고석현 기자 ko.sukhyun@joongang.co.kr"
중앙일보,2021-04-06,"오세훈의 마지막 호소 “청년 지지,듬직하고 무겁다”",성지원,"“청년들이 우리 당에 이제 눈 돌리기 시작합니다. 정말 꿈만 같습니다. 우리가 잘 해야겠죠?” 서울시장 보궐선거 투표일을 하루 앞둔 6일 오후 국민의힘 오세훈 후보가 서울 은평구 불광천변 유세에서 지지를 호소하고 있다. 2021.4.6 오종택 기자 4‧7 서울시장 보궐선거를 하루 앞둔 6일 오세훈 국민의힘 서울시장 후보는 강북권을 돌며 청년층에게 마지막 지지를 호소했다. 청년들을 향해 “듬직하고 무섭다”, “예리하고 냉정하다”고 평가하면서 “그분들의 지지와 성원이 시간이 흐를수록 더 강해지는 게 느껴진다. 저에겐 두렵고 무겁다. 정말 일을 잘해서 보답할 것”이라고 말했다. 이날 마지막 날 유세를 자신의 지역구인 광진구 자양동 사거리 출근인사로 시작한 오 후보는 빨간색과 하얀색이 섞인 점퍼를 입고 유세차량에 올라 “작년 이맘 때 광진구 발전을 기약하고 싶었는데 뜻대로 되지 않았다”며 “1년 동안 정치지형이 많이 바뀌었다. 특히 젊은 층 지지가 확연히 피부로 느껴진다”고 주장했다. 이어 “이런 변화는 저 오세훈이 잘나서, 국민의힘이 충분히 변화해서 바뀐 지지율이라고 보기 힘들다”며 “문재인 정부 4년, 박원순 시정 10년에 실망하고 분노해서 저 오세훈에게 기회를 한 번 줘보겠지만, 일하는 모습이나 결과가 기대에 미치지 못하면 또 생각이 바뀔 수도 있다”고 몸을 낮췄다. 중·장년층이 대부분인 유세 현장을 둘러보며 “저의 뜻을 주변 젊은이들에게 전해달라. 청년들을 믿고 맡겨보자”고 호소했다. 오 후보는 이날 중랑‧노원‧강북‧성북‧종로‧은평‧서대문구 등 이른바 ‘강북벨트’를 돌며 마지막 표심을 다졌다. 강북권은 보수 정당의 상대적 열세지역으로 꼽힌다. 오 후보는 지난 달 25일 첫 유세 때 은평구에서 출발해 강북권 9개 자치구를 ‘V'자로 돌았고, 첫 주말유세였던 지난 달 27일에도 광진‧성동‧강북‧마포구를 찾았다. 사전투표 전날인 1일에도 성북‧노원‧도봉구 등에서 “강남‧비(非)강남 균형발전”을 호소했다. 이날 노원구 상계백병원 사거리 앞 유세에서 이준석 뉴미디어본부장은 “오 후보는 강북구에서 찢어지게 가난하게 살다 변호사, 서울시장이 된 개천의 용”이라며 “강북 정서에 맞는 사람”이라고 말했다. 오 후보는 이 곳 유세에서 ""대한민국 심장 서울이 다시 뛸 수 있게 뼈가 가루가 되도록 뛰겠다""고 했다. 은평구 불광천에서 유세차량에 올라 자신을 대학생이라고 소개한 오정훈(25)씨는“문재인 정부와 민주당이 그간 얼마나 오만했느냐. 근데 선거에 질 것 같으니 이제서야 사과를 한다”며“조국 전 법무부 장관의 발언을 인용하겠다. 파리가 앞발 싹싹 빌 때는 그걸 사과라고 착각하지 마라. 뭔가를 빨아 먹으려는 때니 때려 잡아야 한다”고 말했다. 오씨가 인용한 발언은 2010년 조 전 장관이 딸 특채 문제로 사퇴를 앞둔 유명환 당시 외교통상부 장관을 겨냥해 페이스북에 올렸던 글귀다. 이에 오 후보는“선거관리위원회가 무능과 위선, 내로남불이란 용어가 특정 정당을 연상시킨다며 선거구호로 쓰지 말라고 한다”며“이 정권의 실체를 선관위가 공식 선포한 것”이라고 했다. 오 후보의 마지막 유세는 서대문구 신촌에서였다. 김종인 비상대책위원장, 주호영 원내대표 등 국민의힘 지도부,안철수 국민의당 대표, 유승민·나경원 공동선대위원장 등이 총출동했다.2030세대에서 지지가 높은 안 대표와 함께 청년층과의 스킨십을 강화하는 전략이었다. 안 대표는 이날 유세차량에 올라“오 후보, 꼭 시장에 당선되셔서 서울시민들이 ’야당이 책임을 맡으면 이렇게 달라지는구나’ 체감하게 해달라”며“그것이 다음 대선에서 야권 후보를 신뢰하고 표를 주는 굉장히 중요한 계기가 될 것”이라고 말했다. 유 위원장도“저희 야당은 한 번도 젊은이 지지를 받아보지 못했다”며“이번 청년 지지를 저희가 반드시 좋은 정치로 보답하겠다”고 말했다. 한편 이날 신촌 유세에서 일부 국민의힘 의원들의 발언이 논란을 빚기도 했다. 유세차량에 오른 이종성 의원은 ""추악한 성범죄를 도피하기 위해서 자살한 박원순 전 시장의 장례식장에 귀중한 서울시민 세금이 얼마나 들어갔는지 아는가”라며“이런 정당에 표를 줄 수 있겠느냐”고 외쳤다. 성지원 기자 sung.jiwon@joongang.co.kr"
중앙일보,2021-04-06,"오세훈 ""언뜻 봐도 그 신발 브랜드 아냐…박영선 어이없다""",김은빈,"서울시장 보궐선거 투표일을 하루 앞둔 6일 오후 국민의힘 오세훈 후보가 서울 은평구 불광천변 유세에서 지지를 호소하고 있다. 2021.4.6 오종택 기자 오세훈 국민의힘 서울시장 후보는 6일 인터넷상에 확산한 사진에서 자신이 페라가모 신발을 신고 있다는 주장과 관련해 ""분명히 생긴 것도 다르고 국산 브랜드""라고 직접 반박했다. 오 후보는 이날 오후 은평구 불광천에서 유세를 마친 뒤 관련 질문에 ""제가 직접 입장을 밝힐 만한 사안인지 참 어처구니없다""며 이같이 말했다. 그는 ""그 사진은 언뜻 봐도 주장하는 그 브랜드가 아닌 걸 알 수 있다""며 ""어떻게 (박영선) 후보가 직접 그런 말을 할 수 있나""라고 했다. 앞서 박영선 민주당 후보는 이날 오전BBS 라디오에서 오 후보가 처가 내곡동 땅 측량 당시 신었다는 페라가모 신발 사진을 찾기 위해 네티즌이 총출동했다며 ""드디어 사진 한장을 어떤 분이 찾아서 올리셨다""고 말했다. 관련기사박영선 ""그 신발""이라던 페라가모…오세훈측 ""국산 브랜드"" 박 후보는 ""2006년 9월 21일 동대문서울패션센터 개관식에 참석한 오 후보가 그 페라가모 신발을 신고 있다""며 ""오죽하면 네티즌들이 이렇게까지 하겠나""라고 했다. 이와 관련해 오 후보 측 관계자는 ""페라가모와 비슷한 국산 브랜드""라며 ""(국산 브랜드 중에서도) 페라가모 비슷하게 따라 만든 것이 많다""고 일축했다. 김은빈 기자kim.eunbin@joongang.co.kr"
중앙일보,2021-04-06,"내곡동 땅 의혹, 용산 막말 논란… 경찰, 오세훈 고발 사건 수사 배당",이해준,국민의힘 오세훈 서울시장 후보가 6일 오전 서울 노원구 상계백병원 앞 사거리에서 유세를 하고 있다. 오종택 기자 서울경찰청이 오세훈 국민의힘 서울시장 후보와 관련한 내곡동 땅 특혜 의혹과 용산 참사 막말 논란에 대해 수사하기로 했다. 6일 경찰에 따르면 서울경찰청은 공직선거법상 허위사실 공표와 명예훼손 혐의로 고발된 오 후보 사건을 반부패·공공범죄수사대에 배당했다. 앞서 지난 1일 민생경제연구소와 광화문촛불연대 등 시민사회단체들은 “오 후보가 내곡동 땅 ‘셀프 보상’ 관련 거짓말을 일삼고 용산참사로 희생된 철거민들의 명예를 훼손했다”며 경찰청 국가수사본부에 고발장을 제출했다. 5일에는 더불어민주당이 서울중앙지검에 오 후보에 대한 고발장을 접수했다. 오 후보는 과거 서울시장 재임 당시 내곡동에 있는 처가 땅이 보금자리주택 지구로 지정되면서 36억원의 보상을 받는 데 관여했다는 의혹을 받고 있다. 또한 토론회에서 용산참사를 ‘과도하고 부주의한 폭력 행위 진압을 위한 경찰력 투입으로 생겼던 사건’이라고 말해 용산참사 피해자와 유가족을 모욕했다는 지적을 받았다. 이해준 기자 lee.hayjune@joongang.co.kr
중앙일보,2021-04-06,"박영선 ""그 신발""이라던 페라가모…오세훈측 ""국산 브랜드""",김은빈,"사진 인터넷 캡처. 6일 온라인상에서 확산한 오세훈 국민의힘 서울시장 후보의 '페라가모 로퍼' 사진을 두고 박영선 더불어민주당 후보는 ""드디어 어떤 분이 사진 한 장을 찾아 올렸다""며 ""2006년 9월 21일 동대문서울패션센터 개관식에 참석한 오 후보가 그 페라가모 신발을 신고 있다""고 말했다. 박 후보는 이날 오전 BBS라디오 '박경수의 아침저널'에서 ""오늘 아침에 오 후보가 신었다는 페라가모 로퍼 신발의 사진을 찾기 위해서 네티즌들이 총출동했다. 오죽하면 네티즌들이 이렇게까지 하겠느냐""면서 이 사진을 언급했다. 페라가모 신발은 최근 오 후보의 내곡동 의혹과 함께 화제가 된 키워드 중 하나다. 오 후보가 흰 바지와 페라가모 로퍼를 신고 처가의 내곡동 땅 측량 현장을 찾았다는 생태탕 집 아들 A씨의 주장 때문이다. 여권 지지자들은 이 사진이 A씨의 말을 뒷받침하는 것이라고 주장했다. 그러나 오 후보 측은 사진 속 신발에 대해 ""페라가모 브랜드가 아니다""라는 입장이다. 오 후보 측 관계자는 ""페라가모와 비슷한 국산 브랜드""라며 ""(국산 브랜드 중에서도) 페라가모 비슷하게 따라 만든 것이 많다""고 말했다. 이밖에도 오 후보가 사진에서 신은 신발이 A씨가 말한 것과 다른 신발이라는 반박도 있다. A씨가 말한 것은 '하얀 로퍼'였는데, 사진 속 신발은 검은 색으로 보이기 때문이다. ""하얀 로퍼"" A씨 인터뷰 보도한 한겨레 기사 ""기자가 잘못 들었다"" 정정 당초 이런 내용의 A씨 인터뷰를 보도했던 한겨레는 이날 기존 기사에 '바로잡았습니다'는 공지를 통해 기사 내용을 정정한 사실을 알렸다. 한겨레는 ""지난 4월 5일 최초 등록한 기사에서 A씨가 '하얀 로퍼 신발을 신고 내려오는 장면이 생각나서 '오세훈인가 보다' 했는데'라고 말했다고 전했다""며 ""하지만 이후 '하얀 로퍼'와 관련한 문의가 많아 다시 A씨에게 물어본 결과 '하얀 면바지에 로퍼 신발'이라고 설명한 것을 기자가 잘못 들은 것으로 확인돼 기사 내용을 정정했다""고 설명했다. 그러면서 ""독자 여러분과 A씨에게 사과 드린다""고 덧붙였다. 김은빈 기자kim.eunbin@joongang.co.kr"
중앙일보,2021-04-06,김종인 “오세훈 승리 확실… 두 자릿수 차이 될 것”,이해준,"김종인 국민의힘 비상대책위원장이 5일 오후 서울 관악구 서울대입구역에서 4.7 서울시장 재보궐선거에 나선 오세훈 후보의 지원 유세를 펼치고 있다. 오종택 기자 국민의힘 김종인 비상대책위원장이 6일 오세훈 서울시장 후보의 낙승을 예상했다. 오세훈 국민의힘 후보가 박영선 더불어민주당 후보에 두 자릿수 득표율 차이로 승리할 것이라고 내다봤다. 김 위원장은 이날 강남구에서 오 후보 지원 유세를 한 뒤 기자들에게 “우리 오 후보가 승리한다는 것은 확실하게 말씀드린다”고 말했다. 예상 득표율 차이를 묻자 “크면 클수록 좋겠지만 두 자리 숫자는 나올 것 같다”고 예측했다. 부산시장 보궐선거에 대해서도 “국민의힘이 이길 것”이라고 답했다. 김 위원장은 선거 이후 비대위원장을 그만두기로 한 것에 대해 “특별한 게 없다”며 “약속한 대로, 약속을 지키고 가는 것”이라고 말했다. 당 개혁의 성과에 대해서는 “선거 결과가 말해주는 것”이라고 답했다. 앞서 이날 오전 주호영 원내대표는 CBS라디오와 인터뷰에서 “압도적인 차이가 유지되거나 더 벌어지고 있는 거로판단한다”며 “최소한 15%포인트 이상 차이로 이길 거라고 본다”고 선거 결과를 예측했다. 이해준 기자 lee.hayjune@joongang.co.kr"
중앙일보,2021-04-06,"“정권 심판이 아닌 오세훈 심판, 거짓말 후보가 시장되면 안돼”",한영익,"박영선 더불어민주당 서울시장 후보가 5일 강서구 발산역 인근 서 열린 거리유세에서 시민들과 인사하고 있다. 오종택 기자 “정권 심판이 아니라 오세훈을 심판해야 한다는 시민들의 분노가 점점점점 높아지고 있다.”(박영선 더불어민주당 서울시장 후보) 박영선, 여당 텃밭 서남권 집중유세“투표하면 승리” 지지층 결집 나서내곡동 의혹엔 “끝까지 파헤쳐야” 5일 박영선 후보의 입은 시종일관 오세훈 국민의힘 서울시장 후보를 겨눴다. 박 후보는 이날 오후 첫 집중유세 현장인 서울 강서구 발산역에서 연단에 올라 “서울시장 선거에서 거짓말하는 후보에 대한 시민 분노가 높아지고 있다. 거짓말하는 후보가 시장 되는 세상은 막아야 하지 않겠냐는 게 일반적인 시민들의 생각”이라고 주장했다. 연단에 선 박 후보는 오 후보를 “소상공인의 피눈물을 모르는 후보”라고 몰아세웠다. 이어 “생태탕집 아들이 내곡동 땅 대질신문을 하자고 했는데 답을 못한다. 선거 끝나고 하자고 한다”며 “이명박(MB) 전 대통령의 BBK가 바로 그랬다. 이권 세력이 모여들어 대한민국이 ‘잃어버린 10년’이 됐다”고 공격했다. 관련기사“박영선은 존재 자체가 거짓말…여당, 후보 안 낸다는 약속 어겨”박영선·오세훈은 사라지고 '생태탕'만 남았다 박 후보는 이날 서울 목동에서 열린 방송기자클럽 초청 토론회에서도 “오 후보는 이 전 대통령과 한 세트”라고 주장했다. 또 오 후보의 과거 ‘태극기 집회’ 참석 사진을 꺼내들며 “지난해 8·15 집회로 코로나19 팬데믹이 재발해 소상공인 매출에 찬물을 끼얹었는데, 태극기 집회와 함께하느냐”고 물었다. 오 후보는 “한 번 나가서 연설했다. 문재인 대통령은 독재자라고 말했다”고 했다. 이어 “독재자의 의미는 뭔가”라는 박 후보 물음에 “야당과 국민 의사를 무시하는 것”이라고 답했다. 박 후보의 이날 동선은 강서구를 시작으로 금천·관악·동작·영등포구 등 서울 서남권의 민주당 텃밭에 집중됐다. 모두 2018년 지방선거 대비 사전투표율이 서울 평균상승률(2.9%포인트)에 미치지 못한 곳들이다. 금천(0.6%포인트)·관악(1.2%포인트)·동작(1.5%포인트)구는 사전투표율 상승률이 서울에서 가장 낮은 축에 들었고, 강서(2.2%포인트)·영등포(2.7%포인트)구 역시 평균상승률에 못 미쳤다. 선거 막판 아직 투표하지 않은 ‘샤이 진보’ 결집을 노린 동선이다. 박 후보는 강서구에 이어 진행된 금천구 유세 현장에서 “금천구 사전투표율이 평균에 조금 못 미쳤다. 4월 7일에 두 배로 높여주실 거죠. 투표하면 반드시 승리한다”고 지지층의 투표를 적극 독려했다. 박 후보는 전날(4일) 기자간담회에서도 “샤이 진보는 분명히 있다”고 강조했다. 박 후보는 금천구 유세에서도 오 후보 비판에 주력했다. 그는 “서울시 의회와 싸우고 정부와 싸우고 이래서 무슨 일이 되겠느냐. 오 후보는 자신이 필요한 것은 기억하고 자신에게 불리한 것은 무조건 ‘모른다, 생각이 나지 않는다’고 하는 선택적 기억력의 소유자”라고 공격했다. 유세를 마친 뒤 기자들과 만난 박 후보는 민주당이 내곡동 땅 의혹과 관련해 허위사실 공표로 오 후보를 검찰에 고발한 것과 관련해 “끝까지 파헤쳐야 한다”고 강조했다. “다섯 명의 증인 이외에 (더 이상) 결정적인 물증이 뭐가 있겠느냐. 경작인, 측량팀장, 생태탕집 부모 등 모든 과정에 증인이 있는데 더 이상의 증거가 어디 있겠느냐”고 했다. 이어 언론을 향해서도 “세세하게 보도하지 않은 것도 문제가 있다”고 주장했다. 한편 민주당의 서울 이외 지역구 국회의원들도 박 후보 지원을 위해 서울로 집결했다. 당권 주자인 송영길(인천 계양을)·홍영표(인천 부평을) 의원은 관악·강동·영등포구 일대 유세에 출동했고, 서영석(부천정) 의원은 은평·영등포·관악구 일대를 돌았다. 한영익·성지원 기자, 김보담 인턴기자hanyi@joongang.co.kr"
중앙일보,2021-04-05,"박영선 ""정권심판이 아니라 오세훈 심판 분노 높아지고 있다""",한영익,"박영선 민주당 서울시장 후보가 5일 오후 강서구 발산역 앞에서 집중유세를 하기 전 시민들과 인사를 하고 있다. 오종택 기자 “정권심판이 아니라 오세훈을 심판해야 한다는 시민들의 분노가 점점점점 높아지고 있다.”(박영선 더불어민주당 서울시장 후보) 5일 박영선 후보의 입은 시종일관 오세훈 국민의힘 후보를 겨눴다. 박 후보는 이날 오후 첫 집중유세 현장인 서울 강서구 발산역에서 연단에 올라 “서울시장 선거에서 거짓말하는 후보에 대한 시민 분노가 높아지고 있다. 거짓말하는 후보가 시장되는 세상은 막아야 하지 않겠냐는 게 일반적인 시민들의 생각”이라고 주장했다. 연단에 선 박 후보는 오 후보를 “소상공인의 피눈물을 모르는 후보”라고 몰아세웠다. 이어 “생태탕집 아들이 내곡동 땅 대질심문을 하자고 했는데 답을 못한다. 선거 끝나고 하자고 한다. 거짓말이 거짓말을 낳는 서울을 원하냐”며 “이명박(MB) 전 대통령의 BBK가 바로 그랬다. 이권 세력이 모여들어 대한민국이 ‘잃어버린 10년’이 됐다”고 공격했다. 한 지지자가 유세차 앞에서 ‘오세훈, 거짓말하는 그 입이 밉다’는 팻말을 들었을 땐 “맞습니다”라며 고개를 끄덕여 호응했다. 박 후보의 이날 동선은 강서구를 시작으로 금천·관악·동작·영등포구 등 서울 서남권의 민주당 텃밭에 집중됐다. 모두 2018년 지방선거 대비 사전투표율이 서울 평균상승률(2.9%포인트)에 미치지 못한 곳들이다. 금천(0.6%포인트)·관악(1.2%포인트)·동작구(1.5%포인트)는 사전투표율 상승률이 서울에서 가장 낮은 축에 들었고, 강서(2.2%포인트)·영등포구(2.7%포인트) 역시 평균상승률에 못미쳤다. 선거 막판 아직 투표하지 않은 ‘샤이진보’ 결집을 노린 동선이다. 박 후보는 강서구에 이어 진행된 금천구 유세 현장에서 “금천구 사전투표율이 평균에 조금 못미쳤다. 4월 7일에 두 배로 높여주실 거죠. 투표하면 반드시 승리한다”고 지지층의 투표를 적극 독려했다. 박 후보는 전날(4일) 기자간담회에서도 “샤이진보는 분명히 있다”고 강조했다. 4.7 재보선이 이틀 앞으로 다가온 5일 박영선 더불어민주당 시장 후보가 서울 강서구 내발산동 발산역 사거리 일대에서 유세를 하고 있다. 오종택 기자 박 후보는 금천구 유세에서도 오 후보 비판에 주력했다. 그는 “서울시 의회와 싸우고 정부와 싸우고 이래서 무슨 일이 되겠느냐. 오 후보는 자신이 필요한 것은 기억하고 자신에게 불리한 것은 무조건 ‘모른다, 생각이 나지 않는다’고 하는 선택적 기억력의 소유자”라고 말했다. 유세를 마친 뒤 기자들과 만난 박 후보는 민주당이 내곡동 땅 의혹과 관련해 허위사실 공표로 오 후보를 검찰에 고발한 것과 관련해 “끝까지 파헤쳐야 한다”고 강조했다. “다섯명의 증인 이외에 (더 이상) 결정적인 물증이 뭐가 있겠느냐. 경작인, 측량팀장, 생태탕집 부모 등 모든 과정에 증인이 있는데 더 이상의 증거가 어디있겠느냐”고 했다. 이어 언론을 향해서도 “세세하게 보도하지 않은 것도 문제가 있다”고 주장했다. 한편 민주당의 서울 이외 지역구 국회의원들도 박 후보 지원을 위해 서울로 집결했다. 당권 주자인 송영길(인천 계양을)·홍영표(인천 부평을) 의원은 관악·강동·영등포구 일대 유세에 출동했고, 서영석 의원(부천정)은 은평·영등포·관악구 일대를 돌았다. 박상혁 의원(김포을)은 박 후보가 강서구 유세장을 찾았을 때 연단에서 박 후보 지지를 호소했다. 지역구(익산을)에서 유세를 위해 상경한 한병도 의원은 이날 자신의 페이스북에 “시도의원들과 함께 서울 강북갑으로 지원 유세를 간다. 민주당에 기회를 달라”고 호소했다. 한영익 기자, 김보담 인턴기자 hanyi@joongang.co.kr"
중앙일보,2021-04-05,"박영선·오세훈 묻히고 '생태탕' 남았다…""한편의 블랙코미디""",손국희,"“오리발탕 드신 것은 아닌가” (강선우 민주당 의원) “생떼탕 끓이려 안간힘 쓴다” (조수진 국민의힘 의원) “생태탕 집 사장들이 들고일어날 일”(정청래 민주당 의원) 서울시장 선거를 코 앞에 둔 지난 2~4일 여야 의원들 사이에 오간 설전이다. 요즘 서울시장 선거판에는 때아닌 ‘생태탕 싸움’이 한창이다. 오세훈 국민의힘 서울시장 후보가 2005년 서울 내곡동 처가 땅 측량 현장에 동행하고, 인근 생태탕 집에 갔느냐를 놓고 벌어진 싸움이다. 민주당 측은 “거짓말 후보는 사퇴하라”고 몰아붙이고, 국민의힘은 “저급한 네거티브”라고 맞서고 있다. 급기야 5일에는 오 후보를 목격했다는 생태탕집 주인 아들 김모씨와 측량 현장 목격자가 기자회견을 예고했다가 취소하는 해프닝도 벌어졌다. 기자회견을 주관한 안진걸 민생경제연구소장은 “오 후보 지지자 등으로부터 테러 당할까 봐 잠정 취소했다”고 밝혔다. 김씨와 그의 어머니 황모씨는 앞서 TBS 라디오 ‘김어준의 뉴스 공장’에 출연해 오 후보를 목격했고 구두 브랜드가 ‘페라가모’였다고 주장했다. 하지만 이후 황씨가 다른 언론매체에는 “오 후보가 기억나지 않는다”는 취지로 말한 사실이 알려져 진위 논란이 불거졌다. 황씨는 이에 대해 이날 “기자들 전화가 너무 와서 ‘모른다’고 한 것”이라고 설명했다. 5일 오후 4.7일 서울시장 재보궐선거를 앞두고 더불어민주당 박영선 후보와 국민의힘 오세훈 후보가 방송기자클럽 초정 마지막 토론회에 앞서 기념촬영을 마치고 각자 자리로 가고 있다. 두 후보 측은 2005년 오 후보의 서울 내곡동 측량 입회 의혹을 놓고 이날도 맞붙었다. 오종택 기자 박영선 후보 측의 공격 포인트는 ‘거짓말 프레임’이다. 앞서 “내곡동 땅의 존재를 몰랐다”는 오 후보 해명을 문제 삼으며 “거짓말했으니 사퇴하라”고 공세를 펴는 전략이다. 하지만 정치권 일각에선 “정작 의혹의 본질인 ‘오세훈 특혜 압력’을 입증할 결정적인 증거를 내놓지 못하고 있다”는 평가도 나온다. 야권 일각에선 “오 후보가 의혹 초기 ‘몰랐다’ 등 발언으로 불필요한 논란을 자초했다”는 지적도 있다. 국민의힘 관계자는 “오 후보가 시장 당선 전인 2005년 처가 땅 측량 현장에 갔다고 해도 문제될 게 없는 사안”이라며 “처음부터 상속받은 땅이고, 압력이 없었다는 점만 명확히 했으면 됐을 일”이라고 말했다. 생태탕 싸움을 두고 일각에선 “부동산, 코로나19 사태 등 시급한 민생 현안을 생태탕이 묻어 버렸다”는 우려도 나온다. 신율 명지대 정치외교학과 교수는 “이번 선거는 이념을 떠나 서울시 최대 현안인 부동산 사태나 코로나 극복 방안 등을 진지하게 논쟁할 기회였다”며 “의혹의 본질을 벗어난 생태탕 싸움이 이런 기회를 내팽개치고 선거 수준을 하락시킨 것은 문제”라고 지적했다. 구글트렌드 한때 ‘생태탕’이 ‘박영선’ 추월 5일 구글트렌드 분석에 따르면 검색어 '생태탕'은 이날 오전 한때 검색어 '박영선'을 추월했다. [구글트렌드 캡쳐] 생태탕 논쟁이 아예 후보들의 존재감을 덮어버린다는 데이터도 나왔다. 구글트렌드 분석에 따르면 검색어 ‘생태탕’은 5일 오전 한때(오전 8시~12시) ‘박영선’을 처음으로 추월했다. 구글트렌드는 이용자들의 검색 빈도를 바탕으로 특정 검색어의 검색 수치를 산정한다. 민주당의 한 의원보좌관은 “박 후보가 선거 준비를 열심히 했는데, 생태탕 논란이 박 후보의 장점을 가린 점은 조금 아쉽다”고 말했고, 국민의힘 3선 의원도 “정치가 생태탕에 묻힌 블랙코미디”라고 꼬집었다. 민주당 오세훈 추가 고발, 박형준 수사 의뢰 더불어민주당 박광온 사무총장(왼쪽부터), 김회재 의원, 최인호 수석대변인이 5일 오후 서울 여의도 국회 소통관에서 열린 국민의힘 오세훈 서울시장 후보 허위사실 공표죄 추가고발 기자회견을 하고 있다. 오종택 기자 부산시장 선거 역시 엘시티 특혜 분양 논란으로 진흙탕 양상이다. 김영춘 민주당 부산시장 후보 캠프는 이날 “공익제보자에 따르면 박형준 국민의힘 후보 일가가 매입한 엘시티 17, 18층 매물은 (엘시티의 실질적 운영자인) 이영복 회장이 로비를 위해 따로 빼놓은 것”이라며 “우연히 샀다는 박 후보 해명은 거짓말”이라고 공세를 폈다. 박형준 후보 측은 이에 대해 “전혀 사실이 아니다. 황당무계한 내용이라 대응할 가치조차 느끼지 못한다”고 일축했다. 이날 민주당은 “오 후보의 측량 입회 목격이 다수 나왔다”며 서울중앙지검에 오 후보를 허위사실 공표 혐의로 추가 고발했다. 엘시티 의혹에 대해선 “박형준 후보가 해명 요구에 응하지 않았다”며 수사 의뢰했다. 손국희ㆍ송승환 기자 9key@joongang.co.kr"
중앙일보,2021-04-05,"與, 오세훈 고발장 제출…""양심 있다면 당장 정계은퇴 하라""",이해준,"국민의힘의 오세훈 서울시장 후보(왼쪽)와 박형준 부산시장 후보. 오종택 기자 더불어민주당이 5일 오세훈 국민의힘 서울시장 후보에 대한 고발장을 접수하고 박형준 부산시장 후보에 대한 수사를 의뢰했다. 민주당 김회재 법률위원장과 홍승권 중앙선대위 대변인은 이날 서울중앙지검에 오 후보에 대한 고발장을 접수하고 박 후보에 대한 수사의뢰 조치를취했다. 민주당은 '오 후보가 내곡동 땅 문제와 관련해 측량을 입회했다는 목격과 증언이 다수 나오고 있어 허위사실공표죄에 성립한다'며 추가 고발장을 접수한 배경을 설명했다. 김 법률위원장은 ""내곡동 땅 투기 의혹이 사실이라면 정계에서 은퇴하겠다고 선언한 만큼 일말의 양심 남아있다면 지금 당장 서울시장 후보에서 물러나 정계 은퇴 선언하시길 촉구한다""고 밝혔다. 또 박 후보에 대해서는 엘시티(LCT) 재산 은폐 의혹, 국회 사무총장 시절 지인 특혜 의혹 등에 대한 해명을 요구하며 수사를 의뢰했다. 김 법률위원장은 ""6대 비리 게이트에 대해 오늘 오후 4시까지 해명을 요구했지만 묵묵부답""이라며 검찰에 수사를 의뢰한 이유를 설명했다. 최인호 민주당 수석 대변인은 ""오 후보와 박 후보 둘 다 이명박 전 대통령의 핵심 측근""이라며 ""특히 오 후보, 박 후보의 허위사실 유포와 관련된 선거법 위반 행위는 당선 무효형의 가능성이 매우 크다는 (당내) 법률위원회의 보고도 있었다""고 전했다. 이해준·송승환기자 lee.hayjune@joongang.co.kr"
