press,date,title,reporter,content
프레시안,2021.04.22.,"홍준표 ""부끄러운 부모도 내 부모…이명박 박근혜 공·과 안아야""",이명선,"홍준표 무소속 의원이 ""부끄러운 부모도 내 부모""라며 ""이명박·박근혜 정권의 공과를 안고 더 나은 모습으로 국민들의 심판을 받을 생각을 해야"" 한다고 주장했다. 홍 의원은 22일 자신의 페이스북에 ""지금 국민의힘 뿌리는 1990년 3당 합당으로 탄생한 민자당""이라며 노태우·김영삼·노무현·김대중·이명박·박근혜 전 대통령 모두 전 정권의 공과를 안고 집권했다고 밝혔다. 그러면서 ""지금 집권한 문재인 대통령은 폐족을 자처하던 노무현 잔여세력들이 뭉쳐 노무현 정권 2기를 만든 것이지 노무현 정권과 차별화 하거나 역사 단절을 외치고 있지 않다""고 덧붙였다. 홍 의원은 이어 ""이명박·박근혜 정권의 공과를 안고 더 나은 모습으로 국민들의 심판을 받을 생각을 해야지 그분들과 역사를 단절시키면서까지 집권을 꿈꾸는 것은 위선이고 기만""이라고 했다. 홍 의원은 ""아무리 염량세태(炎凉世態)라고들 하지만, 부끄러운 조상도 내 조상이고, 부끄러운 부모도 내 부모""라며 ""쿠데타로 집권하지 않은 이상 단절되지 않고 도도히 흘러가는 것이 역사""라고 강조했다."
프레시안,2021.04.18.,"'사면론' 들고 나온 홍준표...""文대통령, 부메랑 될 것""",서어리,"홍준표 무소속 의원이 문재인 대통령을 향해 연일 이명박‧박근혜 전 대통령에 대한 사면을 요구하고 있다. 홍 의원은 18일 자신의 페이스북을 통해 ""대통령의 통치 행위도 수사대상이 되고 사법 심사의 대상이 된다는 관례를 만든 문재인 대통령은 퇴임 후 누가 후임 대통령이 되더라도 그게 변명할 수 없는 부메랑이 될 것""이라고 했다. 홍 의원은 전날에도 ""자신의 업보로 될 두 전직 대통령도 이젠 사면하시고 늦었지만 화해와 화합의 국정을 펼치시길 기대한다""고 촉구한 바 있다. 이날 홍 의원은 ""문재인 대통령은 대부분 통치행위였던 박근혜 전 대통령을 검찰을 이용하여 여론몰이로 구속하고 또 이명박 전 대통령도 증거도 없이 구속 했다""고 지적했다. 그는 ""대통령의 통치 행위는 위법 여부를 떠나 사법심사의 대상이 안 되는 게 판례였고 법조상식이었다""며 ""이 때문에 DJ는 대북 송금 사건에서 조사도 받지 않고 처벌도 받지 않았다""고 했다. 그러면서 ""2003년 4월 노무현 대통령 초기 '대북송금' 사건을 수사하며 박지원만 구속하고 사실상 송금을 지시한 DJ(김대중 전 대통령)는 조사조차 하지 않았다""며 ""당시 문재인 청와대 민정수석은 그것을 대통령의 통치 행위로 판단했기 때문일 것""이라고 했다. 그러면서 ""박근혜 전 대통령은 수사 대상도 아닌 대통령의 통치행위를 범죄로 몰았고, 이명박 전 대통령은 오로지 노무현 전 대통령을 자진(自盡)케 했다라는 사적 감정으로 정치 보복을 한 것""이라고 풀이했다. 홍 의원은 ""감정으로 몽니 부리지 마시고 (이명박·박근혜) 두 전직 대통령을 사면하라""며 ""그게 훗날을 위해서도 바람직 할 것""이라""며 ""이젠 화해와 화합의 정치를 하라고 권하는 것""이라고 강조했다. 그러면서 ""수많은 통치행위 중 원전 비리 사건 하나만 하더라도 중죄를 면하기 어려울 것""이라고 경고했다. 이에 홍 의원은 ""그래서 이젠 화해와 화합의 정치를 하라고 권하는 것이니 더 이상 감정으로 몽니 부리지 마시고 두 전직 대통령을 사면하라""며 ""그 것이 훗날을 위해서도 바람직할 것""이라고 강조했다."
프레시안,2021.03.05.,"홍준표 ""검찰의 양아치 문화, 당신들 수술당하고 있는 건 자업자득""",이명선,"검찰 고위층 비리를 수사했다가 검복을 벗은 이력이 있는 홍준표 무소속 의원이 검찰을 비판하는 글을 써 주목을 받고 있다. 홍 의원은 5일 자신의 페이스북에 ""바람이 불기도 전에 검찰은 눕고 바람이 그치기도 전에 검찰은 일어 난다. 구둣 속에 양말까지 넣어 양주잔 만들어 상대방에게 강권 하고 밤새도록 폭탄주를 돌리며 조폭 같은 의리로 뭉쳐 국민 위에 영감(令監)으로 군림해 왔다""고 검찰 조직을 향해 운을 뗐다. 홍 의원은 ""그 문화에 끼이지 않으면 철저하게 아웃 사이더로 취급받고 인사 때마다 광어족, 도다리족, 잡어족으로 나누어 패거리 인사 특혜를 누려 왔다. 양아치 문화였다""며 ""검찰 개혁이 문제될 때마다 정권의 사냥개 노릇을 자처하며 그 독점적인 권력을 유지해"" 왔다고 지적했다. 홍 의원은 검찰의 '사냥개 노릇'을 통한 '독점적 권력' 유지의 절정이 ""문재인 정권의 이른바 적폐수사""라고 주장했다. 홍 의원은 ""검찰 조직의 속성과 무서움을 경험한 문재인 대통령이 퇴임 후 돌변한 검찰로부터 비리로 단죄될 것이 두려워 그 안전장치로 이렇게 수사권 집중보다 수사권 분산을 시도 하고 있다는 것""이라며 검찰이 ""토사구팽""을 당하고 있다고 주장했다. 홍 의원은 이어 ""수사권 분산 그 자체는 결코 반민주주의는 아니다. 국민들이야 어디 가서 수사를 받던 아무런 문제가 없다""며 ""그 사이 검찰이 인권 옹호기관으로 역할을 한 일이 한번이라도 있었느냐""라고 지적했다. 홍 의원은 ""문 대통령은 검찰조직을 하이에나와 같은 속성을 가지고 있다고 보고 있는 것""이라며 ""그것 때문에 당신들은 수술을 당하고 있는 거다. 자업자득이다""라고 비판했다. 홍 의원은 ""이제부터라도 말만 하지 말고 진정으로 국민의 검찰로 거듭 나거라. 그것만이 당신들(검찰)이 살 길""이라고 했다."
프레시안,2021.02.28.,"홍준표, 이재명에 독설 ""양아치같은 행동...文측이 살려준 것에 불과""",이명선,"홍준표 무소속 의원이 여권 유력 대선 주자인 이재명 경기도지사를 향해 ""양아치 같은 행동으로 주목""을 끌고 있다고 비난했다. 홍 의원은 27일 자신의 페이스북을 통해 ""웬만하면 아직 때가 아니다 싶어 참고 넘어가려고 했는데 그동안 양아치 같은 행동으로 주목을 끌고 내가 보기엔 책 같지 않은 책 하나 읽어 보고 기본소득의 선지자 인양 행세하고, 걸피하면 남의 당명 가지고 조롱 하면서 자기 돈도 아닌 세금으로 도민들에게 푼돈이나 나누어 주는 것이 잘하는 도정(道政)이냐""고 비판했다. 홍 의원은 ""지도자를 하고 싶다면 진중하게 처신 하라. 대한민국 국민들은 절대 베네수엘라 급행열차는 타지 않을 것""이라고 했다. 홍 의원은 ""그래도 아직 쓸모가 있다고 판단되어 문 대통령 측이 살려준 것에 불과하다. 하도 방자해서 한마디 했다""고 말했다. 앞서 이재명 지사는 성폭력, 살인 등 중범죄를 저지른 의사의 의료 면허를 정지토록 하는 내용의 의료법 개정안 국회 처리가 불발된 것을 ""국민의힘의 합의 파기""라고 주장하며 ""기득권 편에서 국민 반대만 하는 국민의힘에 묻는다"", ""국민의힘 당명에 적힌 '힘'은 누구를 위한 '힘'이냐""고 비판했다."
프레시안,2021.01.15.,"홍준표 ""박근혜는 희생양, 석방해야""...당대표 시절엔 박근혜 '제명'",이명선,"홍준표 무소속 의원이 박근혜 전 대통령에 대해 ""정치 재판의 희생양""이라며 ""죄가 없기 때문에 '사면'이 아닌 '석방'이 이치에 맞다""고 주장했다. 홍 의원은 지난 14일 자신의 페이스북에 ""사면(赦免)은 군주의 은사권(恩赦權)에서 유래한다. 죄진자를 군주의 은혜로 풀어 주는 것을 사면이라고 한다""면서 ""두 분(이명박·박근혜) 다 죄가 없는 정치재판의 희생양인데 죄가 있다는 것을 전제로 사면을 요구하는 것은 자가당착 아니냐""고 지적했다. 그러면서 ""두 전직 대통령을 사면 요구할 것이 아니라 비상시국연대의 선언대로 석방 요구를 하는 것이 도리에 맞고 이치에 맞는 주장""이라고 덧붙였다. 홍 의원은 이어 ""이 시점에 우리가 해야 할 일은 과거에 얽매여 또다시 분열할 때가 아니라는 것을 명심해야 한다""며 ""모두 하나가 되어야 패악 정권을 이길수 있고 두 분의 석방도 가능""하다고 강조했다. 한편, 홍 의원은 자유한국당 대표 시절인 2017년 11월 국정농단 사건으로 구속수감된 박근혜 전 대통령을 '제명'했다. 한국당은 당시 박 전 대통령을 당원 명부에서도 삭제, 전신인 한나라당 때부터 쌓아온 20년 정치적 관계 또한 청산했다."
프레시안,2020.12.15.,"김종인, MB·朴 사과로 중도층 구애...홍준표 ""맞은 놈이 팬 놈에 사과를?""",곽재훈,"김종인 국민의힘 비상대책위원장이 이명박·박근혜 전 대통령의 탄핵·구속 사태에 대해 ""저희가 역사와 국민 앞에 큰 죄를 저질렀다""며 ""용서를 구한다""고 사과했다. 과거와의 단절을 통해 중도층에 호소한다는 '김종인 플랜'의 결정체로 평가된다. 다만 당내 일각의 반발은 남아 있는 숙제로, 이들의 반응에 따라 대국민사과의 효과 폭이 결정될 것으로 보인다. 김 비대위원장은 15일 오전 긴급 기자회견을 통해 ""2016년 12월 9일, 박근혜 전 대통령에 대한 탄핵소추안이 국회에서 가결되었고 그로부터 4년이 지난 지금, 대한민국의 전직 대통령 2명이 동시에 구속상태에 있다""며 ""국민 여러분께 간절한 사죄의 말씀을 드린다""고 했다. 김 위원장은 ""대통령을 배출한 정당은 국가를 잘 이끌어 가라는 공동경영의 책임과 의무를 국민으로부터 위임받게 된다. 대통령의 잘못은 곧 집권당의 잘못""이라며 ""(그러나) 저희 당은 당시 집권여당으로서 그러한 책무를 다하지 못했으며, 통치권력의 문제를 미리 발견하고 제어하지 못한 무거운 잘못이 있었다""고 고백했다. 김 위원장은 탄핵과 그 이후 정국에서의 옛 새누리당·자유한국당·미래통합당 시절의 과오를 싸잡아 ""헌정사상 최초로 대통령이 탄핵받아 물러나는 사태가 발생했으면 국민을 하늘처럼 두려워하며 공구수성(恐懼修省)의 자세로 자숙해야 마땅했으나, 반성과 성찰의 마음가짐 또한 부족했다""면서 ""대통령을 잘 보필하라는 지지자들의 열망에도 제대로 보답하지 못했다. 오히려 자리에 연연하며 야합했고, 역사의 목소리에 귀기울일 지혜가 없었으며, 무엇보다 위기 앞에 하나 되지 못하고 분열을 했다""고 지적했다. 김 위원장은 ""그러한 구태의연함에 국민 여러분께서 느끼셨을 커다란 실망감에 대해서도 고개 숙여 사죄의 말씀을 드린다""며 이어 ""탄핵을 계기로 우리 정치가 더욱 성숙하는 기회를 만들어야 했는데 민주와 법치가 오히려 퇴행한 작금의 정치 상황에 대해서도 책임을 느끼며 깊이 사과를 드린다""고 했다. 문재인 정부 탄생과, 이 정부 들어 발생한 일들에 대해서도 야당으로서의 책무를 다하지 못한 점을 반성한 것이다. 김 위원장은 특히 ""두 전직 대통령의 과오에는 정경유착의 어두운 그림자가 짙게 깔려 있다. 특정한 기업과 결탁해 부당한 이익을 취하거나 경영승계 과정의 편의를 봐준 혐의 등이 있다. 또한 공적인 책임을 부여받지 못한 자가 국정에 개입해 법과 질서를 어지럽히고 무엄하게 권력을 농단한 죄상도 있었다""고 박근혜 정부 국정농단 사태를 비판하며 ""다시는 우리 역사에 이러한 일이 발생하지 않도록 해야겠다""고 다짐했다. 그는 구체적인 개혁 방안으로 △""쌓여온 과거의 잘못과 허물에 대해 통렬히 반성"" △ ""정당을 뿌리부터 다시 만드는 개조와 인적 쇄신"" △""정치의 근본적 혁신의 방향을 모색"" 등의 과제를 제시했다. 그는 ""지난 몇 번의 선거를 통해 국민 여러분께서는 저희 당에게 준엄한 심판의 회초리를 들어주셨다. 국민의 뜻을 겸허히 받들며 언제나 반성하는 자세로 임하겠다""며 다만 ""정당정치의 양대 축이 무너지면 민주주의가 함께 무너진다는 각오로, 국민의 힘으로 희망을 만들기 위해 노력하겠다""고 간접적으로 야당에 대한 지지를 호소했다. 김 위원장은 당초 박 전 대통령 탄핵소추안 가결 날짜에 맞춰 지난 9일 대국민 사과를 하려 했으나, 당내 반발과 원내 상황 등을 고려해 약 1주일 가까이 시기를 미뤘다. 서병수 의원 등 친박 중진과 당내 3선 의원 등이 김 위원장에게 반대 의사를 직간접적으로 전달했고, 주호영 원내대표도 필리버스터 등 상황을 감안해 시기적으로 적절치 않다는 의견을 밝혔던 것으로 전해졌다. 지난 9일 한 차례 기자회견을 연기하면서 박진·곽상도 의원 등 친박·친이계 핵심 인사들이 대국민사과 지지 입장을 공개 발표하는 등 당내 여론 조정 작업이 이어진 것은 이같은 상황에 대한 반작용이기도 했다. 그러나 앞서 김 위원장이 지난 8월 광주를 방문해 광주민주화운동 위령탑 앞에서 무릎을 꿇었던 때와 마찬가지로, 보수층의 반발은 이번 대국민사과의 효과를 제약하는 부정적 영향을 미칠 수 있다. 강성 보수층이 '김종인 지도부'가 이끄는 현 국민의힘과 거리를 두는 효과, 이들의 존재로 인해 김 위원장이 겨냥한 중도층이 '그러면 그렇지' 하고 고개를 돌리게 되는 효과가 모두 나타날 수도 있다. 실제로, 옛 자유한국당 대표를 지난 홍준표 의원은 이날 김 위원장의 기자회견 직후 SNS에 쓴 글에서 ""실컷 두들겨 맞고 맞은 놈이 팬 놈에게 사과를 한다? 참 어이없는 상황이 연출되고 있는 세모(歲暮) 정국""이라며 ""탄핵 사과는 지난 대선 때 인명진 (전 비대)위원장도 포괄적으로 했고 나도 임진각에서 한 바 있다. 이번 사과는 대표성도 없고 뜬금없는 사과""라고 의미를 평가절하하기도 했다. 홍 전 대표는 ""사과를 하려면 지난 6개월 동안 야당을 '2중대 정당'으로 만든 것을 사과해야 한다""며 ""이런 배알도 없는 야당은 처음 본다""고 날을 세웠다. 더불어민주당은 중도층을 겨냥해 ""국민은 김종인 위원장이 광주에서 무릎을 꿇으며 사죄했으나, 본회의에서 5.18 관련 법안에 반대표를 던진 국민의힘을 기억한다. 세월호 유가족들을 찾았으나, 그 관련 법안에는 반대했던 모습도 기억하고 있다""고 꼬집는 논평을 냈다. 민주당은 신영대 대변인 명의 논평에서 ""(김 위원장의) 사과를 존중한다. 그리고 오늘의 사과와 쇄신에 대한 각오가 실천으로 이어질 것을 기다리겠다""면서도 ""이제는 말과 행동이 일치되기를 바란다. 사과와 반성이 진심이라면 이제 행동으로 보여주기 바란다. 아울러 김 위원장의 사과가 개인만의 반성이 아니라 국민의힘 모두의 반성과 사과이길 바란다""고 지적했다. ▲국민의힘 김종인 비상대책위원장이 15일 오전 서울 여의도 국회에서 긴급 기자회견을 열고 전직 대통령 구속 관련 대국민사과와 함께 인적쇄신을 약속하고 있다. ⓒ연합뉴스 다음은 김 위원장의 이날 기자회견 전문(全文). 존경하는 국민 여러분!2016년 12월 9일박근혜 전 대통령에 대한 탄핵소추안이국회에서 가결되었습니다.그로부터 4년이 지난 지금,대한민국의 전직 대통령 두 명이동시에 구속 상태에 있습니다.저는 오늘 이 문제와 관련해국민 여러분께간절한 사죄의 말씀을 드리려고 이 자리에 섰습니다. 대통령을 배출한 정당은국가를 잘 이끌어가라는 공동경영의 책임과 의무를국민으로부터 위임받게 됩니다.대통령의 잘못은 곧 집권당의 잘못이기도 합니다.저희 당은 당시 집권 여당으로서그러한 책무를 다하지 못했으며,통치 권력의 문제를미리 발견하고 제어하지 못한무거운 잘못이 있습니다.대통령을 잘 보필하려는 지지자들의 열망에도제대로 보답하지 못했습니다.오히려 자리에 연연하며 야합했고, 역사의 목소리에 귀 기울일 지혜가 없었으며, 무엇보다 위기 앞에 하나 되지 못하고 분열을 했었습니다. 헌정사상 최초로대통령이 탄핵받아 물러나는 사태가 발생하였으면,국민을 하늘처럼 두려워하며공구수성(恐懼修省)의 자세로자숙해야 마땅했으나,반성과 성찰의 마음가짐 또한 부족하였습니다.그러한 구태의연함에국민 여러분께서 느끼셨을 커다란 실망감에 대해서도고개 숙여 사죄의 말씀을 드립니다.아울러 탄핵을 계기로우리 정치가 더욱 성숙하는 기회를 만들어야 했는데민주와 법치가 오히려 퇴행한작금의 정치 상황에 대해서도책임을 느끼며 깊이 사과를 드립니다. 두 전직 대통령의 과오에는정경유착의 어두운 그림자가 짙게 깔려 있습니다.특정한 기업과 결탁하여부당한 이익을 취하거나경영승계 과정의 편의를 봐준 혐의 등이 있습니다.또한 공적인 책임을 부여받지 못한 자가국정에 개입해 법과 질서를 어지럽히고무엄하게 권력을 농단한 죄상도 있었습니다.국민과의 약속은 져버렸습니다. 다시는 우리 역사에이러한 일이 발생하지 않도록 하여야겠습니다.쌓여온 과거의 잘못과 허물에 대해통렬히 반성하며,정당을 뿌리부터 다시 만드는개조와 인적 쇄신을 통해거듭나겠습니다. 역사를 돌아보면헌정사의 모든 대통령이 불행한 일을 겪었습니다.외국으로 쫓겨나거나,측근의 총탄에 맞거나,포승줄에 묶여 법정에 서거나,일가친척이 줄줄이 감옥에 가거나,극단적인 선택을 하는 등우리나라 어떤 대통령도 온전한 결말을 맺지 못했습니다.그리고 지금 두 전직 대통령이영어의 몸이 되어있습니다.국가적으로도 참담하고 부끄러운 일입니다. 이런 모든 역사적 과정에 대해서도오늘 이 기회를 빌려 반성하고 사죄하며,우리 정치의근본적 혁신의 방향을 모색하는 과제에도노력을 게을리하지 않겠습니다. 지난 몇 번의 선거를 통해국민 여러분께서는 저희 당에게준엄한 심판의 회초리를 들어주셨습니다.국민의 뜻을 겸허히 받들며언제나 반성하는 자세로 임하겠습니다.아울러 정당정치의 양대 축이 무너지면민주주의가 함께 무너진다는 각오로써,국민의힘은국민의 힘으로희망을 만들기 위해 노력하겠습니다.민생과 경제에 대한한층 진지하게 고민을 하고 준비하겠습니다. 이 작은 사죄의 말씀이국민 여러분의 가슴에 맺혀있는 오랜 응어리를,온전히 풀어드릴 수는 없겠지만,다시 한 번 진심을 담아 고개 숙입니다.저희가 이 역사와 국민 앞에 큰 죄를 저질렀습니다.용서를 구합니다. 2020년 12월 15일국민의힘"
프레시안,2020.11.17.,"대구 지역구 홍준표 ""나는 가덕도 신공항 적극 찬성""...왜?",이명선,"대구 수성구을을 지역구로 두고 있는 홍준표 무소속 의원이 가덕도 신공항 추진에 대해 ""적극 찬성한다""고 밝혀 눈길을 끌었다. 홍 의원은 17일 페이스북을 통해 ""부산시장 보선을 앞두고 가덕도 신공항 추진을 문재인 정권이 할 것이라고 이미 한달 전에 예측한 바 있었다""며 ""결론적으로 나는 김해공항 폐지를 전제로 한 가덕도 신공항을 적극 찬성한다""고 밝혔다. 홍 의원은 ""기계, 중화학, 선박의 시대를 넘어서 지식 산업시대, IT혁명시대, AI 혁명시대를 맞아서 이제 국제간의 물류 이동은 거대한 상선이나 열차로 이루어 지는 것 보다 첨단 제품은 항공 물류로 대전환을 하고 있는 이 시점에 수도권 중심의 인천 공항에만 대한민국 항공 물류의 90% 이상을 담당하게 하는 것은 지역 균형 발전에도 맞지 않고 첨단 산업의 수도권 집중 현상도 막을수 없다""고 주장했다. 홍 의원은 ""수도권과 강원도는 인천 공항, 충청 TK는 대구 통합 신공항, 부.울.경 PK는 가덕 신공항, 호남은 광주 공항을 무안 공항으로 통합하고 이를 격상시켜 각각 지역 관문 공항으로 만들면 수도권 첨단 산업들이 대거 지방 이전을 이룰 수가 있어서 지역 균형 발전을 도모할 수 있다""고 했다. 홍 의원은 ""가덕도 신공항 특별법과 대구 신공항 특별법, 광주 공항 이전 특별법을 동시에 만들어서 국토 균형발전을 이룰수 있도록 해야 한다""며 ""그것이 대한민국의 새로운 하늘 길을 열어가는 역사적 출발점이 될 것""이라고 했다. 이같은 홍 의원의 발언은 대구경북 의원들의 인식과 결이 다르다. 차기 대선 출마를 염두에 둔 행보로 해석된다."
프레시안,2020.11.03.,"홍준표 ""호남 가서 벼락치기?...김종인, 속 좁은 좁쌀 정치""",이명선,"홍준표 무소속 의원이 김종인 국민의힘 비상대책위원장을 겨냥해 ""속 좁은 좁쌀 정치""를 하고 있다고 각을 세웠다. 홍 의원은 지난 2일 자신의 페이스북에 ""내년 4월 서울·부산시장 보궐 선거가 심상치 않다""면서 ""24개 구청장과 80% 이상 지방의원을 가진 민주당이 압도적인 조직선거, 관권선거를 하게 될 것""이라고 호언했다. 이어 ""'민주당 2중대' 정책으로 마음이 떠나버린 느슨한 우리 지지층과 와해된 서울 지역 당협 조직""을 지적하면서 ""이런(코로나19 사태와 부동산 문제 등) 문재인 정권의 악정(惡政)에도 불구하고 과연 우리가 이길 수 있을지 참으로 의문""이라고 밝혔다. 홍 의원은 ""더구나 김종인 비대위원장이 이미 우리당(국민의힘) 후보들을 모두 폄하해 버려 어느 후보가 선택받더라도 상처뿐인 출마가 될 것은 자명한 이치""라며 ""그런데도 불구하고 아무런 대책 없이 우리끼리 쪼개고 제외하는 '속 좁은 좁쌀 정치'를 어떻게 우리 지지층들이 받아 주겠나""라고 목소리를 높였다. 홍 의원은 ""부산시장 선거도 별반 다를 바 없다""면서 와해된 조직과 가덕도 신공항 건설 발표 등을 예로 들어 ""무슨 타개책으로 돌파하겠는가""라고 직격했다. 그는 ""태극기 세력이 가장 강한 부산에서 그 세력을 업고 정규재 <펜앤드마이크> 주필이 출마하려고"" 한다면서 ""(김 위원장이) 아무나 나서면 찍어 주는 부산으로 얕잡아 보고 초선의원에게 출마 종용도 하고 다른 중진이나 다선 의원들은 배제하면서 부산 시장 감이 없다고 질러댔으니 부산 사람들이 뿔이 나도 단단히 났다""고 주장했다. 홍 의원은 김 위원장의 잇따른 호남행을 비난하기도 했다. 그는 ""어제 우리당 최대 지지 지역인 TK에서 민주당 34%, 우리당 30%로 역전되는 초유의 사태가 벌어졌는데도 보궐 선거도 없는 호남에 가서 표 구걸이나 한가하게 하고 있으니, 참으로 보궐선거를 앞두고 하는 모습들이 가관""이라고 비꼬았다. 그는 ""호남에 가서 벼락치기 공들인다고 서울·호남 분들이 보궐 선거 때 우리당으로 즉시 돌아오겠습니까?""라고 반문하면서 ""김종인 위원장이야 그냥 나가 버리면 그만이지만, 이 당을 지켜온 우리들만 또다시 형극의 길을 걷게 될 것""이라고 했다. 홍 의원은 나훈아의 <테스형> 가사에 빗댄 ""야당이 왜 이래?""가 ""우리 지지층들의 아우성""이라며 김 위원장을 거듭 비난했다. 지난 1일 한국갤럽에 따르면, 더불어민주당 지지율은 40%, 국민의힘 지지율은 20%로 조사됐다. 특히 TK에서 민주당 지지율은 34%로, 국민의힘 지지율 30%보다 높게 나왔다. 해당 조사는 지난달 27~29일 1001명을 대상으로 조사했으며 표본오차는 95% 신뢰수준에서 ±3.1%포인트다."
프레시안,2020.11.01.,"홍준표 ""국민의힘, 민주당 2중대냐"" 일갈",서어리,"홍준표 무소속 의원이 국민의힘을 향해 ""당이 추구하는 새로운 길이 민주당 2중대 정당이냐""며 비판했다. ""도살장 끌려가는 소가 되려 하느냐""면서 원색적인 비난도 마다치 않았다. 홍 의원은 1일 자신의 페이스북에 ""웬만하면 참고 기다리려고 했다. 그러나 당이 추락하는 것은 참기 어렵다""며 이같이 말했다. 홍준표 의원은 ""상임위원장 다 내주고, 맹탕 국정감사하고, 공수처 내주고, 예산 내주고, 이젠 의료대란의 원인을 제공한 공공의대도 내주겠다고 한다""며 국민의힘의 무기력한 모습을 지적했다. 또 ""대인정치(大人政治)하라고 그렇게 충고해도 자기 식구들은 온갖 이유를 들어 이리저리 쪼개고 내치고 민주당에서 쫓겨난 초선의원 출신에게는 쫓겨나자마자 쪼르르 달려가고 문재인 대통령 주구(走狗) 노릇을 하면서 정치 수사로 우리를 그렇게도 악랄하게 수사했던 사람을 데려오지 못해 안달하는 정당이 야당의 새로운 길이냐""고 했다. 국민의힘이 민주당을 탈당한 금태섭 전 의원과 윤석열 검찰총장을 영입하려는 움직임에 대해 일침한 것. 그는 ""답답하고 답답하다. 103명의 국회의원 중 당을 맡아 운영할 제대로 된 사람이 단 한 사람도 없느냐""면서 ""탄핵도 그래서 당한 것이다. 한 번 당했으면 두 번은 당하지 말아야 한다. 또 세월 뒤에 숨어서 기웃거리다가 폭망할 건가""라고 했다. 이같은 홍 의원의 지적에 원희룡 제주도지사가 ""우리는 적서 논쟁을 벌일 형편이 아니""라며 맞받아쳤다. 원 지사는 이날 자신의 페이스북에 ""메르켈이 독일 보수의 적장자였나? 아니면 트럼프가 미국 보수의 적장자였나? 세종대왕도 셋째 아들이었다""며 ""그런 것 하나도 안 중요하다""고 했다. 그러면서 ""왜 우리 당이 김종인 비대위원장을 모셔왔나? 우리의 잘못으로 계속 졌기 때문에 영입한 것""이라며 ""지금 김종인 비대위는 패배의 그림자를 지우는 중이다. 시간을 더 줘야 한다""고 주장했다. 이어 ""새 그림을 그리는 것은 홍 전 대표와 원희룡이 할 일""이라며 ""지금은 비대위를 중심으로 힘을 모을 때다. 비대위를 흔들 때가 아니""라고 강조했다."
프레시안,2020.10.29.,"윤석열 잘 모시겠다던 홍준표 ""MB 기소한 사람이 야권 대선후보? 코미디""",이명선,"무소속 홍준표 의원이 이명박 전 대통령에 대한 법원의 징역 17년 확정 판결을 비판하며 ""역사에 남을 최악의 정치 판결, 코드 사법 판결""이라고 주장했다. 홍 의원은 29일 자신의 페이스북에 글을 올리고 ""오늘 대법원 선고를 보니 참 어이가 없다. 다스회사는 가족회사인데 이명박 전대통령 형은 자기 회사라고 주장했고 이 대통령도 형 회사라고 했는데 아무 것도 모르는 운전사의 추정 진술만으로 그 회사를 이명박 회사로 단정 짓고 이를 근거로 회사자금을 횡령 했다고 판결했다""고 주장했다. 홍 의원은 또 ""박근혜 전 대통령 제3자 뇌물 혐의도 마찬가지다. 최순실을 도와 주기 위해서 경제계의 협조를 받았다는 미르재단, K스포츠 재단을 뇌물로 판단 한다면 역대 대통령중 뇌물로 걸리지 않을 대통령이 어디 있는가""라며 ""지금 문재인 대통령은 이로부터 자유로운가""라고 주장했다. 홍 의원은 ""문(재인) 정권의 주구가 되어 이런 억지 기소를 한 사람을 야권 대선 후보 운운 하는 것도 희대의 코메디 일 뿐만 아니라 문 정권에 동조하여 이런 정치판결, 코드판결에 대해 이를 사과 운운하는 것도 야당의 태도가 아니다""라고 주장했다. 서울중앙지검장 시절 이 전 대통령 수사를 지휘한 윤석열 검찰총장을 함께 싸잡아 비판한 것이다. 앞서 홍 의원은 윤석열 검찰총장의 국정감사 답변을 보며 ""그 정도 정치력이면 여의도판에서도 충분히 통할수 있는 대단한 정치력""이라며 ""잘 모실테니 정치판으로 오십시오""라고 말한 적이 있다. 홍 의원은 ""문 정권도 야당 지도부도 정상적이지 않다. 세상이 정말 왜 이렇게 돌아 가고 있는가""라고 덧붙였다."
