,날짜,제목,언론사,기자,본문
0,2021.05.03 21:30,런던서 블링컨 만난 정의용 “대북정책 현실적 결정 환영”,경향신문,김유진 기자 yjkim@kyunghyang.com,"큰 그림 공개한 바이든 정부인센티브 제시 여부 불확실북·미 사이 대화 복안 고심한국, 중재자 입지 회복 나서조 바이든 미국 행정부가 출범 100일 만에 대북정책 검토를 끝마치면서 한·미가 실행 방안을 놓고 본격 조율에 나섰다. 정부는 오는 21일 한·미 정상회담을 계기로 북·미 대화 재개 여건을 마련하겠다는 입장이다. 그러나 북한이 대북전단 살포를 이유로 남북관계 긴장을 고조시키는 가운데, 한·미 간 대북전략 우선순위에도 차이가 있어 한반도 평화프로세스 재개 구상 실현이 순탄치만은 않다는 관측이 나온다.바이든 정부는 지난달 30일(현지시간) ‘외교에 열려 있고 실용적이고 조정된 접근’을 골자로 하는 대북정책의 큰 그림을 공개했다. 정부는 한·미 정상회담이 문재인 정부 임기 내 대화 재개 여부를 가늠할 ‘마지막 기회’로 보고, 북한의 대화 복귀를 이끌어내는 복안을 협의하는 데 속도를 낼 계획이다.정의용 외교부 장관은 3일 주요 7개국(G7) 외교·개발장관회의 참석차 방문한 영국 런던에서 토니 블링컨 미 국무장관과 별도 회담을 갖고 대북정책 공조 방안을 논의했다. 블링컨 장관은 미국의 대북정책 검토 결과를 공유했고, 정 장관은 “(미국의) 대북정책 검토 결과가 현실적이고 실질적인 방향으로 결정된 것을 환영한다”고 밝혔다고 외교부는 전했다. 미 국무부는 두 장관이 한반도 비핵화를 위한 한·미·일 협력을 포함해 공동의 안보 목표를 계속 진전시켜 나가기로 했다고 밝혔다. 김준형 국립외교원장은 “정상회담에서 북·미 대화에 시동을 걸 수 있는 유인책을 얻어낸다면 한국 정부가 북·미 사이 중재자 입지를 회복할 수 있을 것”이라고 말했다.그러나 바이든 정부가 북한과의 조기 대화 성사를 위해 ‘인센티브’를 제시할지는 불확실하다. 정부는 종전선언, 남북협력 사업 등의 카드로 북한을 대화로 불러내겠다는 구상이나, 미국은 비핵화 진전 이전에 제재 완화나 체제 보장과 같은 ‘보상’을 제공하는 것에 회의적이다.바이든 정부가 시사한 ‘단계적 비핵화 해법’ 역시 세부 조율이 요구된다. 정부는 2019년 하노이 2차 북·미 정상회담에서 결렬된 ‘영변 핵 폐기-제재 완화’ 안을 토대로 삼을 것을 미국에 설득하고 있다. 북·미 정상 차원에서 거론된 안을 출발점으로 하면 시간과 노력을 절약할 수 있어 ‘실용적’이라는 취지다. 그러나 전임 도널드 트럼프 정부의 협상 방식에 비판적인 바이든 정부가 이를 받아들일지는 미지수다.북한이 지난 2일 “엄중한 정치적 도발”이라며 반발한 바이든 정부의 북한 인권정책에 대해선 한·미 간 불편한 기류가 나타날 가능성이 있다. 미 국무부는 북한 인권 이슈를 대북정책 핵심 요소로 다루면서 북한인권특사 임명 등에 나설 것으로 예상된다. 한국은 북한 주민의 ‘실질적’ 인권 개선을 위해 인도 협력 확대가 필요하다고 강조하는데, 중국·북한 등 권위주의 정권의 인권 문제에 대한 보편적·원칙적 대응을 강조하는 미국과는 온도차가 있다.미·중 갈등 국면에서 바이든 정부가 중국 위협에 대한 공동 대응을 주문하면서, 북한 문제 해결을 우선시하는 한국과의 기대치가 엇갈린다는 지적도 나온다. 김여정 노동당 부부장이 대북전단 살포를 비난하며 대남 행동을 예고해 남북관계 상황 관리 부담도 커졌다. 신범철 경제사회연구원 외교안보센터장은 “바이든 정부의 대중 기조에 동조하면서 ‘주고받기’를 통해 북한 문제에서 원하는 것을 얻어내는 유연한 접근이 필요하다”고 말했다."
1,2021.05.03 21:30,혼란에 빠진 국민의힘 ‘이대남 전략’,경향신문,심진용 기자 sim@kyunghyang.com,"재·보선 압승에도 지도부 침묵 속 이준석 ‘젠더 갈등’ 불러국민의힘의 ‘이대남(20대 남성)’ 전략이 혼란에 빠졌다. 4·7 재·보궐 선거 압승 이후 20대 표심을 중시해야 한다고 입을 모으지만 아직까지 당 차원의 대응은 보이지 않는다. 반면 재·보선 기간 ‘2030 마케팅’을 주도했던 이준석 전 최고위원(사진)의 공격적인 메시지만 부각되면서 젠더 갈등만 부추기고 있다는 비판이 나온다. 지도부 차원에서 20대 젠더 이슈를 고민해야 한다는 지적이 제기된다.재·보선 이후부터 3일 현재까지 당내에서 ‘이대남’과 관련한 ‘스피커’는 이 전 최고위원으로, 사실상 유일하다. 이 전 최고위원은 ‘여성할당제’ 등을 거론하며 진중권 전 동양대 교수와 설전을 벌이고 있고, 지난 2일 방송 토론에서도 같은 주제로 진 전 교수 등과 논쟁했다.이 전 최고위원을 제외하곤 당내 다른 인사들의 목소리는 들리지 않는다. 김병민 비상대책위원이 지난달 26일 비대위 회의에서 이 전 최고위원의 ‘여성할당제’ 비판에 대해 “엉뚱한 논쟁으로 변질하는 양상을 보는 것 같다”며 우려를 표시했을 뿐이다. 섣불리 발언했다가 20대 남성들의 정서를 자극할 수 있다며 발언을 아끼는 분위기도 감지된다그러나 지도부는 함구하고 이 전 최고위원의 발언만 도드라지는 상황에 대해선 당내에서도 우려가 나온다. 이 전 최고위원의 발언들이 젠더 갈등을 오히려 부추긴다는 비판이 제기된다.20대 남성들의 지지를 생각하다 20대 여성 표심과 더 멀어질 수 있다는 것이다. 진 전 교수 등과의 논쟁이 장기화할수록 피로감이 커질 뿐이라는 걱정도 이어진다. 당 관계자는 기자와 통화하면서 “이 전 최고위원의 말이 마치 당론처럼 여겨지고 있어 걱정”이라고 말했다.당 차원에서 20대 문제에 대한 입장을 정리해야 한다는 의견이 나온다. 당내에 진지한 고민과 토론이 없다보니 이 전 최고위원의 목소리만 부각된다는 것이다. 이 전 최고위원 역시 “당이 그동안 20대 젠더 이슈를 도외시한 것이 가장 큰 문제다. 이 문제를 어떻게 바라볼 것인지 확실한 메시지가 나와야 한다”고 말했다. 국민의힘 한 의원은 “새 지도부에서 20대 문제에 어떻게 접근할 것인지 진지하게 고민해야 한다”고 말했다."
2,2021.05.03 21:30,"송영길 “대선도 당 중심”…반기는 대권 빅3, 경선 레이스 점화",경향신문,구혜영,"민주당 송 대표 공언…후보 중심 치른 지난 대선 ‘반면교사’이재명·이낙연·정세균, 아전인수 공감…공개 행보 본격화더불어민주당이 전당대회를 마무리하고 대선 출발선을 향해 집결하고 있다. 송영길 대표가 3일 “당 중심으로 대선을 준비하겠다”고 공언하면서 대선 초침이 작동하기 시작했다. 이재명 경기지사와 이낙연 전 대표, 정세균 전 국무총리 등 ‘빅3 주자’도 항로 모색에 나섰다.송 대표는 “후보 캠프 중심이 아닌 당 중심 대선”을 강조했다. 2012년 대선 당시 문재인 후보의 용광로 캠프에 대한 반면교사이다. 또 ‘김대중 정신’을 앞세웠다. 실사구시, 통합이 스며 있는 일성이다.이 지사 측은 송 대표 일성을 긍정적인 신호로 해석했다. 이 지사 측 핵심 인사는 “당내에선 주류 세력, 당 밖에선 민심의 압박이라는 이중 차별화 요구에 직면한 상황에서 송 대표 구상은 이 지사에게 나쁘지 않다”고 평가했다. 취약한 당 장악력, 친문재인계 중심 최고위원들과 강성 지지층의 비토 정서를 당이 보완해줄 수 있다는 기대감이 읽힌다. 송 대표가 민주당 대표의 상징적 첫 행보인 봉하마을 방문에 앞서 부동산 정책 점검을 밝힌 점도 “실사구시, 실용성을 강조해온 이 지사의 생각과 일맥상통하는 부분”이라고 반겼다. 다만 학생운동권 그룹의 ‘맏형’으로서 엘리트 의식이 강한 송 대표와, 소년공·검정고시 출신 이 지사의 정서적 간극을 좁히는 게 급선무라는 이야기도 나온다.이 전 대표 측도 “당대표가 불가근불가원 관계를 선언한 것으로 공정한 대선을 치르겠다는 의지”라고 환영했다. 다만 전대 과정에서 이 전 대표 측이 홍영표 후보를 지지한 것으로 알려진 것은 부담이다. 이에 대해선 “친문에 휘둘리지 않겠다는 의미일 수도 있지만 대표 선거가 사실상 삼분지계로 결론났다. 대표가 통합의 중요성을 잘 알고 있음을 강조한 것”이라고 말했다.정 전 총리 측도 “혁신이나 개혁보다 민생과 변화, 소통에 주안점을 두겠다는 메시지”라고 풀이했다. 노선으로 보면 청와대에 휘둘리지 않는 정책 차별화를 시도하겠다는 뜻으로도 읽고 있는 분위기다.이 전 대표 측과 정 전 총리 측은 송 대표가 ‘김대중 정신’에 힘을 실은 대목을 눈여겨보고 있다. 호남이 정치적 기반인 두 주자에겐 최근 호남에서 문재인 대통령과 민주당의 지지율이 하락하는 추세가 불안 요인이다. 최고위원 경선에서 유일한 호남 후보인 서삼석 의원도 탈락했다. 이런 상황에서 두 주자 측은 “호남 출신 대표로서 그간 소홀히 대해졌던 김대중 정신을 복원하겠다는 말이다. 대선 주자들에겐 ‘이 당의 뿌리를 알라’는 시그널 아니겠나”라는 의견을 보였다.두 전직 대통령 사면론으로 지지세가 꺾인 이 전 대표와 이 전 대표를 대체하려는 정 전 총리로선 ‘김대중 정신’이 활로가 될 수 있다. 다만 민주당의 대선 방정식은 전통적으로 ‘당권 호남+대권 영남’이 통했다. 이 지사 측은 그래서 송 대표의 ‘김대중 정신’ 메시지가 기존의 전략적 선택을 강조한 것이라고 해석한다. 역으로 이 전 대표와 정 전 총리에겐 불리한 요소다.빅3 주자의 움직임도 본격화하고 있다. 이 지사 측은 다음주 ‘성장과 공정’ 포럼을 출범하며 세 불리기에 집중한다. 이 전 대표는 4일 중소기업중앙회를 방문해 청년일자리 문제를 논의하는 것으로 공개 행보를 재개한다. 오는 8일 광주에서 열리는 ‘신복지포럼’ 행사에서 구체적인 정책 구상도 밝힌다. 5월 중순 대선 출마 선언을 검토 중인 정 전 총리도 3일 첫 참모 회의를 열고 대선 로드맵을 짠 것으로 알려졌다."
3,2021.05.03 21:30,국민의힘도 ‘전당대회 준비’ 시동,경향신문,박순봉 기자 gabgu@kyunghyang.com,"빠르면 내달 초 개최 목표‘도로 영남당’ 논쟁도 심화국민의힘이 3일 ‘전당대회 준비 모드’로 전환했다.김기현 당 대표 권한대행 겸 원내대표가 이르면 다음주 전당대회준비위원회 출범, 다음달 초 전당대회 개최를 목표로 준비작업에 들어간 것이다. 당권 주자들도 속속 출사표를 내고 있다. 하지만 전당대회 분위기가 가열될수록 ‘도로 영남당’ 논쟁도 커지고 있다. 비영남권 주자들이 김 원내대표가 영남권이란 점에서 ‘투톱 모두 영남권은 불가하다’는 주장을 내놓기 시작했다.김 원내대표는 빠르면 다음달 초에 전당대회를 치르겠다는 입장이다. 이를 위해 전당대회준비위원회 구성에도 박차를 가하고 있다. 김 원내대표 측 관계자는 이날 기자와 통화하면서 “이르면 다음주 초까지 전당대회준비위원회 구성을 마칠 계획”이라고 밝혔다.전당대회를 앞두고 ‘룰 싸움’도 치열할 것으로 전망된다. 일반시민 여론조사 비율 조정이 가장 대표적이다. 현재 규정상 당원 대 일반시민 여론조사 비율이 7 대 3이다. 인지도가 높은 후보일수록 일반시민 여론조사 비율을 높이자고 요구할 것으로 보인다.당권 주자들도 잇따라 공식 출마를 선언하고 있다. 홍문표 의원(4선·충남 홍성예산)은 이날 국회에서 출마 기자회견을 하며 “반문재인 전선 벨트를 만들어 야권 후보를 모두 입당시키겠다”고 밝혔다. 지난달 23일 대표 출마를 선언한 조해진 의원(3선·경남 밀양의령함안창녕)에 이어 두번째 출마 선언이다. 이외에도 권영세, 김웅, 윤영석, 조경태, 주호영 의원과 나경원 전 의원 등이 출마를 검토하고 있다.당내에서 ‘도로 영남당’ 논란도 커지고 있다. 홍문표 의원은 기자들과 만나 “정권을 잡으려면 오늘의 ‘영남 정당’으로는 어렵다는 것이 대다수 국민의 생각”이라고 말했다. 우회적으로 영남권 후보들을 겨냥한 것이다.당권 후보 8명 중 4명(윤영석·조경태·조해진·주호영 의원)이 영남권으로 분류된다. 하지만 이에 대한 반박도 제기되고 있다. 조해진 의원은 이날 TBS 라디오에서 “국민이나 당원이 영남이냐 아니냐를 우선순위로 두고 판단하지는 않을 것”이라고 했다.김 원내대표는 이날 원내수석부대표로 대구 지역의 추경호 의원을 내정했다."
4,2021.05.03 21:27,여야 “부동산·코로나 민생 해결” 이구동성…방식은 동상이몽,경향신문,곽희양,"민주당·국민의힘 지도부, 대선 향한 ‘지지율 경쟁’여 “해외 백신업체 국내 유치”송 대표 LTV 90% 공약 주목야 “국회 백신 사절단 필요”대출 규제·보유세 완화 강조손실보상법 소급 합의도 숙제지도부를 새롭게 꾸린 여야가 ‘민생 경쟁’에 돌입했다. 부동산 정책과 코로나19 백신 등을 5월 국회의 핵심 의제로 삼은 여야는 한목소리로 “민생 문제 해결로 신뢰를 회복하겠다”고 밝혔다. 내년 대선을 앞두고 민생 문제 해결을 통해 정당 지지율을 안정적으로 끌어올려야 하는 공통 과제를 떠안았기 때문이다. 그러나 각 사안에 대한 여야의 입장차가 첨예해 진통이 적지 않을 것으로 예상된다.송영길 더불어민주당 신임 대표는 3일 국회에서 첫 최고위원회의를 주재하며 “11월 집단면역이 가능토록 하겠다”며 “부동산 문제도 당정이 협의해 대안을 만들도록 노력하겠다”고 말했다. 첫 기자간담회에서도 “가장 중요한 현안이 백신과 부동산”이라고 강조했다. 윤호중 민주당 원내대표도 최고위원회의에서 “민생국회를 만들어 나가겠다”고 말했다.지난달 30일 선출된 김기현 국민의힘 원내대표도 이날 당대표 권한대행으로서 처음 주재한 비상대책위 회의에서 “정치투쟁, 권력투쟁에서 벗어나 국민 행복을 최우선으로 하는 ‘민생 투쟁’으로 국민의 신뢰를 회복해 나가겠다”고 말했다. 그는 백신과 부동산, 일자리 문제와 관련해 ‘여·야·정 민생 협의체’를 꾸리자고 정부와 여당에 제안했다.송 대표와 김 권한대행은 국회에서 상견례 차원에서 만나 “민생 현안을 함께 푸는 동반자가 되자”는 데 의견을 접근했다고 이용빈·배준영 양당 대변인이 전했다.민생 해결이라는 양당의 방향은 같지만 사안별로 입장은 갈린다. 특히 민주당은 아직 내부 의견을 조율하지 못해 국민의힘과의 논의가 더뎌질 것으로 예상된다. 부동산 정책에서 송 대표는 ‘중심 잡기’를 해야 한다. 대출규제 완화는 가계부채를 늘린다는 지적이 있고, 세제완화 역시 과세 형평성을 무너뜨린다는 비판을 받는다. 송 대표가 공약인 ‘무주택자 주택담보인정비율(LTV) 90%’를 고집할 경우 혼란은 더 커질 것으로 보인다. 민주당은 부동산특위를 꾸려 대출규제와 종합부동산세 완화 등을 논의키로 했지만 딜레마를 풀 수 있을지 주목된다.국민의힘은 대출규제와 보유세 대폭 완화를 요구할 계획이다. 정부 부동산 정책 실패에 불만을 가진 이들을 끌어안겠다는 복안이다.백신 수급·접종에 대한 입장차도 크다. 송 대표는 모더나·화이자 이외 해외 백신업체의 생산기지를 국내에 유치하겠다고 밝혔다. 정부의 백신 수급을 보완하겠다는 취지다. 반면 국민의힘은 ‘협조와 견제’라는 두 가지 전략을 쓰고 있다. 김 권한대행은 국회 차원의 ‘백신 사절단’ 구성을 촉구하면서도 향후 백신 관련 국정조사를 요구할 방침이다.4월 국회에서 합의하지 못한 코로나19 손실보상법의 ‘소급적용’도 과제다. 송 대표는 소급적용을 하자는 쪽과 법 통과 이후 3개월 전까지만 소급적용 하자는 등의 의견 사이에서 조율해야 한다. 김 권한대행은 지난달부터 소급적용을 요구하며 국회 앞에서 천막농성 중인 최승재 국민의힘 의원을 찾아 격려했다. 당론으로 정한 ‘소급적용’ 의지를 드러낸 것이다."
5,2021.05.03 21:27,여당 첫 회의부터…개혁 속도·부동산정책 ‘이견’,경향신문,박광연 기자  lightyear@kyunghyang.com,"김용민 ‘속도’ 백혜련 ‘조절’‘종부세 완화’ 비판 목청도새 지도부, 민심 수습 ‘난제’5·2 임시전당대회를 통해 선출된 더불어민주당 새 지도부의 첫 회의에서 ‘개혁 방식’과 ‘부동산정책’을 두고 각기 다른 목소리가 나왔다. 친문재인계가 상당수 포진한 이번 지도부에서는 4·7 재·보궐 선거 패배 이후 떠오른 당심과 민심, 개혁과 민생의 괴리 좁히기가 최대 난제가 될 것으로 전망된다.송영길 대표 체제에서 처음 열린 3일 최고위원회의에서는 개혁 ‘강경파’와 ‘온건파’ 간 입장 차이가 고스란히 드러났다.조국 전 법무부 장관을 옹호하며 가장 많은 표를 얻은 김용민 수석최고위원은 “국민과 당원은 같은 목소리로 개혁하라고 명령하신 것”이라며 “민주당이 중단 없이 유능하게 개혁을 추진해나갈 수 있도록 원동력이 되겠다”고 말했다. 그는 검찰개혁과 언론개혁을 언급하며 “검찰개혁특위가 다시 신속히 활동할 수 있도록 하겠다”며 ‘속도전’을 시사했다.반면 백혜련 최고위원은 개혁의 속도조절을 주문했다. 백 최고위원은 “국민의 절실한 마음을, 절박한 목소리를 담아낼 수 있는 민생정책에 집중해야 한다”며 “정권 재창출을 위해 국민이 동의하고 승리하는 개혁에 집중해야 한다”고 말했다. 그는 “다르다고 해서 틀린 것이 아니다. 본인과 생각이 달라도 다름을 인정해야 한다”며 강성 지지층의 ‘문자메시지 폭탄’을 에둘러 비판했다. 문자 폭탄을 두둔한 김 최고위원과는 입장이 달랐다.종합부동산세 완화 주장을 비판하는 목소리도 나왔다. 강병원 최고위원은 “종부세 완화는 잘못된 처방”이라며 “미세조정을 할 수 있지만 보유세 강화 원칙이 흔들려서는 안 된다”고 말했다. 강 최고위원은 종부세 완화에 반대하는 당 핵심 지지층에 힘입어 득표율 2위로 지도부에 입성했다.최고위원들의 입장차로 확인된 ‘개혁 입법’과 ‘부동산정책 조정’ 문제는 대선을 앞둔 민주당 지도부의 주요 해결 과제로 거론된다. 당 관계자는 이날 기자와 통화하면서 “지도부 내 이견을 조율하며 접점을 찾아가는 것이 관건”이라고 말했다."
6,2021.05.03 21:27,"송영길, 취임 첫날 “청 아닌 당이 정책 주도”",경향신문,윤승민 기자 mean@kyunghyang.com,"문 대통령 “원팀 중요” 화답송, 봉하마을 등 참배 미루고부동산·백신 등 ‘정책 점검’야당 대표와 정례 만남 추진송영길 더불어민주당 신임 대표는 취임 첫날 ‘당의 주도권’과 ‘정책 개혁’을 강조했다. 청와대는 “정책은 당이 중심으로 주도하되 당·청 갈등이 표출되지 않도록 하라”는 뜻을 전했다. 송 대표는 현충원을 방문해서는 김대중·김영삼 전 대통령뿐 아니라 박정희·이승만 전 대통령 묘역을 참배했고, 야당 대표와 정례적으로 만날 뜻을 밝히며 ‘협치’ 행보를 보였다.송 대표는 이날 국회에서 기자간담회를 열고 “현 정부가 ‘민주당 정부’라고는 했지만 정책 주도권은 당보다 청와대가 쥘 때가 많았다”며 “차기 정부를 효과적으로 운영할 수 있게 하기 위해서라도 당 차원에서 정책을 잘 준비하고 당 중심으로 대선을 준비해야 한다”고 말했다. 송 대표는 “당을 쇄신하려면 부동산·백신 문제를 잘 해결하고 공정한 대선 경선 속에 ‘원팀’이 완성돼야 한다”며 “당장 내일 하려던 봉하마을, 5·18 묘역 참배를 미루고 부동산·백신 정책을 리뷰하겠다”고도 했다. 당이 중심을 잡고 그간 비판이 많았던 부동산·백신 정책을 정리해 떠나간 민심을 돌려놓겠다는 취지다.청와대는 당의 주도권을 인정하면서도 당·청 간 호흡을 강조했다. 문재인 대통령은 이날 오전 송 대표와 약 5분간 통화하면서 “송 대표의 이야기대로 부동산·백신 문제가 최우선 과제이며, 당·청 간 호흡을 잘 맞춰 해결해달라”며 “송 대표 중심으로 ‘원팀’을 만드는 게 중요하다”고 말했다고 이용빈 민주당 대변인이 전했다.이철희 정무수석도 송 대표를 예방한 자리에서 “대통령이 ‘지금부터는 당이 주도하는 것이 정상적이고 자연스러우니 충분히 소통하고 협의하되 다만 당정 갈등이 있는 것처럼 불협화음이나 갈등이 외부로 표출되면 국민이 불안해하니 정무수석이 국회에 살다시피 하며 소통하는 역할을 하라’고 말씀 주셨다”고 전했다.송 대표는 이날 오전 현충원을 참배하면서 첫 일정을 시작했다. 그는 현충원 방명록에 ‘국민이 나라의 근본이니 근본이 튼튼해야 나라가 번영합니다’라고 썼다. 김대중 전 대통령 묘역 방명록에서는 “실사구시 김대중 대통령님 정신 계승하겠습니다”라고 썼고 이어 김영삼·박정희·이승만 전 대통령 묘역을 차례로 들러 글을 남겼다.오후에는 박병석 국회의장, 김기현 국민의힘 당대표 권한대행, 여영국 정의당 대표를 차례로 만났다. 송 대표는 박 의장과 만나 “이해충돌방지법을 여야 합의로 통과시킨 것처럼 개혁이 여야 합의로 이뤄지도록 중재해주시길 바란다”고 말했다. 김 권한대행과 만난 자리에서는 “한 달에 한 번씩 야당 대표를 만나겠다”고 말했다.송 대표는 비서실장으로 재선 김영호 의원을, 대변인으로 초선 이용빈 의원을 임명했다. 수석대변인에는 재선 고용진 의원을 내정했다."
7,2021.05.03 21:24,여 “검찰 신뢰 회복 기대” 야 “검찰 장악 선언”,경향신문,박용하,"청문회 강력한 대치 예상문재인 대통령이 김오수 전 법무부 차관을 신임 검찰총장으로 내정하자 여야의 반응은 극명하게 엇갈렸다. 더불어민주당은 “검찰개혁의 소임을 다해달라”며 환영했다. 국민의힘은 “검찰 장악”이라고 강하게 반발했다.이용빈 민주당 대변인은 3일 서면브리핑에서 “김 내정자가 사법개혁과 공정성, 사회적 정의를 바라는 국민적 열망을 충실히 받들어 국민의 검찰로 신뢰를 회복할 수 있기를 기대한다”며 “시대적 과제인 검찰개혁을 완수할 수 있도록 그 소임을 다해주시길 바란다”고 밝혔다.국민의힘은 김 전 차관 내정이 곧 여권의 ‘검찰 장악’ 선언과 같다며 강하게 반발했다. 배준영 대변인은 성명에서 “김 전 차관은 명실상부한 문재인 정권의 코드인사”라며 “윤석열 전 검찰총장을 찍어내면서까지 검찰을 권력의 발아래 두고 길들이려던 검찰 장악 선언의 방점을 찍은 것”이라고 비판했다.김 전 차관의 내정으로 이성윤 서울중앙지검장을 배제한 검찰총장추천위원회의 결정이 결국 ‘요식행위’로 전락했다는 비판도 나왔다. 배 대변인은 “어차피 내 편을 앉히기 위한 요식행위로 만들어버릴 것이었다면, 검찰총장추천위의 추천과 법무부 장관의 제청 절차가 무슨 소용이 있나”라고 지적했다.이달 말로 예상되는 인사청문회에서는 여야의 강력한 대치 전선이 형성될 것으로 보인다.  국민의힘은 김 내정자의 적격성을 철저히 검증할 계획이다."
8,2021.05.03 17:32,문 대통령 “백신생산 허브 되기 위해 전폭적으로 기업 지원”,경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령은 3일 “백신생산 글로벌 허브가 되기 위한 입지·규제 완화와 세제 혜택 등 전폭적인 기업 지원을 아끼지 말라”고 말했다.문 대통령은 이날 청와대에서 주재한 제2차 특별방역점검회의에서 정은경 질병관리청장, 전해철 행정안전부 장관, 권덕철 보건복지부 장관으로부터 안건보고를 받은 후 이같이 말했다고 박경미 청와대 대변인이 서면브리핑을 통해 전했다. 오는 21일 미국 워싱턴에서 열리는 한·미정상회담에서 아시아 백신생산 허브로 한국을 지정하는 방안이 논의될 수 있다는 관측이 나오는 가운데, 이를 성사시키기 위한 정부 차원의 지원을 주문한 것으로 해석된다.이어 문 대통령은 “방역에 만전을 다함과 동시에 백신 물량 확보와 접종 속도를 내기 위해 모든 역량을 기울여 달라”면서 “올 여름휴가가 중요한 고비가 될 수 있고, 내년에 3차 접종이 필요한 상황이 올 수 있는 점을 감안할 때 충분한 백신 확보가 무엇보다 중요하다”고 강조했다.아울러 “국산 백신 개발을 위해 지금까지와 차원이 다른 과감이 지원이 필요하다”며 “경제도, 민생도 방역과 백신의 기반 위에 있는 만큼 그 어떤 정책적 과제보다 방역과 백신을 최우선 순위에 놓고 국가적 총력을 기울여야 한다“고 강조했다."
9,2021.05.03 16:22,"[속보]문 대통령, 검찰총장 후보에 김오수 전 차관 지명",경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령은 3일 신임 검찰총장 후보자에 김오수 전 법무부 차관(58)을 지명했다. 지난 3월 초 윤석열 전 검찰총장이 물러난 지 두달 만이다.청와대 박경미 대변인은 이날 브리핑에서 “문 대통령이 박범계 법무부 장관의 제청에 따라 김 전 차관을 검찰총장 후보로 지명했다”고 밝혔다.박 장관은 이날 오후 문 대통령을 직접 만나 김 전 차관을 제청했다고 청와대는 설명했다.김 전 차관은 전남 영광 출신으로 서울대 법학과를 졸업했다. 사법연수원 20기인 김 후보자는 서울중앙지검 특수1부장, 대검찰청 과학수사부장, 서울북부지검장, 법무연수원장, 법무부 차관 등을 지냈다.특히 문재인 정부 출범 후 법무부 차관으로 발탁돼 지난해까지 재직하며 박상기·조국·추미애 전 장관과 호흡을 맞춘 친정부 인사로 분류된다. 윤 전 총장(사법연수원 23기)보다 3기수 선배다.박 대변인은 김 후보자에 대해 “법무·검찰의 주요 보직을 두루 거치며 풍부한 경험을 쌓았고, 법과 원칙에 따라 주요 사건을 엄정 처리해왔다”며 “아울러 국민의 인권 보호와 검찰 개혁에도 앞장 서왔다”고 인선 배경을 설명했다.이어 “김 후보자가 적극적인 소통으로 검찰 조직을 안정화시키는 한편 국민이 바라는 검찰로 거듭 날 수 있도록 검찰개혁이라는 시대적 소임을 다해줄 것을 기대한다”고 덧붙였다."
