t_content,info
"블룸버그의 '4월 코로나19 회복력 순위'에서 싱가포르가 뉴질랜드를 제치고 1위를 차지했다.지난해 11월부터 블룸버그가 이 순위를 집계한 이후 1위가 바뀐 건 이번이 처음이다.싱가포르와 뉴질랜드 모두 최근 지역사회 감염자가 거의 발생하지 않아 일상을 회복 중이다. 싱가포르에서 코로나19 백신 접종이 진행되고 있다. [로이터=연합뉴스] 누적 확진자는 오히려 싱가포르(인구 약 590만명)가 6만1179명으로 뉴질랜드(인구 약 486만명)의 2618명보다 많다.그런데도 싱가포르가 뉴질랜드를 역전한 건 '백신 접종 속도'의 차이 때문이다. 한국, 3·4월 순위 같지만, 지난해 비해 하락 美 4계단, 英 7계단 … 접종 빠른 나라 상승 블룸버그의 ‘코로나19 회복력 순위’는 한 국가가 사회·경제적 혼란을 최소화하면서코로나19를 얼마나 잘 통제하고 있는지 나타낸다.매달 인구 10만명당확진자, 인구 100만명당 사망자, 인구 대비 백신 확보율과 접종률, 봉쇄 강도, 경제 성장률 등의 항목에 점수를 매겨 평가한다. 싱가포르는 지금까지 인구의 23.3%가 백신을 한 차례 이상 접종받았다. 아시아 국가 가운데 접종률이 가장 높다.반면 한국과 비슷한 시점에 접종에 돌입한 뉴질랜드의 백신 접종률은 3.6%에 그친다. ‘4월 코로나19 회복력’ 주요국 순위. 그래픽=차준홍 기자 cha.junhong@joongang.co.kr CNN은 ""이 순위에서 싱가포르가 처음으로 1위를 했다""며 ""뉴질랜드와 싱가포르 두 나라 모두엄격한 방역 정책으로 지역 감염자를 거의 완전히 억제했지만,싱가포르는 뉴질랜드에 비해 백신 접종이 앞선다""고 전했다. 호주와 대만 역시 현재 코로나19 통제 상황은 싱가포르와 비슷하지만,백신 접종률이 저조하다. 싱가포르에선 현재 국민이 모더나와 화이자 코로나19 백신 중 하나를 골라 접종받을 수 있다.당국이 지난해 4월부터 전문가단과 정보력을 동원해 부지런히 뛴 결과 백신 조기 확보에 성공했다. 전반적으로 백신 접종이 빠른 나라들의회복력 순위가 상승했다.인구의 62.4%가 백신을 맞은 이스라엘은 지난 3월보다 순위가 한 계단 상승한 4위에 올랐다. 이스라엘은 지난해 11월 21위였으나인구의 절반 이상이 백신을 맞은 지난 3월 5위로 급상승했다.이스라엘은 야외에서 마스크를 벗는 등 일상을 회복했는데,최근 3일 하루 평균 확진자가 52명을 기록했다. 백신 접종률이 각각 43.3%, 50.4%인 미국과 영국의 순위도 가파르게 상승했다.미국은 지난 1월 35위에서 2월 27위로 올라선 뒤 지난 3월 21위에서 4월 17위로상승했다.영국 역시 지난해 11월 27위에서 지난 3월 25위, 4월 18위로 올랐다. 한국의 경우 지난 3월과 같은 6위를 기록했다. 하지만 지난해 11월 순위 4위 보다는두 계단 하락했다. 현재 한국의 백신 접종률은 6.6%(질병관리청 기준)다. 임선영 기자 youngcan@joongang.co.kr 관련기사""이 나라 국민인게 축복"" 5만명이 '노마스크' 콘서트서 놀았다 [영상]韓 구경도 못한 모더나, 36개국 접종…싱가포르 골라 맞는다",1
"서욱 국방부 장관이 30일 육군수도방위사령부 코로나19 예방접종센터를 찾아 백신접종 현장을 참관하고 있다. 국방일보 제공. 연합뉴스 서욱 국방부 장관이 신종 코로나바이러스 감염증(코로나19) 백신 접종 현장 점검을 진행했다. 서 장관은 “개인의 자발적 동의와 안전성 확보가 무엇보다 우선돼야 한다”고 강조했다. 서 장관은 30일 수도방위사령부(수방사) 예방접종센터를 방문해 백신 접종 절차 등을 점검하면서 “소통을 강화해 장병들에게 오해 사는 일이 없도록 하라”고 밝혔다. 서 장관은 “접종 이후 전투휴무 부여 등 장병들의 휴식 여건을 보장하라”며 “건강 상태를 면밀하게 모니터해 필요하면 신속하게 조치할 수 있도록 만전을 기하라”고 당부했다. 예방 접종을 마친 장병들에게는 “자칫 방역에 소홀해지면 재감염되는 상황도 배제할 수 없다”며 “자대 복귀 후에도 방역지침을 철저하게 준수해 달라”고 말했다. 수방사 예방접종센터에서는 수방사와 영내 직할부대 및 국군수송사령부, 국군통신사령부, 1방공여단 장병 등 1000여명을 대상으로 접종을 시행하고 있다. 나운채 기자 na.unchae@joongang.co.kr",1
"문재인 대통령은 30일 오전 9시 서울 종로구 보건소에서 신종 코로나바이러스 감염증(코로나19) 아스트라제네카(AZ) 백신 2차 접종을 받았다. 지난달 23일 같은 곳에서 1차 접종을 한 지 38일 만이다. 문재인 대통령이 30일 오전 서울 종로구보건소에서 아스트라제네카(AZ)사의 신종 코로나바이러스 감염증(코로나19) 백신 2차 접종을 하고 있다. 연합뉴스 문 대통령은 6월 11일 영국에서 열리는 주요 7개국(G7) 정상회의 참석 일정을 고려해 '필수목적 출국을 위한 예방접종 절차'에 따라 지난달 23일 1차 접종을 받았다. 청와대는 문 대통령이 아스트라제네카 백신의 1·2차 접종 간격(11~12주)을 고려해 5월 중순 2차 접종에 나설 예정이었으나, 다음달 21일 한미 정상회담을 위해 미국을 방문하는 일정이 구체화하면서 2차 접종 시기를 앞당겼다고 설명했다. 질병관리청은 긴급 해외출국자에 한해서는 4주 간격으로 1·2차 접종을 하는 것도 허용하고 있다. 이날 접종에는 1차 접종 때에도 함께했던 김정숙 여사와 대통령비서실 직원 등 8명이 동행해 2차 접종을 받았다. 특히 문 대통령의 1차 접종을 담당했던 간호사가 이날 2차 접종도 맡았다고 청와대는 밝혔다. 정혜정 기자 jeong.hyejeong@joongang.co.kr",1
"전용기 더불어민주당 의원. 오종택 기자 신종 코로나바이러스 감염증(코로나19) 백신 접종자에게 의무적으로 ‘유급 휴가’를 주게 하는 내용의 감염병예방법 개정안이 국회 보건복지위원회 심사소위를 통과했다. 전용기 더불어민주당 의원에 따르면 복지위는 지난 27일 제2법안심사소위원회를 열고 개정안을 의결했다. 개정안은 대통령령으로 정한 감염병의 백신을 접종할 경우, 사업주가 이틀간의 유급휴가 비용을 지원해야 한다는 내용을 담고 있다. 학생은 ‘비결석’으로 처리해 불이익을 받지 않도록 했다. 개정안은 이르면 오는 5월 국회 본회의에 통과될 예정이며, 부칙에 따라 법 시행 후 3개월 이후부터 적용된다. 예정대로라면 올 하반기부터는 백신 휴가 사용이 가능하다는 이야기다. 개정안을 발의한 전 의원은 “대기업 노동자나 공무원은 휴가 사용이 가능하지만, 자영업자, 아르바이트생, 프리랜서, 특수고용자 등 법의 적용을 받지 못하는 사각지대에 놓인 분들이 훨씬 많다”며 “백신 휴가 적용이 또 다른 불평등을 야기하지 않도록 보완 방안을 강구해 나가겠다”고 밝혔다. 김은빈 기자 kim.eunbin@joongang.co.kr",0
"[속보] 미국, 아스트라제네카 백신 2000만회분 인도에 지원 미국이 쿼드 동맹국인 인도에 신종 코로나바이러스 감염증(코로나19)을 막기 위한 백신 아스트라제네카 2000만회분을 공급하기로 했다. 미국은 이를 포함해 약 1억 달러(1110억원)에 달하는 긴급 물품을 지원하기로 했다. 백악관은 28일(현지시간) 성명에서 “코로나19가 다시 퍼지면서 어려움을 겪고 있는 인도와의 공고한 우호 관계에 따라 긴급 지원에 나서기로 했다”라며 “수일 내에 인도에 있는 협력 기구에 긴급 물품을 전달할 것”이라고 밝혔다. 이밖에도 지원하는 긴급 물품에는 산소공급장치 등 의료 장비, 의료인을 위한 방역 마스크, 코로나19 진단 키트 등이 포함될 예정이다. 앞서 백악관은 26일 “미국이 6000만 회분의 아스트라제네카 백신을 이용가능할 때 다른 나라에 내놓을 것”이라고 밝혔다. 미국은 아스트라제네카의 코로나19 백신에 대해 아직 사용승인하지 않았다. 미국의 인도에 대한 코로나19 긴급 지원과 관련, 호주·인도·일본과 함께 4개국 비공식 협의체 '쿼드'(Quad)를 구성한 미국이 중국의 세력 확장을 견제하기 위해 인도를 적극적으로 돕는다는 해석도 나오고 있다. 아스트라제네카 백신. 로이터=연합뉴스 이해준 기자 lee.hayjune@joongang.co.kr",0
"모사드 로고. [사진 이스라엘 정부] 지난해 10월 이스라엘에서 나온 보도를 본 중국인들은 깜짝 놀랐다. 이스라엘의 해외 정보·공작기관인 모사드가 중국에서 개발 중이던 코로나19 백신을 비밀리에 자국으로 들여왔다는 내용이었다. 예루살렘 포스트와 채널12 등 현지 언론은 복수의 정부 소식통 확인을 거쳐 이 소식을 전했다. 마스크·진단키트 확보도 일등공신 당시 세계 각국은 백신 개발·선점 경쟁을 치열하게 벌였으며, 정보기관들은 개발 진척 상황에 촉각을 곤두세우고 있었다. 중국은 임상시험 중이었으며 백신을 시중엔 풀지 않았다. 이스라엘도 백신 개발에 나서 임상시험을 앞두고 있었다. 당시 현지 언론들은 코로나19가 시작된 중국에서 개발 중인 백신을 일종의 ‘참조용’으로 가져왔을 것으로 추정했다. 모사드가 이를 입수한 경위는 여전히 베일에 싸여 있다. 중국의 관영 영어신문인 글로벌 타임스는 “이는 중국 소셜네트워크서비스(SNS)에서도 화제”라며 “주중 이스라엘 대사관에 보도 내용의 사실 여부를 문의했더니 ‘본국 정부가 이를 확인해 주지 않는다’고 알려왔다”고 전했다. 예루살렘 포스트는 미국과 중국이 ‘무역전쟁’ 등 신경전을 벌이는 상황에서 이스라엘 정부가 미국과의 관계를 의식해 중국 백신을 구했지만, 참조만 한 것으로 해석했다. 결국 이스라엘 정부는 미국이 개발한 화이자와 모더나의 두 가지 백신을 최종 선택해 조기 확보했다. 현지 언론은 중국 백신 입수 등을 근거로 이스라엘 정부의 백신 조기 확보에도 모사드가 개입했을 것으로 본다. 모사드는 이미 지난해 4월 전 세계에서 마스크 확보 경쟁이 치열했을 때도 나섰다. 이를 국가안보 사안으로 인식하고 대응했다. 뉴욕타임스(NYT)에 따르면 모사드의 요시 코헨 국장은 의료진으로부터 코로나19 사태로 자국에서 부족이 예상되는 의료 장비·물품 목록을 받았고, 조직원들은 마스크 150만 장과 진단키트 수십만 개 등을 해외에서 구해 왔다. 베냐민 네타냐후 총리는 코헨 국장에게 공개적으로 감사를 표시했다. 이스라엘의 한 고위 관리는 매달 2500만 장의 마스크를 공급할 생산라인 설치에도 모사드가 입수한 산업 정보가 기여했다고 밝혔다. NYT는 “모사드가 보이지 않는 적(코로나19)과의 이례적인 전투에서 나라를 구하려고 뛰어든 점은 분명히 기억될 것”이라고 평가했다. 임선영 기자 youngcan@joongang.co.kr",0
"우구르 사힌 독일 바이오엔테크 CEO. [중앙포토] 미국 화이자와 코로나19 백신을 공동 개발한 독일 바이오엔테크의 우구르 사힌 CEO(최고 경영자)가코로나19 백신 생산을 30억회 분까지 확대해 한국 등의 나라가 득을 볼 것이라고 밝혔다. ""생산 목표 13억회분서 30억회분으로 높여"" 3차 접종 후 ""18개월마다 추가 접종"" 전망 유럽 4개월 내 집단면역 전망, 中 7월 승인 사힌 CEO는 28일(현지시간) 독일 외신기자클럽과의 화상 간담회에서""올 초만 해도 코로나19 백신 생산 목표가 13억회 분이었지만, 지금은 30억회 분으로 올렸다""고 밝혔다.이어 ""독일 마부르크 공장 등에서의 생산 확대와 효율화 등으로 한국을 비롯한 다른 국가들이 득을 볼 것""이라면서 ""언제, 얼마의 공급을 늘리느냐는 구체적으로 말할 수 없지만, 생산을 늘리는 만큼 공급도 늘릴 수 있을 것""이라고 설명했다. 화이자 코로나19 백신. [AFP=연합뉴스] 정부는 최근 추가 계약했다고 밝힌 4000만회 분을 포함해 총 6600만회 분의 화이자 백신을 구매한 상태다.이중 지금까지 200만회 분이 들어왔고, 상반기에 총 700만회 분 도입이 계획돼 있다. AP통신 등에 따르면 최근 관심을 받고 있는 부스터 샷(3차 접종)과 관련해 사힌 CEO는 ""2차 접종 후 9∼12개월 사이 3차 접종을 받아야 감염 예방률이 높게 유지될 것""이라고 내다봤다.그러면서 이후에는 아마도 매년 혹은 18개월마다 추가 접종을 받아야 할 것이라고 전망했다.그 이유에 대해서는 ""2차 접종 후 6개월이 지나면 감염 예방률이 91%로 떨어진다""고 설명했다. 화이자 코로나19 백신을 생산 중인 독일 마부르크 공장. [AP=연합뉴스] 또 사힌 CEO는 유럽이 향후 4개월 이내에 집단면역에 도달 할 것으로 전망했다.그는 ""유럽은 오는 7월에서 늦어도 8월엔 집단면역에 도달할 것""이라면서""집단면역 수준에 도달하는 접종률은 여전히 논쟁거리이지만, 전문가들은 70%를 넘으면 집단 내 감염을 크게 감소시킬 것으로 보고 있다""고 말했다. 그는 중국 당국이 7월까지 화이자 백신의 자국 내 사용을 승인할 것으로 내다봤다.""중국 당국과 논의를 진행 중""이라며 ""7월까지 승인은 확실시되는 만큼, 7월부터는 중국에 화이자 백신을 공급할 수 있을 것""이라고 말했다. 임선영 기자 youngcan@joongang.co.kr",0
"현지 언론에 따르면 이스라엘 정보기관 모사드는 이스라엘의 백신 확보에 개입했다. [AP=연합뉴스] 지난해 10월 이스라엘에선 중국인들을 깜짝 놀라게 한 보도가 나왔다.이스라엘 정보기관 모사드(Mossad)가 연구를 위해 중국산 코로나19 백신을 비밀리에 들여왔다는 내용이었다.예루살렘 포스트, 채널12 등 이스라엘 언론은 복수의 정부 소식통도 이 내용을 간접적으로 확인해줬다고 전했다. 당시는 코로나19 백신 등장이 임박해 정보전을 포함한 세계 각국의 백신 선점 경쟁이 치열했을 때였다.이스라엘은 자국에서 개발 중인 백신의 임상시험도 앞두고 있었다.이에 코로나19가 시작된 중국에서 개발한 백신을 일종의 '공부용'으로 가져왔을 것이라고 현지 언론은 추정했다. 모사드가 이를 손에 넣은 방법은 알려지지 않았다. 그렇다고 하더라도 정보기관이 공식 승인을 받기도 전인 백신을 입수한 데 관심이 쏠렸다. 중국 글로벌타임스는 ""이 소식은 중국 소셜미디어(SNS)에서 뜨거운 화제가 되고 있다""며 중국 주재 이스라엘 대사관에 보도 내용의 사실 여부를 알아봤다고 전했다. 하지만 대사관은 이스라엘 정부가 이같은 내용을 확인해주거나 지원·승인해주지 않았다고 밝혔다.그러면서도 ""중국 백신에 대해 모사드가 관심을 갖고 있다는 가정은 중국의 기술적 능력에 대한 칭찬으로받아들여져야 한다. 이스라엘 국민은 모사드가 가장 훌륭한 신개발품에만이런 관심을 보인다고 믿는다""고 달랬다. 요시 코헨 이스라엘 모사드 국장. [AFP=연합뉴스] 이스라엘은 미국의 핵심 우방국 중 하나다. 예루살렘 포스트는 미국과 중국이 '무역 전쟁'등 신경전을 벌이는 상황에서 미국과의 관계를 의식해 중국 백신을 공개적으로들여오지 않은 것이라고 풀이했다. 결국 이스라엘은 화이자와 모더나 두 가지 백신을 최종 선택해 조기 확보에 성공했다. 현지 언론은 중국 백신 일화 등을 근거로 모사드가 이스라엘의 백신 확보에 개입했을 것으로 보고 있다. 이스라엘의 한 보건부 고위 관리는 지난해 10월 예루살렘 포스트에""다른 백신 개발사들과 백신 구매 합의를 하기 위해 노력하고 있다""면서 ""배후에서여러 가지 외교적 노력이 진행되고 있다. 국민이 백신을 가능한 빨리 접종하도록 우리가 할 수 있는 모든 노력을 다 하고 있다""고 말하기도 했다. 다만 모사드가 구체적으로 어떤 일을 했는지에 관해선 이스라엘 정부가 언급을 피했다고 매체는 전했다. 모사드 로고. [중앙포토] 성일광 서강대 유로메나연구소 연구교수(한국이스라엘학회장)는""이스라엘 정부는 백신 조기 확보를 위해 모든 자원을 동원했다""면서 ""기밀 사항일 것이기 때문에 모사드가 구체적으로 백신 확보에 어떻게 관여했는지자세히 알긴 어렵지만, 모사드가 가진 세계 최고 수준의 정보력과 네트워크를 활용해백신 확보를 위해 적극적으로 활동했을 가능성이 높다""고 말했다. 이스라엘은 지난해 4월 세계 각국에서 마스크 확보 경쟁이 치열했을 때도 모사드를 동원했다.코로나19를 국가 안보 문제로 보고 대응했기 때문이다.뉴욕타임스(NYT)에 따르면 요시 코헨 모사드 국장은 의료진으로부터 코로나19 사태로 이스라엘에서 부족이 예상되는 의료 장비 목록을 전달받았다. 코헨 국장의 지휘 하에 모사드는 마스크 150만개와 코로나19 진단 키트 수십만개 등을 들여왔다.이스라엘의 한 고위 관리는 모사드가 외국에서 확보한 전문 과학 기술이이스라엘이 한 달 동안 마스크 2500만개를 만드는 생산 라인을 세우는 데 기여했다고 전했다.베냐민 네타냐후 총리는 코헨 국장에게 공개적으로 고마움을 표현하기도 했다. NYT는 ""모사드가 보이지 않는 적(코로나19)과의 이례적인 전투에서 나라를 구하려고 뛰어든 점은 분명히 기억될 것""이라고 평가했다. 임선영 기자 youngcan@joongang.co.kr 관련기사전쟁 같은 속도로 英 제쳤다, 인구 대비 백신접종률 1위 어디?[단독]""통증 빼곤 괜찮았다"" 이스라엘 교민 가족의 백신 접종기이제 해외관광객도 받는 이스라엘···학교선 거리두기도 안 한다",0
"아스트라제네카(AZ) 백신. 연합뉴스 “1차 접종 때 너무 고생했는데 희귀혈전 사례를 접하니까 2차 접종을 하고 싶지 않다. 화이자가 많이 들어온다는데 이대로 버티다가 화이자나 다른 백신을 맞고 싶다는 생각이 크다.” 오는 6월 신종 코로나바이러스 감염증(코로나19) 백신 2차 접종을 앞둔 간호사 강모(35)씨가 한 말이다. 경기도의 한 병원에서 일하는 강씨는 지난 3월 아스트라제네카(AZ) 백신을 맞았다. 접종 뒤 이틀 동안 39도가 넘는 고열과 근육통에 시달린 강씨는 최근 AZ 백신과 희귀혈전의 부작용의 인과성이 인정됐다는 결과를 듣고 불안감이 커졌다고 말했다. 그는 “20대는 접종을 제한했는데 몇살 차이가 안 나니까 불안하다. (희귀 혈전 발생) 확률이 낮다고 해도 그게 내가 될지 어떻게 아냐”고 말했다. 경기도의 한 어린이집에서 보육교사로 일하고 있는 이모(41)씨도 마찬가지였다. 5월 AZ 접종 대상자인 이씨는 “AZ 백신과 관련된 논란이 많아서 동료들과도 서로 찝찝하다고 이야기를 한다”고 말했다. 그는 “한 어린이집에서 백신을 안 맞은 교사를 해고했다고 해서 보육 교사 커뮤니티가 발칵 뒤집힌 적이 있다. 할 수 없이 접종에 동의하긴 했는데 그냥 맞지 말아야 할까 싶다”고 토로했다. 2분기 접종 앞두고 AZ 기피 움직임 19일 오후 서울 강서구 부민병원에서 아스트라제네카 백신을 접종한 항공업계 승무원들이 이상반응 여부를 관찰하고 있다. 뉴스1 최근 젊은층이 포함된 2분기 접종이 본격화되면서 AZ 백신 접종을 두려워하는 목소리가 나오고 있다. 혈전 우려가 가장 큰 요인이다. 유럽 대부분의 나라가 AZ 접종 대상을 55~60세 이상으로 제한했다. 희귀 혈전이 발생한 이들 대부분이 젊은층이라서다. 지난 23일 유럽의약품청(EMA)은 감염률 낮은 국가에선 60대 미만의 AZ접종이 득보다 실이 많다는 분석을 내놨다. 여기에 정부가 화이자 4000만 회분을 추가 계약하면서 백신 물량에 여유가 생기면서 30~40대 접종 대상자를 중심으로 AZ 접종을 기피하는 움직임도 나오고 있다. 실제 27일 질병관리청이 발표한 ‘2분기 접종대상별 예방접종 현황’에 따르면 소방ㆍ경찰 등 사회필수인력의 접종 예약률은 65%다. 보건의료인의 경우 31만명 중 56%가 백신 접종을 예약했다. 방역당국은 접종이 이어지면서 예약이 늘어날 것으로 내다보고 있지만 1분기 요양병원과 요양시설 65세 미만 대상자의 90% 이상이 접종에 동의한 것과 비교하면 아직 낮은 수치다. 심리적 영향으로 접종 후 과호흡…백신 선택권? 일별 누적 백신 접종 인원. 그래픽=김은교 kim.eungyo@joongang.co.kr 강원도의 한 병원에서 간호사로 일하고 있는 김모(36)씨는 심리적 영향으로 접종 후 이상반응을 보이는 사례도 있었다고 전했다. 김씨는 “병원에서 이상반응 모니터링 업무를 맡고 있는데 AZ 백신에 대한 심리적 공포감이 크다 보니 백신 접종 후 과호흡이 오는 경우도 봤다”고 전했다. 김씨는 “젊은 여성 동료들은 AZ 2차를 접종을 해야 하는지 고민된다고 한다”며 “한두명이 아니다”라고 덧붙였다. 이에 일각에선 개인에게 백신 선택권을 줘야 한다는 주장도 나온다. 다만 이날 중앙방역대책본부(방대본) 브리핑에 나선 정은경 질병관리청장은 백신 종류가 다양해지는 3분기에도 선택권을 부여하기는 어렵다고 선을 그었다. 정 청장은 “백신 종류와 접종기관, 그리고 그 특성에 맞는 가장 적절한 대상자를 매칭해서 안내하겠다”며 “백신이 다양해진다는 의미이지, 선택권을 드릴 수 있다는 의미는 아니다”라고 설명했다. 천은미 이대목동병원 호흡기 내과 교수는 “이번 화이자 백신 추가 계약에 성공하면서 AZ 백신을 대체할 물량이 생겼다. 젊은 층에게는 AZ 대신 다른 백신을 맞추는 등 접종 계획을 조절할 필요가 있다”고 말했다.다만 정재훈 가천대 의대 예방의학과 교수는 “2분기 접종대상자의 경우 사회필수인력이라 접종을 유도하는 게 우선이다”라고 주장했다. 정 교수는 “나라별로 희귀혈전 발생률이 다 다르다. 유럽이 높게 나온 것에 비해 한국에선 200만 회분 가까이 접종했는데 아직 한 건도 나오지 않았다”며 “최선을 다해 수용성을 높이도록 노력한 다음 정 안되면 3분기 수용성이 높은 다른 백신을 고려해 볼 필요가 있다”고 말했다. 이우림 기자 yi.woolim@joongang.co.kr",0
"지난달 12일 화상으로 진행된 Quad 정상회담. 왼쪽이 바이든. 화면 가운데가 모디 인도총리.허술해 보이지만 바이든 시대 세계를 움직이는 중국봉쇄연합이다. 연합뉴스 중국봉쇄 위한 Quad 멤버인 인도와 일본..미국의 백신지원 받기로바이든, 자국 백신확보 끝나자..'인도주의'말하면서 동맹부터 지원 1.인도 모디 총리가 26일 오전 미국 바이든 대통령과 전화통화로 ‘코로나 백신 지원’약속을 받아냈습니다. 백신생산에 꼭 필요한 원료와 생산부자재 및 기술지원을 하기로 했습니다. 곧이어 백악관은 ‘ AZ(아스트라제네카)백신 6천만회 분량을 외국에 지원하겠다’고 밝혔습니다. 당연히 상당량이 인도로 갈 가능성이 높은 것으로 점쳐지고 있습니다. 2.인도 상황은 참혹합니다. 매일 세계기록을 깨고 있습니다. 하루 30만명 이상이 확진되고, 3천명이 사망합니다. 전문가들은 실제로 이보다 훨씬 심각할 것으로 추정합니다. 인도인들이 코로나로 숨진 사실을 감추고 있으니까요. 주변의 경계와 정부의 통제를 피하기위해.. 인도가 최악 국면을 맞은 이유는 올해초 방역지침을 대폭 완화한 탓이 큽니다. 지난해까지 비교적 방역에 성공적이라 방심했습니다. 코로나가 급확산하면서 두가지 악성이 겹친 ‘이중 변이(double mutant)’바이러스까지 등장했습니다. 3.심각하다고 미국이 도와주는 건 아닐 겁니다. 브라질이나 터키도 심각하지만 별 반응이 없습니다. 미국이 반응한 건 인도가 Quad멤버이기 때문일 겁니다. 바이든의 중국봉쇄전략에 동참하는 핵심 3개국(인도 일본 호주). 코로나가 폭증하면서 인도에선 ‘어려울 때 돕는 게 동맹인데 미국은 뭐냐’는 비난이 일었습니다. 얼마전까지만 해도 인도의 원료공급 기술공유 요청에 미국이 냉담했습니다. 4.이때 작동한 것이 외교안보라인이었습니다. 지난달 Quad 정상회담에선 ‘공평한 코로나 백신공급에 협력한다’는 목적의 조직(Quad Vaccine Initiative)까지 만들었습니다. 바로 그 채널입니다. 미국 블링컨 국무장관이 정상간 통화 하루 전‘우리의 마음은 이미 인도인들에게 가 있다’고 트윗을 날렸습니다. 그러자 다음날 중국 외교부 대변인이 ‘우리는 인도를 도울 준비가 다 되어있다’고 말했습니다. 백신외교입니다. 5.바이든 대통령은 대선후보 시절 트럼프 대통령의 ‘백신 고립주의’(백신관련 기술독점)을 비난했습니다. 당선되자 달라졌습니다. ‘다른 나라를 돕겠다. 하지만 모든 미국인이 백신을 맞은 다음에’라고.. 트럼프와 다를 바 없는 ‘America First’백신민족주의입니다. 그래서 미국은 이번에 인도를 지원하면서도 참상을 위로하는‘인도주의’차원이라고 애써 강조합니다. 그럼 정상회담차 미국에 온 일본 스가 총리에게 화이자백신 5천만회분을 지원한 것도 인도주의인가요. 6.사실 미국은 이미 백신을 모두 확보했습니다. 18세 이상 인구의 53.9%가 백신을 맞았습니다. 확보한 백신이 모두 6억회분이랍니다. 전국민 3차 확인접종(Booster Shot)까지 가능합니다. AZ는 혈전부작용 논란이 생기면서 쌓아놓고 사용하지도 않았습니다. 이정도 되니까 바이든이 ‘인도주의’를 되찾은 겁니다. 맨 먼저 캐나다와 멕시코에 AZ백신 4백만회분을 지원한다고 발표했습니다. 사실상 미국 주변 방역인 셈이죠. 7.바이든의 인도주의 복귀를 재촉한 국제사회 여론도 한 몫 했습니다. 노벨상 수상자와 각국 정상출신 유명인 175명이 지난 15일 ‘백신관련 기술특허 공유’를 촉구하는 편지를 바이든에게 보냈습니다. 인도주의 의사회 등 NGO도, 미국 상원의원 10명과 하원의원 100명도 같은 취지의 입장을 밝혔습니다. 백신관련 특허를 모두 사용할 수 있도록 공개해 각국에서 백신을 생산해야 극복이 가능하다는 겁니다. 8.이에 대한 반론도 미국내에선 만만찮습니다. 백신을 만들어낸 제약사 입장에서 이런 주장은 명백한 특허침해이자 R&D;방해입니다. 백신으로 돈 많이 번다는 차원을 넘어..미국 정부입장에서도 중국이나 러시아로의 바이오첨단기술 유출은 꺼려질 겁니다. 그럼에도 불구하고 미국이 충분한 백신을 확보하고 순탄한 접종이 이뤄지는 상황에서 이런 주장은‘인도주의’에 어긋나는 자사이기주의, 백신민족주의로 비난 받을 겁니다. 시간이 갈수록 미국이 보다 적극적으로 기술과 원료공급에 나설 가능성이 높아지겠죠. 9.백신 스와프를 제안했다 퇴짜맞은 한국이 이런 백신전쟁의 와중에 배워야할 점은 명확합니다. -세계 백신생산을 좌우하는 기술과 원료는 여전히 미국이 장악하고 있다. -따라서 미국과 동맹관계를 잘 관리하고 적극 활용해야 한다. -인도처럼 되지 않으려면 끝까지 방역을 소홀히하면 안된다. 〈칼럼니스트〉 2021.04.27.",0
