t_content,title,reporter,info
"이낙연 더불어민주당 상임선거대책위원장이 4·7 재·보궐선거를 하루 앞두고 ‘2002년 대선’을 언급하며 의원들에게 투표참여를 독려해달라고 말했다.이 위원장은 6일 화상으로 진행된 의원총회에서 “우리가 한 표 차로 이긴다면 여러분 덕분이라는 생각을 가질 수 있도록 주위에 투표 참여를 독려해달라”며 2002년 대선 때의 이야기를 꺼냈다.이 위원장은 “당시 저는 대변인으로 투표 당일에도 중앙당을 지켜야 할 처지였다”며 “제 주민등록은 지역구인 전남 영광에 돼 있었다”고 말했다. 이 위원장은 “투표 당일 어떻게 할까 고민했다. 다녀오려면 반나절 이상이 필요했다”며 “그 때 고민했던 것은 ‘ 한 표 차로 진다면 내가 고향에 가지 않은 것 때문일 것 같다’는 점이었다”고도 말했다.이 위원장은 “그래서 중앙당을 비워두고, 비행기 타고, 승용차 갈아타고 투표했다. 투표하자마자 다시 돌아와 투표 마감시간에 중앙당에 정위치했다”며 “돌아오면서 ‘한 표차로 이긴다면 내 덕분이라고 생각할 수 있겠구나’라는 마음을 가졌던 기억이 난다”고 말했다. 이 위원장은 “왜 그 때가 생각나는지 다들 아실 것이다. 오늘밤, 내일 투표 끝날 때까지 최선을 다하자”며 “내일 선거가 지나고 나더라도 의원들끼리 서로에게 감사하는 마음을 가졌으면 한다”고 말했다.",재·보선 하루 앞두고 이낙연이 떠올린 ‘2002 대선의 추억’,윤승민 기자 mean@kyunghyang.com,0.6665840878045451
"이낙연 더불어민주당 상임선거대책위원장은 6일 4·7 재·보궐 선거 결과와 관련해 “김종인 위원장님이 5~7% 차이를 말씀하신 것을 주목해야 한다”고 말하며 박빙 승부를 예상했다.이 위원장은 이날 CBS 라디오 <김현정의 뉴스쇼>에 출연해 선거 결과 예상을 묻는 질문에 “여론조사는 20% 정도의 차이가 있었는데 김 위원장님은 5 내지 7%를 말씀했다”며 “보통은 정치인들은 유리한 여론조사 결과는 그대로 얘기하는데 역시 경륜이 있으신 분이라 그렇게 말씀하신 것 같다”고 말했다. 본격적인 선거 기간 전 김 위원장이 선거 판세를 예상했던 것을 인용해 ‘박빙 승부’로 결론이 날 것이라고 밝힌 것이다.그러면서 이 위원장은 “3% 내외의 박빙 승부, 그것을 꽤 오래 전부터 예측을 했다”며 “말하지 않던 우리 지지자들이 말하기 시작했다. 표현하기 시작했다”고 말했다. 이른바 ‘샤이 진보’라는 숨은 표심이 발동하고 있다고 분석한 것이다.이 위원장은 4·7 재보선과 관련한 언론 보도들에 대해선 “지나치다”면서 “이번 선거에 대한 언론의 보도 태도도 한번은 검증 대상이 될 것”이라고 지적하기도 했다. 국민의힘 오세훈 서울시장 후보의 내곡동 처가 땅 셀프보상 의혹에 대해 언론이 제대로 짚어주지 않는다는 불만을 드러낸 것이다.이 위원장은 이른바 ‘생태탕 논쟁’이 정책 이슈를 덮어버렸다는 지적에 대해선 “언론들이 정책 이야기를 많이 보도해달라”며 “내곡동 이야기가 중요한데 이걸 너무 쉽게 생각하는 것 같다”고 말했다.또 이 위원장은 부동산 정책 보완과 관련해 “부동산 시장 안정을 해치는 정책은 지극히 신중해야 한다”며 2·4 공급대책을 일관되게 추진해야 한다는 입장도 밝혔다. 이어 “2·4 대책에 더 얹을 수 있다면 청년층 등 생애 최초 주택 구입자의 경우 금융규제를 획기적으로 완화할 수 있다”고 했다.박영선 후보가 공약한 토지임대부 방식의 반값아파트에 대해서도 “적극적으로 검토해 도입할 필요가 있다”고 했다. 박 후보의 ‘공시지가 인상률 10% 상한’ 공약에 대해선 “구체적인 협의는 없었지만, 기왕 후보가 말했으니 협의를 해야 한다”고 말했다.야권의 유력 대권주자로 떠오른 윤석열 전 검찰총장에 대해선 “아직은 별로 드러내는 것이 많지는 않지만, 언젠가는 드러날 것”이라며 “국민의 차분한 검증을 거쳐야 한다”고 말했다.",이낙연 “김종인 위원장님 말씀 주목해야···”? ‘박빙 승부’ 예상,박홍두 기자 phd@kyunghyang.com,0.36629948219641456
"사전투표율·여론 동향 놓고여야, 제각각 자기식 해석4·7 재·보궐 선거를 이틀 앞둔 5일 여야는 여론 추이를 놓고 제각각 다른 해석을 하며 맞붙었다. 더불어민주당은 “박빙 승부가 펼쳐지고 있다”고 한 반면, 국민의힘은 “변수는 없다”며 승리를 자신했다.역대 재·보선 최고치를 기록한 사전투표율과 여론 동향을 놓고 여야의 해석은 이날도 엇갈렸다.서울·부산 시장 선거에서 여론조사 공표금지 기간 전까지 ‘열세’를 보였던 민주당은 높은 사전투표율이 ‘지지층 결집’의 결과라고 재차 강조하며 박빙 승부를 예고했다. 이낙연 상임선거대책위원장은 국회 중앙선대위 회의에서 “승부는 투표가 끝나는 순간에 판가름날 것”이라며 “한 표 한 표가 더 절실해졌다”고 말했다. 최인호 수석대변인도 “후보 검증이 본격화되면서 중도성향의 민주당 지지자들이 박영선, 김영춘 후보(지지)로 회귀하고 있다”며 “결국은 피 말리는 ‘1% 싸움’으로 갈 것”이라고 말했다.박영선 서울시장 후보는 이날도 강서·금천·관악·동작·영등포 등 전통적으로 민주당 지지세가 강한 지역을 주로 찾으며 지지층을 최대한 결집하는 데 주력했다.반면 국민의힘은 사전투표 이후 서울·부산 모두에서 승기를 잡았다며 유권자들을 향해 ‘대세론’을 부각하고 나섰다. 김종인 비상대책위원장은 국회에서 기자들과 만나 “이번 사전투표율이 과거보다 높은 것은 정부에 대한 분노의 표시”라며 “남은 이틀간 특별한 변수는 있을 수 없다”고 말했다. 김 위원장은 또 “여당은 네거티브 전략만 쓰는데, 유권자가 그런 것에 속을 정도로 바보가 아니다”라고 강조했다.국민의힘은 민주당의 각종 의혹 제기를 ‘네거티브’로 치부하면서 전통적 지지층인 중·장년층 표심에 호소하는 전략에 집중하고 나섰다. 오세훈 서울시장 후보는 양천·송파·강동구 등 박 후보에 비해 상대적으로 강한 한강 이남을 중심으로 유세를 벌였다.",이낙연 “박빙 승부” 김종인 “변수는 없다”,박홍두,0.44914246769803867
"이낙연 더불어민주당 상임선거대책위원장이 5일 “높은 사전투표율과 유세 호응에서 서울·부산 선거가 박빙의 승부로 가고 있다고 직감했다”고 밝혔다. 국민의힘에 비해 민주당이 크게 뒤지고 있는 여론조사가 나온 상황에서 ‘팽팽한 승부’를 강조해 지지층 결집을 꾀하려는 발언으로 풀이된다.이 위원장은 이날 국회에서 열린 민주당 중앙선거대책위 회의에서 “당원, 지지자 여러분이 투표장에 한 분이라도 더 모시도록 끝까지 노력해달라”며 이 같이 말했다.이 위원장은 집값 폭등·한국토지주택공사(LH) 사태 등으로 가열된 ‘부동산 민심’을 향해 “부동산 문제를 바람직하게 해결할 수 있는 정책 기조를 가진 정당이 민주당”이라고 말했다. 그는 이어 “야당 서울시장 후보가 내놓은 공약들은 투기 광풍을 다시 몰고 올 우려가 너무나 농후하다”고 밝혔다. 오세훈 국민의힘 서울시장 후보의 신속한 재개발·재건축을 공약을 견제한 것이다.이 위원장은 이어 “민주당은 서민·중산층을 돕고 사회적 약자를 먼저 생각하는 정당이다. 잘못도 있지만 그래도 스스로 그것을 드러내고 고치는 정당은 민주당뿐”이라며 “민주당 정부의 공과를 정당하게 평가해달라”고 호소했다.이 위원장은 또 오 후보의 ‘내곡동 땅 셀프 특혜’ 의혹에 대해 “결정적 증언이 또 나왔다”며 “(오 후보의)기억이 없다면, 다른 사람의 기억도 존중해주시면 되고 그앞에서 겸손하면 된다”고 말했다. 앞서 오 후보가 보금자리주택지구 지정 이전에 측량 현장에 있었다는 증언이 재차 나온 바 있다.",이낙연 “박빙의 승부로 가고 있다”···지지층 결집 유도,곽희양 기자 huiyang@kyunghyang.com,0.5572007507587842
"더불어민주당의 4·7 서울시장 보궐선거를 진두지휘하는 이낙연 상임선대위원장의 현장유세에서는 ‘오세훈’이라는 이름 석자를 들을 수 없다. 오세훈 국민의힘 서울시장 후보의 각종 언행을 비판할 때 오 후보를 지칭하는 말은 “어떤 양반” “어떤 사람” 등과 같은 ‘3인칭 표현’ 뿐이다. 이 위원장이 ‘오세훈을 오세훈으로 부르지 않는’ 이유는 무엇일까.이 위원장은 박영선 민주당 서울시장 후보의 당선을 위해 밤낮으로 서울 곳곳에서 유세차에 오르고 있다. 박 후보의 이력과 업적, 능력을 강조하며 오 후보의 자질과 각종 논란을 문제삼는 것이 이 위원장 현장 연설의 ‘공식’이다.이 위원장의 오 후보 비판은 ‘내곡동 땅 논란’과 ‘무상급식 반대 논란’, ‘정권심판만 강조하며 일 못할 시장’이라는 내용에 초점이 맞춰져있다. 누가 봐도 오 후보와 관련된 내용이지만 이 위원장은 ‘오세훈’이라는 이름 석자는 연설문에서 지웠다.대신 오 후보를 가리키는 표현은 주로 “양반”이다.“이 시기에 부동산이 의심스러운 양반, 그리고 날마다 거짓말을 계속하다보니 자기도 어디로 가고 있는지 모를 정도가 되어버린 이런 양반. 미안하지만 지도자로서는 흠이 너무 크다고 생각한다”(지난달 31일 광진구 현장연설), “지도자가 되겠다는 양반이 부잣집 아이들은 ‘자제분’, 가난한 집 아이들은 ‘아이들’이라고 부르는 것은 어디서 나온 건가. 이렇게 뭔가 차별적인 생각을 자기도 모르게 갖고 있는 양반은 곤란하다”(지난달 31일 구로구 현장연설) 등 발언이 대표적이다.“어떤 사람은 당신이 시장하던 시절로 돌아가야겠다고 한다. 미안하지만 가려면 혼자 가십시오. 그때가 10년 전인데 그때로 돌아가서 뭐 어떻게 하자는 건가. 초등학생 급식 다시 빼앗자는 건가”(지난달 31일 강서구 현장연설)처럼 오 후보를 종종 “사람” “당신”으로 지칭하기도 했다.이러한 ‘3인칭’ 표현 방식은 이 위원장 특유의 화법이라는 것이 당 관계자들의 전언이다. 이른바 ‘좋은 얘기’를 할 때는 해당 인물의 이름을 하나하나 기억해서 부르지만, 누군가를 비판하는 등의 ‘안 좋은 얘기’를 꺼낼 때에는 실명을 언급하지 않는다는 설명이다. 이 위원장이 “제가 남 흉보는 것을 좋아하는 사람이 아니다. 우리 지지자들이 시원시원하게 야단 좀 치라고 하는데 잘 안된다”(지난달 30일 성북구 현장연설)라고 말한 것도 이러한 맥락으로 해석된다.이 위원장 측은 확대 해석에 선을 긋지만 현재 여당에 ‘열세’인 선거 판세를 감안할 때 이러한 화법에는 정치적 의미도 담겼다는 해석이 나온다. 오 후보를 비판하되 지지율 선두를 달리는 ‘오세훈’이라는 이름이 유권자들에게 각인되지 않게 하려는 모습으로 보인다.반면 ‘박영선’이라는 이름을 부각하며 오 후보와 차별화를 시도하고 있다. “제가 어떤 양반 얘기 자세히 안하겠다. 이 말씀은 분명히 드린다. 박영선은 내곡동 땅 없다”(지난달 30일 동대문구 현장연설), “어떤 양반은 초등학생도 밥 주지 말자 그러는데, 우리 박영선씨는 그러지 말고 유치원부터 밥 좀 주자 이렇게 하고 있다”(지난달 31일 구로구 현장연설) 등이다.내년 대통령 선거에 출마하려는 이 위원장에게 4월 서울시장 보궐선거는 중대한 ‘변곡점’으로 평가된다. 지난해 민주당이 당헌을 바꾸면서까지 서울·부산시장 후보를 내기로 결정한 것은 당시 당 대표였던 이 위원장의 ‘정치적 결단’이었다. 결국 선거 결과가 이 위원장의 성과 또는 책임과 연결되며 지지율이 상승하거나 하락할 수 있다는 의미다. 당내에서는 보궐선거 승리의 마지노선으로 ‘최소 서울시장 확보’를 꼽는 목소리가 다수다. 그만큼 이 위원장에게 ‘박영선 후보 당선’이 절박할 수밖에 없다.",오세훈을 오세훈이라 안부르는 이낙연···오직 “이런 양반” “어떤 사람” 왜?,박광연 기자 lightyear@kyunghyang.com,0.29082865957680043
"김종인 국민의힘 비상대책위원장이 전날 이낙연 더불어민주당 공동 상임위원장이 부동산 문제에 대해 “후회된다”며 대국민사과한 것에 대해 “정치에서 후회라는 것은 끝을 의미한다”고 쏘아붙였다.김 위원장은 1일 중앙선대위회의에서 “여당 선대위원장이 부동산 정책이 여당 실패라고 자인을 하고 후회하는 듯한 모습을 보였다”며 이같이 말했다. 김 위원장은 “왜 정부가 솔직하게 부동산 정책 실패를 자인하지 않고 선거 앞두고 그거 체면치례로 실패 자인하는 행위는 국민이 납득할 수 없다”고 덧붙였다. 그는 이어 “정부는 보다 근본적으로 부동산 정책을 앞으로 어떻게 실시하겠다는 대책을 마련해서 제시해야한다”면서 “모든 공무원을 마치 부동산 투기 범죄자처럼 다루는 어리석은 일은 삼가주시기 바란다”고 말했다.김 위원장은 김상조 전 청와대 정책실장에 이어 전날 박주민 민주당 의원의 월세 인상 논란이 불거지자 “대한민국 정책을 총괄한다고 하는 정책실장이 본인이 아는 정보를 갖다가지고서 본인 스스로 위법 자행하는 사태가 벌어졌고, 소위 부동산3법을 발의했다는 의원 역시 같은 행위를 저질렀다”며 “이러니 국민이 분노하지 않을 수 없다”고 비판했다.","김종인, 부동산 문제에 ‘후회한다’ 이낙연 향해 “후회는 끝”",심진용 기자 sim@kyunghyang.com,0.24822471415282052
"이낙연 더불어민주당 상임선거대책위원장은 1일 윤석열 전 검찰총장의 대선 출마 여부 등과 관련해 “그렇게 순탄한 길만도 아닐 것”이라고 평가했다.이 위원장은 이날 KBS 라디오 <최경영의 최강시사> 인터뷰에서 윤 전 총장의 대선 출마 가능성과 관련해 “본인이 결정할 일이지만, 최근 행보를 보면 이미 어떤 길에 들어선 것 같다”며 이같이 말했다.이 위원장은 “그 길이 생각하는 것처럼 단순하고 쉽지 않을 것이다. 너무 쉽게 생각하지 말라는 이야기”라고 견제구를 날렸다.윤 전 총장이 최근 한 언론에 이번 4·7 재보궐선거의 의미를 “상식과 정의를 되찾는 반격의 출발점”이라고 표현한 것과 관련해선 “김학의 전 법무차관의 성비위 문제를 유야무야한 검찰을 지휘한 장본인이 할 말인가”라고 반박했다.이 위원장은 자신의 대선 출마 계획에 대해서는 “아직은 제가 그것을 밝힌 적은 없다”고 말했다. 그러면서도 “재·보궐 선거가 끝나면 여러 논의가 분출할 가능성이 있다. 함께 지혜를 모아가겠다”고 했다.이 위원장은 오세훈 국민의힘 서울시장 후보가 전날 ‘용산참사의 본질은 임차인들의 폭력적 저항’이라고 한 데 대해선 “믿기지 않는 반응”이라고 비판했다.이 위원장은 “한겨울에 삶의 터전을 잃은 분들을 강제로 쫓아내는 과정에서 그런 일이 생겼다. 목숨을 잃은 분들이 여섯 분이나 되고 다친 분이 스무 분 이상이다. 그분들에 대한 안타까움이나 미안함이 선행되는 것이 공직자들의 일반적인 마음이 아닐까”라고 지적했다.","이낙연, ‘윤석열 대선 출마’ 관해 “그렇게 순탄한 길만도 아닐 겁니다”",박홍두 기자 phd@kyunghyang.com,0.6964795136063913
"이낙연 더불어민주당 상임선거대책위원장이 31일 “성실하게 살아오신 많은 국민들께서 깊은 절망과 크나큰 상처를 안게 됐다”며 현 정부의 부동산 정책에 대해 재차 사과했다. 그러면서 생애 처음으로 주택을 구하려는 청년층 등을 대상으로 “내 집 마련 국가책임제를 도입하겠다”고 제안했다. 4월 서울·부산시장 보궐선거를 앞두고 성난 부동산 민심에 바짝 엎드리는 동시에 ‘새로운 대안’을 제시하며 여권의 반등을 꾀하려는 움직임으로 풀이된다.이 상임선대위원장은 이날 국회에서 가진 기자회견에서 현 정부 부동산 정책에 대한 ‘반성’을 쏟아냈다. 이 상임선대위원장은 “국민 여러분께 간절한 사죄의 말씀을 드리고자 이 자리에 섰다”며 “한국토지주택공사(LH) 사태에 대해 국민 여러분이 느끼는 분노와 실망이 얼마나 크고 깊은지 잘 안다. 국민 여러분 분노가 LH 사태 때문만은 아니라는 것도 잘 안다”고 말했다.이 상임선대위원장은 “청년과 서민들은 저축으로 내 집을 가지려는 꿈을 거의 포기하고 있다”며 “주거 문제를 온전히 살피지 못한 정부 여당의 책임이 크다”고 말했다. 그러면서 “정부 여당은 주거의 현실을 제대로 보지 못했고, 정책을 세밀히 만들지 못했다”며 “무한책임을 느끼며 사죄드린다”고 말했다.이 상임선대위원장은 부동산 투기 근절을 위한 당·정의 의지를 언급하면서 “근본적 주거복지정책이 될 수는 없다”고 강조했다. 그러면서 “오늘 저는 치매나 돌봄처럼 주거도 국가가 책임지는 ‘내 집 마련 국가책임제’ 도입을 제안한다”고 말했다.이 상임선대위원장은 이에 대해 “처음으로 집을 장만하는 분께는 금융규제를 대폭 완화하고, 그 처지에 따른 맞춤형 지원을 크게 확대하겠다”고 설명했다. 또한 “주택청약에서도 우대하는 방안을 추진하겠다”며 “특히 청년과 신혼세대가 안심대출을 받아 내 집을 장만하고 그 빚을 갚는데 어려움이 없도록 ‘50년 만기 모기지 대출 국가보증제’를 추진하겠다”고 강조했다.이 상임선대위원장은 “현재 3·4인 가구를 중심으로 하는 주택공급제도를 보완해 1인 가구용 소형주택의 공급을 확대하겠다”고도 말했다. 그러면서 “월급의 대부분을 방 한 칸 월세로 내며 눈물짓는 청년이 없도록 국가가 돕겠다”며 “객실, 쪽방, 고시원에 살며 어려움을 겪는 청년들의 월세를 지원하겠다”고도 말했다.주거복지 정책을 총괄하는 중앙행정기관 ‘주택부’ 신설을 거듭 제안했다. 이 상임선대위원장은 “과거 정부처럼 부동산 정책을 경기대응 수단 등으로 삼지 않고, 부동산 시장 안정과 부동산 자산 불평등 완화를 위해 부동산 정책을 활용할 필요가 있다”며 “그런 필요에 부응하면서 특히 국민의 주거복지를 실현하도록 더 주도적이고 더 독립적인 역할을 담당하려면 주택부 신설이 효과적”이라고 말했다.이 상임선대위원장은 그러면서 민주당 지지를 호소했다. 그는 “여러분의 화가 풀릴 때까지 저희는 반성하고 혁신하겠다”며 “국민 여러분과 함께 촛불을 들었던 그때의 그 간절한 초심으로 저희들이 돌아가겠다”고 말했다. “저희들의 부족함을 꾸짖으시되 지금의 아픔을 전화위복으로 만들려는 저희들의 혁신노력마저 버리지는 말아 주시기를 간절히 호소드린다”고 덧붙였다.",이낙연 “화 풀릴 때까지 반성···내 집 마련 국가가 책임지겠다”,박광연 기자 lightyear@kyunghyang.com,0.7480886978734672
"이낙연 더불어민주당 상임선거대책위원장은 30일 여야 대선 주자 후보 지지율 1위를 기록하고 있는 윤석열 전 검찰총장과 관련해 “중간중간 누군가 계산한 듯한 행보를 한다는 인상을 갖고 있다”고 말했다.이 위원장은 YTN 라디오 <황보선의 출발 새아침> 인터뷰에서 “어제도 한 말씀을 했던데, 그런 식으로 누군가의 기획이 있는 것 같다”며 이같이 말했다.앞서 윤 전 총장은 전날 조선일보 인터뷰를 통해 오는 4·7 서울·부산시장 보궐선거에 대해 “상식과 정의를 되찾는 반격의 출발점”이라고 말했다.이 위원장은 윤 전 총장의 대선 출마 전망에 대해 “어디까지 갈지는 모르지만, 그 길에 들어섰다고 보는 게 상식일 것”이라고 말했다.추미애 전 법무부 장관이 윤 전 총장의 지지율에 대해 ‘윤두사미(윤석열과 용두사미를 조합한 말)’라며 오래가지 못할 것이라고 주장한 것과 관련해선 “글쎄, 가봐야 알 것”이라고 평가했다.또 이 위원장은 지난해 ‘임대차 3법’ 시행 이틀 전 자신이 소유한 아파트의 전세보증금을 14% 올린 사실이 뒤늦게 드러나 경질된 김상조 전 청와대 정책실장에 대해선 “경질은 불가피했다고 본다. 면목 없는 일”이라고 말했다. 이어 “그 자리에서 그 일을 해오신 분이 그런 일이 있었다고 하는 것은 부끄러운 일”이라고 지적했다.다만 국민의힘에서 김 전 실장 경질을 두고 ‘꼬리자르기’라고 비판한 것에 대해선 “정책실장이 꼬리면 어떻게 하란 이야기인가. 말을 함부로 한다”고 반박했다.이 위원장은 일부 민주당 의원들이 임대차3법 시행을 앞두고 전세보증금을 인상한 것으로 알려진 것과 관련해 “당에서 진상을 알아보고 있을 것”이라며 “윤리감찰단 등 어떤 조치가 있어야 할 것으로 보인다”고 답했다.","이낙연 “윤석열, 누군가 계산한 듯한 행보가···”",박홍두 기자 phd@kyunghyang.com,0.4067840795006222
"이낙연 더불어민주당 상임선거대책위원장은 29일 여야가 상대 후보를 향한 네거티브 선거전을 하고 있다는 비판과 관련해 “선거에서 상대 후보에 대한 합리적 문제제기와 정당한 비판은 정치집단의 의무”라며 “그것을 네거티브로 규정하는 것 자체가 네거티브”라고 반박했다.이 위원장은 이날 당 중앙선대위 회의에서 “앞으로도 저희들은 합리적 문제제기와 정당한 비판을 주저하지 않겠다”며 이 같이 말했다.이어 이 위원장은 “야당의 서울·부산 시장 후보가 공교롭게도 부동산 의혹과 잇따른 거짓말 시비에 휘말려 있다. 두 가지 모두 경시할 수 없는 중대한 흠결”이라며 “온국민이 부동산 때문에 분노하고 실망하고 계신 이 마당에 서울과 부산의 시장이 되겠다고 하는 분들이 해명되지 못하는 부동산 의혹을 안고 있다는 것은 아무리 봐도 엄정하게 심판할 수밖에 없는 문제”라고 말했다.그러면서도 “다만 표현은 항상 절제되고 품격있게 해야 한다고 생각한다”고 했다.이날 이 위원장은 국회에서 논의 중이나 아직 통과되지 않고 있는 ‘공직자 이해충돌방지법’과 관련해 “김태년 대표 직무대행이 3월 중 원포인트 국회를 열자고 (야당에) 제의했는데 그것이 실행되길 바란다. 실행되지 않으면 바로 단독 처리 절차에 들어가야 한다고 믿고 있다”고 말했다.당정이 추진 중인 부동산 투기 부당이익 소급 몰수 방안에 대해서는 “공직자가 부당하게 얻은 이익은 소급해서 추징, 몰수하도록 해야 한다”며 “과거에도 지나간 잘못이라고 하지만 그것을 단죄해 미래를 바로 세우기 위해 소급 입법한 사례가 있다. 이번이 그와 다르지 않다고 생각한다”고 강조했다.",이낙연 “상대 후보 합리적 비판을 네거티브로 규정하는 것 자체가 네거티브”,박홍두,0.5270005325255624
